# id: 'clusters_summary'
# section_name: 'SAMPLE: Clusters summary'
# format: 'tsv'
# description: 'Summary of clusters displaying the number of clusters average cluster size and number of singletons (clusters with only no members only a centroid).'
# plot_type: 'generalstats'
# headers:
#    '# Clusters':
#        id: 'n_clusters'
#        description: 'Total number of clusters based on all contigs of sample'
#        format: '{:.0f}'
#    'Average cluster size':
#        id: 'avg_size'
#        description: 'Average number members (excl centroid) of the identified clusters'
#        format: '{:.0f}'
#    'Number of singletons':
#        id: 'n_singletons'
#        description: 'Total number of singleton clusters (clusters with only one member only a centroid) based on all contigs of sample'
#        format: '{:.0f}'
"Sample name"	"# Clusters"	"Average cluster size"	"Number of singletons"
"Eddard-MN090188"	1	4315.0	0
"Eddard-MN090277"	1	4315.0	0
"Eddard-MN090277-MN090188"	1	4315.0	0
"Eddard-virosaurus"	1	4315.0	0
"Catelyn-MN090188"	1	2784.0	0
"Catelyn-MN090277"	1	2784.0	0
"Catelyn-MN090277-MN090188"	1	2784.0	0
"Eddard-reference"	2	2149.5	0
"Catelyn-reference"	2	1372.5	0
"Catelyn-virosaurus"	3	912.0	0
"Robb-MN090188"	1	3096.0	0
"Robb-MN090277-MN090188"	1	3096.0	0
"Robb-MN090277"	1	3096.0	0
"Robb-virosaurus"	1	3096.0	0
"Jon-MN090240"	1	14383.0	0
"Robb-reference"	2	1548.0	0
"Jon-virosaurus"	2	5260.0	0
"Jon-MN090277-MN090240"	1	14383.0	0
"Jon-MN090277"	1	14383.0	0
"Jon-reference"	3	4752.666666666667	0
"Arya-MN090277"	1	10552.0	0
"Arya-reference"	2	5259.5	0
"Arya-MN090240"	1	10552.0	0
"Sansa-reference"	3	6415.0	0
"Arya-MN090277-MN090240"	1	10552.0	0
"Arya-virosaurus"	1	9886.0	0
"Sansa-MN090277"	1	19699.0	0
"Sansa-MN090240"	1	20621.0	0
"Sansa-MN090277-MN090240"	1	19699.0	0
"Sansa-virosaurus"	4	4451.75	0
"Tyrion-reference"	2	467.5	0
"Tyrion-MN090277"	2	532.0	0
"Tyrion-MZ766668"	2	532.0	0
"Daenerys-reference"	3	288.6666666666667	0
"Daenerys-MZ766668"	2	439.5	0
"Tyrion-MN090277-MZ766668"	2	532.5	0
"Daenerys-MN090277"	2	439.5	0
"Tyrion-virosaurus"	2	174.5	0
"Daenerys-MN090277-MZ766668"	2	440.0	0
"Daenerys-virosaurus"	3	222.0	0
"Jaime-MN090277"	2	2165.0	0
"Jaime-reference"	3	1349.6666666666667	0
"Bran-reference"	1	15.0	0
"Jaime-MN090277-MZ766668"	2	2165.0	0
"Jaime-MZ766668"	2	2164.5	0
"Jaime-virosaurus"	3	956.3333333333334	0
"Bran-MN090188"	1	15.0	0
"Bran-MN090277"	1	15.0	0
"Bran-MZ766668"	1	14.0	0
"Bran-MN090240"	1	15.0	0
"Bran-MN090277-MN090188"	1	15.0	0
"Bran-MN090277-MN090240"	1	15.0	0
"Theon-MN090277"	1	4.0	0
"Bran-MN090277-MZ766668"	1	15.0	0
"Bran-virosaurus"	1	15.0	0
"Theon-reference"	1	4.0	0
"Theon-MN090240"	1	4.0	0
"Rickon-reference"	1	3.0	0
"Theon-virosaurus"	1	4.0	0
"Theon-MN090277-MN090240"	1	4.0	0
"Rickon-MN090188"	1	3.0	0
"Rickon-MN090277"	1	3.0	0
"Rickon-MN090277-MN090188"	1	3.0	0
"Rickon-virosaurus"	1	3.0	0
"Jorah-MN090277"	1	1.0	0
"Jorah-reference"	1	3.0	0
"Jorah-MZ766668"	1	3.0	0
"Jorah-virosaurus"	1	2.0	0
"Jorah-MN090277-MZ766668"	1	2.0	0
