sample,seed,n_reads,fasta
MN090277.1,1,1M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090277.1.fasta
MN090277.1,47,2M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090277.1.fasta
MN090277.1,123,3M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090277.1.fasta
MN090188.1,99,1M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090188.1.fasta
MN090188.1,7,2M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090188.1.fasta
MN090188.1,9,3M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090188.1.fasta
MN090240.1,15,1M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090240.1.fasta
MN090240.1,22,2M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090240.1.fasta
MN090240.1,3,3M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MN090240.1.fasta
MZ766668.1,6,1M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MZ766668.1.fasta
MZ766668.1,28,2M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MZ766668.1.fasta
MZ766668.1,8,3M,/Users/joonklaps/Desktop/School/PhD/projects/LVE-BE002-PIPELINE/LVE-BE02-Supplmentary/benchmarking/variant-calling/references/MZ766668.1.fasta
