"sample"	"Quast (Spades). Assembly Length (Mbp)"	"Quast (Spades). N50 (Kbp)"	"Quast (Megahit). Assembly Length (Mbp)"	"Quast (Megahit). N50 (Kbp)"	"Cluster Summary. # Clusters"	"Cluster Summary. # Removed clusters"	"Cluster Summary. Average cluster size"	"Cluster Summary. Number of singletons"	"Consensus Count. # Final denovo clusters"
"Daenerys"	21955.0	9010.0	308469.0	301.0	2	36	378.0	0	2
"Jorah"	9608.0	9010.0	9010.0	9010.0	1	0	3.0	0	1
"Eddard"	12347.0	9052.0	1361136.0	301.0	1	72	3977.0	0	1
"Sansa"	12149.0	9059.0	6302790.0	292.0	2	312	9175.5	0	2
"Catelyn"	12627.0	9055.0	934878.0	309.0	1	65	2592.0	0	1
"Bran"	9948.0	9052.0	12842.0	9202.0	1	0	15.0	0	1
"Tyrion"	22025.0	9009.0	375914.0	304.0	2	22	512.0	0	2
"Rickon"	9526.0	9053.0	9055.0	9055.0	1	0	3.0	0	1
"Jaime"	20726.0	9008.0	1420235.0	301.0	2	87	1927.5	0	2
"Jon"	12623.0	9052.0	4631910.0	301.0	4	229	3336.5	0	3
"Theon"	9898.0	9012.0	9014.0	9014.0	1	0	4.0	0	1
"Arya"	11745.0	9059.0	3268750.0	301.0	2	196	4831.0	0	2
"Robb"	12690.0	9052.0	990788.0	301.0	1	54	2913.0	0	1
