task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	1f/838045	410660	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:UNPACK_DB:UNTAR_DB (k2_viral_20230314.tar.gz)	CACHED	0	2025-11-06 17:10:16.205	8.8s	8s	131.3%	13.6 MB	27.4 MB	1.9 GB	1.6 GB
1	12/0ea76a	440095	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:UNPACK_DB:UNTAR_DB (kaiju_db_rvdb_2023-05-26.tgz)	CACHED	0	2025-11-06 17:24:44.114	10m 47s	10m 46s	136.7%	13.8 MB	27.4 MB	164 GB	200 GB
4	22/ec0b57	607201	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:BLAST_MAKEBLASTDB (reference)	CACHED	0	2025-11-06 18:30:56.799	27m 17s	27m 16s	93.8%	195.5 MB	1.3 GB	174 GB	45.4 GB
3	07/2f042c	483458	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:CONSENSUS_QC:MMSEQS_ANNOTATE:MMSEQS_CREATEANNOTATIONDB (annotation)	CACHED	0	2025-11-06 17:35:31.925	3.3s	2s	66.2%	337.6 MB	2.2 GB	565.2 MB	575 MB
5	26/f5d200	408071	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:MEGAHIT (Eddard)	CACHED	0	2025-11-06 17:10:02.823	3m 18s	3m 17s	1004.2%	957.3 MB	1.4 GB	8.1 GB	2.8 GB
8	d3/f2da19	418487	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:MAP_READS_CONTIGS:BWAMEM2_INDEX (Eddard_megahit.contigs.fa.gz)	CACHED	0	2025-11-06 17:13:21.798	3s	2.3s	12.6%	10.1 MB	18.6 MB	692 KB	7.4 MB
7	1d/36fc53	602608	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:QUAST (Eddard)	CACHED	0	2025-11-06 18:30:34.671	11.3s	9.6s	99.7%	103.1 MB	9.5 GB	2 GB	5.6 MB
9	11/2b5a54	620432	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:MAP_READS_CONTIGS:BWAMEM2_MEM (Eddard)	CACHED	0	2025-11-06 18:33:04.800	5m 22s	5m 21s	1149.4%	6.2 GB	18.8 GB	3.5 GB	3.5 GB
6	57/0ac993	408075	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:SPADES (Eddard)	CACHED	0	2025-11-06 17:10:02.832	12m 14s	12m 13s	747.5%	7.6 GB	13.5 GB	6.6 GB	40.1 GB
11	8a/4d529e	602613	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:QUAST (Eddard)	CACHED	0	2025-11-06 18:30:34.681	11.8s	9.9s	75.4%	102.1 MB	9.5 GB	2.8 GB	4.1 MB
12	9a/6625b1	434133	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:MAP_READS_CONTIGS:BWAMEM2_INDEX (Eddard_spades.scaffolds.fa.gz)	CACHED	0	2025-11-06 17:22:17.431	2.9s	2.1s	4.2%	8.7 MB	27.1 MB	140.7 KB	68.1 KB
13	e5/6a0543	434138	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:CAT_ASSEMBLERS (Eddard)	CACHED	0	2025-11-06 17:22:17.440	1.6s	0ms	78.1%	2.7 MB	11 MB	283.8 KB	1.5 MB
10	3b/a20a20	631043	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:CONTIG_INDEX (Eddard)	CACHED	0	2025-11-06 18:38:27.533	2.6s	2s	214.1%	8.1 MB	213.3 MB	695.3 MB	240.1 KB
15	72/066e60	735580	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_BLAST_REFSEL:BLAST_BLASTN (Eddard)	CACHED	0	2025-11-06 19:29:03.491	24m 29s	24m 27s	385.3%	42.6 GB	44.7 GB	1.7 MB	4.7 MB
14	82/57804c	630946	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:MAP_READS_CONTIGS:BWAMEM2_MEM (Eddard)	CACHED	0	2025-11-06 18:38:26.509	1m 18s	1m 17s	1037.5%	3.5 GB	16.1 GB	3.5 GB	3.5 GB
16	19/e67ca2	631561	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:CONTIG_IDXSTATS (Eddard)	CACHED	0	2025-11-06 18:38:31.183	1.2s	1s	21.9%	3.2 MB	6.7 MB	477.3 KB	81.1 KB
17	9e/d6daa5	435100	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:PRINSEQ_CONTIG (Eddard)	CACHED	0	2025-11-06 17:22:20.101	934ms	0ms	116.4%	4.9 MB	16.2 MB	1.6 MB	1.5 MB
18	87/8187d2	634509	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:CONTIG_INDEX (Eddard)	CACHED	0	2025-11-06 18:39:45.562	3.5s	2s	177.5%	7.2 MB	212.1 MB	673.8 MB	5.5 KB
20	f6/2ba9ef	635232	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:CONTIG_IDXSTATS (Eddard)	CACHED	0	2025-11-06 18:39:50.114	1.3s	1s	13.6%	3.5 MB	6.7 MB	210.8 KB	5.2 KB
21	a9/666b8e	418298	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:SPADES (Catelyn)	CACHED	0	2025-11-06 17:13:20.786	11m 45s	11m 44s	760.9%	7.6 GB	13.5 GB	6.6 GB	40.2 GB
24	eb/52d4fa	443859	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:MAP_READS_CONTIGS:BWAMEM2_INDEX (Catelyn_spades.scaffolds.fa.gz)	CACHED	0	2025-11-06 17:25:06.924	2.8s	2.1s	3.2%	5.8 MB	13.9 MB	140.9 KB	69.7 KB
23	ac/fbd9be	605286	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:QUAST (Catelyn)	CACHED	0	2025-11-06 18:30:46.492	5.3s	4.6s	240.0%	91 MB	9.4 GB	2.8 GB	4.1 MB
22	23/0c3bff	433951	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:MEGAHIT (Catelyn)	CACHED	0	2025-11-06 17:22:16.417	2m 46s	2m 45s	964.7%	957.6 MB	1.3 GB	8.1 GB	2.8 GB
27	b8/55b4a3	442994	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:MAP_READS_CONTIGS:BWAMEM2_INDEX (Catelyn_megahit.contigs.fa.gz)	CACHED	0	2025-11-06 17:25:03.781	3.2s	2.3s	10.8%	8.4 MB	13.9 MB	529.1 KB	5 MB
28	2f/c539e6	443866	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:CAT_ASSEMBLERS (Catelyn)	CACHED	0	2025-11-06 17:25:06.934	1.6s	0ms	71.6%	2.7 MB	11 MB	225.1 KB	1 MB
26	06/7a207e	604922	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:QUAST (Catelyn)	CACHED	0	2025-11-06 18:30:45.963	5.3s	4.6s	221.9%	83.9 MB	9.4 GB	2 GB	5.2 MB
25	72/1c9af5	643132	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:MAP_READS_CONTIGS:BWAMEM2_MEM (Catelyn)	CACHED	0	2025-11-06 18:46:01.924	1m 30s	1m 29s	1045.3%	3.5 GB	16.3 GB	3.5 GB	3.5 GB
32	e9/5751f3	646474	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:CONTIG_INDEX (Catelyn)	CACHED	0	2025-11-06 18:47:32.291	2.9s	3s	201.7%	7.1 MB	212.1 MB	675.4 MB	5.6 KB
