task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	eb/d4d023	2419415	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR22807049)	CACHED	0	2025-06-04 16:56:09.090	1.9s	1s	50.4%	26.7 MB	40.3 MB	4.4 MB	6.1 KB
20	e3/2dbfcc	2415728	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR17261992)	CACHED	0	2025-06-04 16:56:05.061	2.2s	2s	48.9%	27 MB	40.3 MB	4.4 MB	6.3 KB
8	eb/8fe135	2415699	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR29129354)	CACHED	0	2025-06-04 16:56:05.028	2.2s	2s	46.1%	26.9 MB	40.3 MB	4.4 MB	6.2 KB
2	b7/7b29c1	2417663	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR23318345)	CACHED	0	2025-06-04 16:56:07.289	1.8s	1s	51.4%	26.9 MB	40.3 MB	4.4 MB	6 KB
19	b8/6c5b36	2417549	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR10017190)	CACHED	0	2025-06-04 16:56:07.221	1.8s	1s	50.6%	26.6 MB	40.3 MB	4.4 MB	6.3 KB
6	6a/30441a	2415742	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR25867284)	CACHED	0	2025-06-04 16:56:05.067	2.2s	2s	50.9%	27 MB	33.2 MB	4.4 MB	6.3 KB
12	d9/4023b0	2419385	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR3209113)	CACHED	0	2025-06-04 16:56:09.063	1.8s	1s	47.5%	26.8 MB	40.3 MB	4.4 MB	6.2 KB
15	8c/66a08b	2415711	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR21524979)	CACHED	0	2025-06-04 16:56:05.048	2.2s	2s	41.8%	26.9 MB	40.3 MB	4.4 MB	6.1 KB
10	0a/57f15c	2415701	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR24442882)	CACHED	0	2025-06-04 16:56:05.035	2.2s	2s	49.8%	26.9 MB	40.3 MB	4.4 MB	6.3 KB
7	14/d85077	2417566	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR29059102)	CACHED	0	2025-06-04 16:56:07.236	1.9s	1s	49.4%	26.8 MB	40.3 MB	4.4 MB	6.5 KB
16	ec/a80ee9	2419358	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR23580682)	CACHED	0	2025-06-04 16:56:09.012	1.9s	1s	50.4%	26.8 MB	40.3 MB	4.4 MB	6.3 KB
5	f0/bd0a59	2417584	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR17653168)	CACHED	0	2025-06-04 16:56:07.253	1.9s	1s	49.1%	26.9 MB	40.3 MB	4.4 MB	6.4 KB
9	d2/e8f796	2415706	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR22807071)	CACHED	0	2025-06-04 16:56:05.042	2.2s	2s	44.9%	26.7 MB	40.3 MB	4.4 MB	6.1 KB
4	40/e017b7	2419401	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR31960004)	CACHED	0	2025-06-04 16:56:09.080	1.7s	1s	49.4%	26.6 MB	40.3 MB	4.4 MB	6.2 KB
3	03/89ce9b	2417631	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR31821236)	CACHED	0	2025-06-04 16:56:07.279	1.8s	1s	50.9%	26.9 MB	40.3 MB	4.4 MB	6.2 KB
1	2c/a19bd6	2417574	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR30811281)	CACHED	0	2025-06-04 16:56:07.245	1.8s	1s	47.3%	26.9 MB	40.3 MB	4.4 MB	6.3 KB
14	90/bc024e	2415716	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR21236084)	CACHED	0	2025-06-04 16:56:05.053	2.1s	2s	50.7%	26.9 MB	40.3 MB	4.4 MB	6.2 KB
13	66/0c5204	2417593	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO (SRR20973040)	CACHED	0	2025-06-04 16:56:07.263	1.8s	1s	51.0%	26.9 MB	33.2 MB	4.4 MB	6.3 KB
