task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
24	70/906ee2	64585242_13	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (SRX17245625)	CACHED	0	2025-06-04 21:13:48.494	34.8s	14s	161.8%	7.1 GB	63.7 GB	112.1 MB	3.1 MB
4	7b/df35be	64585241_4	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (ERX5184869)	CACHED	0	2025-06-04 21:13:47.334	21s	4s	136.1%	133.7 MB	147.5 MB	43.2 MB	14.4 MB
5	28/0d054c	64585242_1	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (ERX5701202)	CACHED	0	2025-06-04 21:13:48.494	24.8s	10s	67.1%	425.6 MB	63.7 GB	23.7 MB	2 MB
3	82/6d3a21	64585242_16	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (ERX5184869)	CACHED	0	2025-06-04 21:13:48.494	24.8s	10s	89.1%	765 MB	63.8 GB	27.8 MB	3.3 MB
10	66/8c2650	64585242_12	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (SRX13440143)	CACHED	0	2025-06-04 21:13:48.494	34.8s	12s	171.6%	2.7 GB	63.8 GB	132.5 MB	3.8 MB
27	59/2d1104	64585242_8	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (SRX18766827)	CACHED	0	2025-06-04 21:13:48.494	24.8s	8s	83.9%	1.1 GB	63.7 GB	43 MB	3.6 MB
19	77/24dcf0	64585242_17	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (SRX13821392)	CACHED	0	2025-06-04 21:13:48.494	34.8s	8s	120.5%	1 GB	63.8 GB	42.1 MB	3.8 MB
32	97/61ecdf	64585242_5	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (SRX19260942)	CACHED	0	2025-06-04 21:13:48.494	29.8s	10s	76.5%	1 GB	63.7 GB	63 MB	2 MB
34	a6/7f46f6	64585242_3	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (SRX19467387)	CACHED	0	2025-06-04 21:13:48.494	34.8s	15s	146.9%	2 GB	63.7 GB	84.9 MB	3.6 MB
6	4c/7b42bd	64585241_13	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (ERX5701202)	CACHED	0	2025-06-04 21:13:47.334	31s	9s	101.8%	1.8 GB	2.3 GB	33.2 MB	289.5 KB
17	b5/5407cf	64585242_15	NFCORE_VIRALGENIE:VIRALGENIE:PREPROCESSING_ILLUMINA:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (SRX13440223)	CACHED	0	2025-06-04 21:13:48.494	29.8s	13s	158.6%	2.9 GB	63.7 GB	180.9 MB	3.8 MB
