# id: 'contig_overview'
# section_name: 'CLUSTER: Clusters overview'
# format: 'tsv'
# description: 'Concatenation information of multiple tools regarding the clusters and the different iterations of them'
# plot_type: 'table'
"index"	"sample name"	"cluster"	"step"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"(checkv) contig_length"	"(checkv) provirus"	"(checkv) proviral_length"	"(checkv) gene_count"	"(checkv) viral_genes"	"(checkv) host_genes"	"(checkv) checkv_quality"	"(checkv) miuvig_quality"	"(checkv) completeness"	"(checkv) completeness_method"	"(checkv) contamination"	"(checkv) kmer_freq"	"(checkv) warnings"	"(quast) # N's"	"(quast) % N's"	"(quast) # N's per 100 kbp"	"(picard_dups) unpaired reads examined"	"(picard_dups) read pair optical duplicates"	"(picard_dups) unmapped reads"	"(picard_dups) estimated library size"	"(picard_dups) unpaired read duplicates"	"(picard_dups) secondary or supplementary rds"	"(picard_dups) read pairs examined"	"(picard_dups) read pair duplicates"	"(picard_dups) % duplication"	"(picard_dups) library"	"(samtools_stats) sequences"	"(samtools_stats) reads paired %"	"(samtools_stats) average length"	"(samtools_stats) is sorted"	"(samtools_stats) bases mapped (cigar)"	"(samtools_stats) reads QC failed %"	"(samtools_stats) reads unmapped"	"(samtools_stats) reads unmapped %"	"(samtools_stats) reads properly paired %"	"(samtools_stats) average quality"	"(samtools_stats) reads paired"	"(samtools_stats) non-primary alignments"	"(samtools_stats) supplementary alignments"	"(samtools_stats) reads mapped"	"(samtools_stats) reads mapped %"	"(samtools_stats) bases trimmed"	"(samtools_stats) bases duplicated"	"(samtools_stats) reads properly paired"	"(samtools_stats) outward oriented pairs"	"(samtools_stats) reads duplicated"	"(samtools_stats) reads duplicated %"	"(samtools_stats) bases mapped"	"(samtools_stats) insert size average"	"(samtools_stats) insert size standard deviation"	"(samtools_stats) inward oriented pairs"	"(samtools_stats) error rate"	"(samtools_stats) mismatches"	"(samtools_stats) reads MQ0"	"(samtools_stats) total length"	"(samtools_stats) reads QC failed"	"(ivar_variants) raw inserts"	"(ivar_variants) raw SNPs"	"(ivar_variants) raw deletions"	"(bcftools_stats) number of indels"	"(bcftools_stats) number of samples"	"(bcftools_stats) number of SNPs"	"(bcftools_stats) number of MNPs"	"(bcftools_stats) number of no-ALTs"	"(bcftools_stats) number of records"	"(bcftools_stats) number of others"	"(bcftools_stats) number of multiallelic sites"	"(bcftools_stats) number of multiallelic SNP sites"	"(bcftools_stats) number of transversions"	"(bcftools_stats) transversion in 1st alternative"	"(bcftools_stats) number of transitions"	"(bcftools_stats) transistion in 1st alternative"	"(bcftools_stats) transistions/transversions ratio"	"(bcftools_stats) transition/transversion in 1st alternative"	"(bcftools_stats) substitution T->C"	"(bcftools_stats) substitution A->C"	"(bcftools_stats) substitution C->A"	"(bcftools_stats) substitution G->T"	"(bcftools_stats) substitution A->T"	"(bcftools_stats) substitution C->T"	"(bcftools_stats) substitution T->G"	"(bcftools_stats) substitution T->A"	"(bcftools_stats) substitution G->C"	"(bcftools_stats) substitution C->G"	"(bcftools_stats) substitution G->A"	"(bcftools_stats) substitution A->G"	"(multiqc) mosdepth 1X coverage"	"(multiqc) mosdepth 5X coverage"	"(multiqc) mosdepth 10X coverage"	"(multiqc) mosdepth 50X coverage"	"(multiqc) mosdepth Median read depth"	"(multiqc) mosdepth Mean read depth"	"(multiqc) mosdepth Min read depth"	"(multiqc) mosdepth Max read depth"
"Arya-MN090240_cl0_consensus"	"Arya-MN090240"	"cl0"	"consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9022.0	"No"	""	9.0	7.0	0.0	"High-quality"	"High-quality"	99.81	"AAI-based (high-confidence)"	0.0	1.0	""	2.0	0.02	"22.17"	0.0	0.0	0.0	1643939.0	0.0	8115.0	2000000.0	843059.0	0.42153	"Unknown Library"	2313882.0	100.0	301.0	1.0	694738578.0	0.0	0.0	0.0	99.74069550651244	33.0	2313882.0	0.0	8115.0	2313882.0	100.0	0.0	0.0	2307882.0	0.0	0.0	0.0	696478482.0	779.6	80.6	1155863.0	0.02560771	17790665.0	0.0	696478482.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82262.0	76984.5	0.0	89326.0
"Arya-MN090240_cl0_it1"	"Arya-MN090240"	"cl0"	"it1"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9015.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	0.0	0.01	"11.09"	0.0	0.0	0.0	1641024.0	0.0	8129.0	2000000.0	844061.0	0.42203	"Unknown Library"	2311878.0	100.0	301.0	1.0	694432727.0	0.0	0.0	0.0	99.73882704883216	33.0	2311878.0	0.0	8129.0	2311878.0	100.0	0.0	0.0	2305840.0	0.0	0.0	0.0	695875278.0	779.0	80.6	1154855.0	0.01749459	12148813.0	0.0	695875278.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82277.0	77010.79	0.0	89113.0
"Arya-MN090240_cl0_it2"	"Arya-MN090240"	"cl0"	"it2"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9015.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	0.0	0.01	"11.09"	0.0	0.0	0.0	1641024.0	0.0	8129.0	2000000.0	844061.0	0.42203	"Unknown Library"	2311878.0	100.0	301.0	1.0	694432727.0	0.0	0.0	0.0	99.73882704883216	33.0	2311878.0	0.0	8129.0	2311878.0	100.0	0.0	0.0	2305840.0	0.0	0.0	0.0	695875278.0	779.0	80.6	1154855.0	0.01749459	12148813.0	0.0	695875278.0	0.0	3.0	281.0	1.0	4.0	1.0	281.0	0.0	0.0	285.0	0.0	0.0	0.0	11.0	11.0	270.0	270.0	24.55	24.55	6.0	0.0	2.0	1.0	0.0	3.0	3.0	3.0	1.0	1.0	13.0	248.0	100.0	100.0	100.0	100.0	82277.0	77010.79	0.0	89113.0
"Arya-MN090240_cl0_itvariant-calling"	"Arya-MN090240"	"cl0"	"itvariant-calling"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9015.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	0.0	0.01	"11.09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Arya-MN090277-MN090240_cl0_consensus"	"Arya-MN090277-MN090240"	"cl0"	"consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9226.0	"No"	""	8.0	7.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	0.0	0.0	"0.00"	0.0	0.0	0.0	1640847.0	0.0	15.0	2000000.0	844122.0	0.422061	"Unknown Library"	2311756.0	100.0	301.0	1.0	694006561.0	0.0	0.0	0.0	99.83337341830192	33.0	2311756.0	0.0	15.0	2311756.0	100.0	0.0	0.0	2307904.0	0.0	0.0	0.0	695838556.0	779.9	79.6	1155878.0	0.02509426	17415584.0	0.0	695838556.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82240.0	75204.5	0.0	89155.0
"Arya-MN090277-MN090240_cl0_it1"	"Arya-MN090277-MN090240"	"cl0"	"it1"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9225.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	0.0	0.01	"10.84"	0.0	0.0	0.0	1640887.0	0.0	15.0	2000000.0	844108.0	0.422054	"Unknown Library"	2311784.0	100.0	301.0	1.0	694410130.0	0.0	0.0	0.0	99.8332889231866	33.0	2311784.0	0.0	15.0	2311784.0	100.0	0.0	0.0	2307930.0	0.0	0.0	0.0	695846984.0	779.9	79.6	1155892.0	0.01749735	12150336.0	1.0	695846984.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82258.0	75255.25	0.0	89113.0
"Arya-MN090277-MN090240_cl0_it2"	"Arya-MN090277-MN090240"	"cl0"	"it2"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9225.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	0.0	0.01	"10.84"	0.0	0.0	0.0	1640887.0	0.0	15.0	2000000.0	844108.0	0.422054	"Unknown Library"	2311784.0	100.0	301.0	1.0	694410130.0	0.0	0.0	0.0	99.8332889231866	33.0	2311784.0	0.0	15.0	2311784.0	100.0	0.0	0.0	2307930.0	0.0	0.0	0.0	695846984.0	779.9	79.6	1155892.0	0.01749735	12150336.0	1.0	695846984.0	0.0	3.0	288.0	1.0	4.0	1.0	288.0	0.0	0.0	292.0	0.0	0.0	0.0	14.0	14.0	274.0	274.0	19.57	19.57	8.0	2.0	2.0	1.0	1.0	4.0	3.0	3.0	1.0	1.0	12.0	250.0	100.0	100.0	100.0	100.0	82258.0	75255.25	0.0	89113.0
"Arya-MN090277-MN090240_cl0_itvariant-calling"	"Arya-MN090277-MN090240"	"cl0"	"itvariant-calling"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9225.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	0.0	0.01	"10.84"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Arya-MN090277_cl0_consensus"	"Arya-MN090277"	"cl0"	"consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9226.0	"No"	""	8.0	7.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	0.0	0.0	"0.00"	0.0	0.0	0.0	1640847.0	0.0	15.0	2000000.0	844122.0	0.422061	"Unknown Library"	2311756.0	100.0	301.0	1.0	694006561.0	0.0	0.0	0.0	99.83337341830192	33.0	2311756.0	0.0	15.0	2311756.0	100.0	0.0	0.0	2307904.0	0.0	0.0	0.0	695838556.0	779.9	79.6	1155878.0	0.02509426	17415584.0	0.0	695838556.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82240.0	75204.5	0.0	89155.0
"Arya-MN090277_cl0_it1"	"Arya-MN090277"	"cl0"	"it1"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9225.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	0.0	0.01	"10.84"	0.0	0.0	0.0	1640887.0	0.0	15.0	2000000.0	844108.0	0.422054	"Unknown Library"	2311784.0	100.0	301.0	1.0	694410130.0	0.0	0.0	0.0	99.8332889231866	33.0	2311784.0	0.0	15.0	2311784.0	100.0	0.0	0.0	2307930.0	0.0	0.0	0.0	695846984.0	779.9	79.6	1155892.0	0.01749735	12150336.0	1.0	695846984.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82258.0	75255.25	0.0	89113.0
