id,sample,sequence,segment
LVE00045-6466,LVE00045,data-preparation/selected-references/6466_MT199231.1.fasta,L
LVE00045-6668,LVE00045,data-preparation/selected-references/6668_MT199235.1.fasta,L
LVE00045-6870,LVE00045,data-preparation/selected-references/6870_OR041677.1.fasta,S
LVE00045-7274,LVE00045,data-preparation/selected-references/7274_PQ541162.1-OR041684.1.fasta,L S
LVE00045-7476,LVE00045,data-preparation/selected-references/7476_MK117836.1-OQ919510.1.fasta,L S
LVE00045-7678,LVE00045,data-preparation/selected-references/7678_MH053566.1-AY628205.1.fasta,L S
LVE00045-7880,LVE00045,data-preparation/selected-references/7880_MH053570.1-AY628206.1.fasta,L S
LVE00045-8082,LVE00045,data-preparation/selected-references/8082_KM822096.1-KU978811.1.fasta,L S
LVE00045-8284,LVE00045,data-preparation/selected-references/8284_GU481077.1.fasta,L
LVE00045-8486,LVE00045,data-preparation/selected-references/8486_KM822075.1.fasta,L
LVE00045-8688,LVE00045,data-preparation/selected-references/8688_MH887935.1.fasta,L
LVE00045-9092,LVE00045,data-preparation/selected-references/9092_MH053514.1.fasta,S
LVE00045-9294,LVE00045,data-preparation/selected-references/9294_MK118024.1.fasta,S
LVE00045-9496,LVE00045,data-preparation/selected-references/9496_KM822084.1.fasta,S
LVE00045-9698,LVE00045,data-preparation/selected-references/9698_KM822076.1.fasta,S
LVE00045-98100,LVE00045,data-preparation/selected-references/98100_LVE00045-MH887861.1.fasta,L S
LVE00045-RVDB,LVE00045,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00050-6466,LVE00050,data-preparation/selected-references/6466_GU481077.1-OR041677.1.fasta,L S
LVE00050-6668,LVE00050,data-preparation/selected-references/6668_KM822075.1-OR041684.1.fasta,L S
LVE00050-6870,LVE00050,data-preparation/selected-references/6870_MH887935.1-KU978811.1.fasta,L S
LVE00050-7072,LVE00050,data-preparation/selected-references/7072_LVE00045.fasta,L
LVE00050-7274,LVE00050,data-preparation/selected-references/7274_AY628208.1.fasta,S
LVE00050-7476,LVE00050,data-preparation/selected-references/7476_MZ169794.1-KU978807.1.fasta,L S
LVE00050-7678,LVE00050,data-preparation/selected-references/7678_AY628206.1.fasta,S
LVE00050-7880,LVE00050,data-preparation/selected-references/7880_KM822067.1.fasta,S
LVE00050-8082,LVE00050,data-preparation/selected-references/8082_KM822089.1.fasta,S
LVE00050-8284,LVE00050,data-preparation/selected-references/8284_MK107860.1-KM822076.1.fasta,L S
LVE00050-8486,LVE00050,data-preparation/selected-references/8486_MK107842.1-MH887861.1.fasta,L S
LVE00050-9092,LVE00050,data-preparation/selected-references/9092_MK117963.1.fasta,S
LVE00050-9294,LVE00050,data-preparation/selected-references/9294_KM821971.1.fasta,S
LVE00050-RVDB,LVE00050,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00063-6466,LVE00063,data-preparation/selected-references/6466_MK117931.1.fasta,L
LVE00063-6668,LVE00063,data-preparation/selected-references/6668_KT992430.1.fasta,L
LVE00063-6870,LVE00063,data-preparation/selected-references/6870_KF478764.1-OR041677.1.fasta,L S
LVE00063-7072,LVE00063,data-preparation/selected-references/7072_KT992427.1-OR493500.1.fasta,L S
LVE00063-7274,LVE00063,data-preparation/selected-references/7274_MZ169794.1-OR041684.1.fasta,L S
LVE00063-7476,LVE00063,data-preparation/selected-references/7476_OQ919510.1.fasta,S
LVE00063-7678,LVE00063,data-preparation/selected-references/7678_OR041676.1.fasta,S
LVE00063-7880,LVE00063,data-preparation/selected-references/7880_MK117981.1.fasta,S
LVE00063-8284,LVE00063,data-preparation/selected-references/8284_KU978811.1.fasta,S
LVE00063-8486,LVE00063,data-preparation/selected-references/8486_MK107950.1.fasta,S
LVE00063-8688,LVE00063,data-preparation/selected-references/8688_MK107957.1.fasta,S
LVE00063-8890,LVE00063,data-preparation/selected-references/8890_MH157039.1.fasta,S
LVE00063-9092,LVE00063,data-preparation/selected-references/9092_MK107926.1.fasta,S
LVE00063-9294,LVE00063,data-preparation/selected-references/9294_MH053552.1.fasta,S
LVE00063-9496,LVE00063,data-preparation/selected-references/9496_MK117995.1.fasta,S
LVE00063-9698,LVE00063,data-preparation/selected-references/9698_MK117996.1.fasta,S
LVE00063-98100,LVE00063,data-preparation/selected-references/98100_MK118019.1.fasta,S
LVE00063-RVDB,LVE00063,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00127-6668,LVE00127,data-preparation/selected-references/6668_MT199234.1.fasta,L
LVE00127-6870,LVE00127,data-preparation/selected-references/6870_MT199229.1-OR041677.1.fasta,L S
LVE00127-7072,LVE00127,data-preparation/selected-references/7072_MT199235.1-OR493500.1.fasta,L S
LVE00127-7274,LVE00127,data-preparation/selected-references/7274_MT199228.1-OR041684.1.fasta,L S
LVE00127-7476,LVE00127,data-preparation/selected-references/7476_PQ541162.1-OQ919510.1.fasta,L S
LVE00127-7678,LVE00127,data-preparation/selected-references/7678_KT992427.1-OR041676.1.fasta,L S
LVE00127-7880,LVE00127,data-preparation/selected-references/7880_MH053566.1-MK117981.1.fasta,L S
LVE00127-8082,LVE00127,data-preparation/selected-references/8082_MK117945.1.fasta,L
LVE00127-8284,LVE00127,data-preparation/selected-references/8284_KM822050.1-KU978811.1.fasta,L S
LVE00127-8486,LVE00127,data-preparation/selected-references/8486_MH053498.1.fasta,S
LVE00127-8688,LVE00127,data-preparation/selected-references/8688_MK107957.1.fasta,S
LVE00127-8890,LVE00127,data-preparation/selected-references/8890_OQ791481.1-MH157039.1.fasta,L S
LVE00127-9092,LVE00127,data-preparation/selected-references/9092_MH053548.1-MK117974.1.fasta,L S
LVE00127-9294,LVE00127,data-preparation/selected-references/9294_MK117910.1-MH053552.1.fasta,L S
LVE00127-9496,LVE00127,data-preparation/selected-references/9496_MK117897.1-MK117995.1.fasta,L S
LVE00127-9698,LVE00127,data-preparation/selected-references/9698_MK107847.1-LC387468.1.fasta,L S
LVE00127-98100,LVE00127,data-preparation/selected-references/98100_MK117931.1-MK118019.1.fasta,L S
LVE00127-RVDB,LVE00127,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00140-6668,LVE00140,data-preparation/selected-references/6668_FV537336.1.fasta,L
LVE00140-6870,LVE00140,data-preparation/selected-references/6870_MT199227.1-OR041677.1.fasta,L S
LVE00140-7072,LVE00140,data-preparation/selected-references/7072_KT992426.1.fasta,L
LVE00140-7274,LVE00140,data-preparation/selected-references/7274_KT992432.1-OR041684.1.fasta,L S
LVE00140-7476,LVE00140,data-preparation/selected-references/7476_KF478760.1-OQ919510.1.fasta,L S
LVE00140-7678,LVE00140,data-preparation/selected-references/7678_KF478762.1-OQ919512.1.fasta,L S
LVE00140-7880,LVE00140,data-preparation/selected-references/7880_KY425642.1.fasta,S
LVE00140-8082,LVE00140,data-preparation/selected-references/8082_OR493500.1.fasta,S
LVE00140-8284,LVE00140,data-preparation/selected-references/8284_KU978811.1.fasta,S
LVE00140-8890,LVE00140,data-preparation/selected-references/8890_MH053504.1.fasta,L
LVE00140-9092,LVE00140,data-preparation/selected-references/9092_ON569370.1.fasta,L
LVE00140-9294,LVE00140,data-preparation/selected-references/9294_MH887910.1-MK117951.1.fasta,L S
LVE00140-9496,LVE00140,data-preparation/selected-references/9496_MH053547.1-MK118014.1.fasta,L S
LVE00140-9698,LVE00140,data-preparation/selected-references/9698_MH887948.1-MH887801.1.fasta,L S
LVE00140-98100,LVE00140,data-preparation/selected-references/98100_MK117900.1-LVE00140.fasta,L S
LVE00140-RVDB,LVE00140,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00167-6466,LVE00167,data-preparation/selected-references/6466_MT199231.1.fasta,L
LVE00167-6668,LVE00167,data-preparation/selected-references/6668_KF478761.1.fasta,L
LVE00167-6870,LVE00167,data-preparation/selected-references/6870_KF478764.1-OR041677.1.fasta,L S
LVE00167-7072,LVE00167,data-preparation/selected-references/7072_KT992434.1.fasta,L
LVE00167-7476,LVE00167,data-preparation/selected-references/7476_MZ169794.1-OR041684.1.fasta,L S
LVE00167-7678,LVE00167,data-preparation/selected-references/7678_OQ919516.1.fasta,S
LVE00167-7880,LVE00167,data-preparation/selected-references/7880_MH053534.1-OR041687.1.fasta,L S
LVE00167-8082,LVE00167,data-preparation/selected-references/8082_MH053570.1-KU978811.1.fasta,L S
LVE00167-8284,LVE00167,data-preparation/selected-references/8284_MK117940.1.fasta,L
LVE00167-8486,LVE00167,data-preparation/selected-references/8486_MK117945.1.fasta,L
LVE00167-8688,LVE00167,data-preparation/selected-references/8688_OR147788.1.fasta,L
LVE00167-9092,LVE00167,data-preparation/selected-references/9092_MK118022.1.fasta,S
LVE00167-9294,LVE00167,data-preparation/selected-references/9294_KM822099.1.fasta,S
LVE00167-9496,LVE00167,data-preparation/selected-references/9496_MK117982.1.fasta,S
LVE00167-9698,LVE00167,data-preparation/selected-references/9698_MH887842.1.fasta,S
LVE00167-98100,LVE00167,data-preparation/selected-references/98100_LVE00167-LVE00167.fasta,L S
LVE00167-RVDB,LVE00167,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00223-6668,LVE00223,data-preparation/selected-references/6668_MT199227.1-OR041677.1.fasta,L S
LVE00223-6870,LVE00223,data-preparation/selected-references/6870_MT199229.1.fasta,L
LVE00223-7072,LVE00223,data-preparation/selected-references/7072_MK117919.1.fasta,L
