Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OQ275939,Human respiratory syncytial virus A,GenBank,,,"Wilkins,D., Langedijk,A.C., Lebbink,R.J., Morehouse,C.A., Abram,M.E., Ahani,B., Aksyuk,A.A., Baraldi,E., Brady,T., Chen,A.T., Chi,H., Choi,E.H., Cohen,R., Danilenko,D.M., Gopalakrishnan,V., Greenough,A., Heikkinen,T., Hosoya,M., Keller,C., Kelly,E.J., Kragten-Tabatabaie,L., Martinon-Torres,F., Mascarenas-de Los Santos,A.H., Nunes,M.C., Palomino,M.A., Papenburg,J., Pernica,J.M., Richmond,P., Stein,R.T., Tuffy,K.M., Verwey,C., Esser,M.T., Tabor,D.E., Bont,L.J.","Astrazeneca, Early Vaccines & Immune Therapies",USA,2023-03-05,490103025,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,partial,,,,Germany,Germany,,Homo sapiens,,2020-03-16,,,"Human respiratory syncytial virus A isolate 490103025 fusion glycoprotein (F) gene, complete cds"
KT765449,Human respiratory syncytial virus A,GenBank,set:KT765449,,"Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.","Kenya Medical Research Institute (KEMRI) - Wellcome Trust Research Programme, Department of Epidemiology and Demography",Kenya,2016-02-27,KEN/Kilifi/1008_01/06/2011,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),615,partial,,,1,Kenya,Kenya,,Homo sapiens,,2011-06-01,,,"Human respiratory syncytial virus A isolate KEN/Kilifi/1008_01/06/2011 attachment glycoprotein (G) gene, partial cds"
PP957766,Human respiratory syncytial virus A,GenBank,,SRR29541269,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnker,L., Wang,X.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",USA,2024-07-03,MN-MDH-RSVA-00753,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),15043,partial,,,,USA: Minnesota,USA,MN,Homo sapiens,oronasopharynx,2024-03-27,SAMN42036951,PRJNA1048457,"Human respiratory syncytial virus A isolate MN-MDH-RSVA-00753, partial genome"
PP594817,Human respiratory syncytial virus A,GenBank,,SRR28568807,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Wang,X.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",,2024-04-15,MN-MDH-RSVA-00275,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),14855,partial,,,,USA: Minnesota,USA,MN,Homo sapiens,oronasopharynx,2023-12-04,SAMN40761746,PRJNA1048457,"Human respiratory syncytial virus A isolate MN-MDH-RSVA-00275, partial genome"
MH922784,Respiratory syncytial virus type A,GenBank,set:MH922784,,"Thangan,M., Anusha,H.","University of Madras, Microbiology",India,2019-05-05,RSVA/IND/CHENNAI/PD293,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),303,partial,,,,India,India,,Homo sapiens,oronasopharynx,,,,"Respiratory syncytial virus type A isolate RSVA/IND/CHENNAI/PD293 attachment glycoprotein gene, partial cds"
OQ595292,Human respiratory syncytial virus A,GenBank,,,"Lambisia,A.W., Lewa,C., Mutunga,M., Cheruiyot,R., Okanda,D., Makori,T., Githinji,G., Nokes,J.D., Agoti,C.","KEMRI-Wellcome Trust, Epidemiology and Demography",Kenya,2023-04-15,Kilifi/RSVA/HF20062_10/04/2018,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),14776,partial,,,,Kenya: Kilifi,Kenya,,Homo sapiens,oronasopharynx,2018-04-10,,,"Human respiratory syncytial virus A isolate Kilifi/RSVA/HF20062_10/04/2018, partial genome"
OQ276515,Human respiratory syncytial virus A,GenBank,,,"Wilkins,D., Langedijk,A.C., Lebbink,R.J., Morehouse,C.A., Abram,M.E., Ahani,B., Aksyuk,A.A., Baraldi,E., Brady,T., Chen,A.T., Chi,H., Choi,E.H., Cohen,R., Danilenko,D.M., Gopalakrishnan,V., Greenough,A., Heikkinen,T., Hosoya,M., Keller,C., Kelly,E.J., Kragten-Tabatabaie,L., Martinon-Torres,F., Mascarenas-de Los Santos,A.H., Nunes,M.C., Palomino,M.A., Papenburg,J., Pernica,J.M., Richmond,P., Stein,R.T., Tuffy,K.M., Verwey,C., Esser,M.T., Tabor,D.E., Bont,L.J.","Astrazeneca, Early Vaccines & Immune Therapies",USA,2023-03-05,Osmt170188,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,partial,,,,USA: Pennsylvania,USA,PA,Homo sapiens,,2016-12-01,,,"Human respiratory syncytial virus A isolate Osmt170188 fusion glycoprotein (F) gene, complete cds"
OP690402,Respiratory syncytial virus type A,GenBank,,,"Lee,C.Y.","Chang Bing Show Chwan Memorial Hospital, Department of Pediatrics",Taiwan,2023-05-01,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),669,partial,,,,Taiwan,Taiwan,,Homo sapiens,oronasopharynx,2021,,,"Respiratory syncytial virus type A strain TVGH-A188 attachment glycoprotein (G) gene, partial cds"
KY911017,Human respiratory syncytial virus A,GenBank,set:KY911017,,"Obodai,E., Odoom,J.K., Adiku,T., Goka,B., Wolff,T., Biere,B., Schweiger,B., Reiche,J.","Noguchi Memorial Institute for Medical Research, Virology",Ghana,2018-09-24,GHA/RV279/2013,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),264,partial,,,,Ghana,Ghana,,Homo sapiens,oronasopharynx,2013-09-13,,,"Human respiratory syncytial virus A isolate GHA/RV279/2013 attachment glycoprotein (G) gene, partial cds"
OQ511344,Human respiratory syncytial virus A,GenBank,,,"Kim,H.N., Hwang,J., Yoon,S.-Y., Lim,C.S., Cho,Y., Lee,C.-K., Nam,M.-H.","Korea University Guro Hospital, Laboratory Medicine",South Korea,2023-04-02,A/SEL/027,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),315,partial,A,,,South Korea: Seoul,South Korea,,Homo sapiens,oronasopharynx,2011,,,"Human respiratory syncytial virus A isolate A/SEL/027 attachment glycoprotein (G) gene, partial cds"
