seq1_id	seq2_id	alignment_length	comparable_sites	matches	mismatches	mismatch_rate	seq1_length	seq2_length	seq1_gaps	seq2_gaps	seq1_Ns	seq2_Ns
MN090277.1	MZ766594.1	9370	7522	7522	1425	0.189444	9232	9085	138	285	0	0
MN090277.1	MN090204.1	9240	8665	8665	401	0.046278	9232	9074	8	166	0	0
MN090277.1	AF443074.1	9338	7604	7604	1327	0.174513	9232	9037	106	301	0	0
MN090277.1	MW881692.1	9279	8050	8050	803	0.099752	9232	8900	47	379	0	0
MN090277.1	MN090437.1	9299	7664	7664	1298	0.169363	9232	9029	67	270	0	0
MN090277.1	MK457885.1	9307	6964	6964	1725	0.247702	9232	8764	75	543	0	0
MN090277.1	MN090277.1	9232	9232	9232	0	0.000000	9232	9232	0	0	0	0
MN090277.1	MN187301.1	9677	7888	7888	1198	0.151876	9232	9531	445	146	0	0
MN090277.1	HM215250.1	10086	7470	6414	1287	0.172289	9232	9611	854	470	0	1852
MN090277.1	MN090316.1	9292	8988	8988	47	0.005229	9232	9095	60	197	0	0
MN090277.1	K02013.1	9355	8301	8301	805	0.096976	9232	9229	123	126	0	0
MN090277.1	MW063100.1	9328	7961	7961	995	0.124984	9232	9052	96	276	0	0
MN090277.1	MN090211.1	9235	8736	8736	322	0.036859	9232	9061	3	174	0	0
MN090277.1	MT191024.1	9310	8098	8098	881	0.108792	9232	9057	78	253	0	0
MN090277.1	MK458218.1	9372	7292	7292	1649	0.226138	9232	9081	140	291	0	0
MN090277.1	AY835777.1	9790	8396	8396	749	0.089209	9232	9703	558	87	0	0
MN090277.1	PV738262.1	9326	8184	8184	812	0.099218	9232	9090	94	236	0	0
MN090277.1	U69588.1	9337	8267	8267	799	0.096649	9232	9171	105	166	0	0
MN090277.1	AY835773.1	9847	8296	8296	843	0.101615	9232	9754	615	93	0	0
MN090277.1	MT194498.1	9347	7557	7557	1384	0.183141	9232	9056	115	291	0	0
MN090277.1	MK457977.1	9337	7336	7336	1597	0.217694	9232	9038	105	299	0	0
MN090277.1	MK458244.1	9285	7329	7329	1622	0.221313	9232	9004	53	281	0	0
MN090277.1	PV207457.1	9313	7240	7240	1617	0.223343	9232	8938	81	375	0	0
MN090277.1	MN090303.1	9252	8788	8788	269	0.030610	9232	9077	20	175	0	0
MN090277.1	FJ670529.1	9296	7820	7820	1113	0.142327	9232	8997	64	299	0	0
MN090277.1	MN090271.1	9252	9035	9035	33	0.003652	9232	9088	20	164	0	0
MN090277.1	MW006075.1	9844	7821	7821	1310	0.167498	9232	9743	612	101	0	0
MN090277.1	MN090294.1	9235	8700	8700	361	0.041494	9232	9064	3	171	0	0
MN090277.1	K02083.1	9848	8336	8336	818	0.098129	9232	9770	616	78	0	0
MN090277.1	MN043582.1	9283	7948	7948	780	0.098138	9232	8779	51	503	0	0
MN090277.1	U69584.1	9352	8297	8297	800	0.096420	9232	9217	120	135	0	0
MN090277.1	MN090741.1	9295	7849	7849	1119	0.142566	9232	9031	63	264	0	0
MN090277.1	KU168259.1	9789	8135	8135	994	0.122188	9232	9686	557	103	0	0
MN090277.1	MN090236.1	9235	8498	8498	528	0.062132	9232	9029	3	206	0	0
MN090277.1	MN090187.1	9260	8896	8896	165	0.018548	9232	9089	28	171	0	0
MN090277.1	MN090406.1	9304	7776	7776	1165	0.149820	9232	9013	72	291	0	0
MN090277.1	KC156117.1	9848	7735	7735	1381	0.178539	9232	9732	616	116	0	0
MN090277.1	MT929422.1	9853	8115	8115	1047	0.129020	9232	9783	621	69	0	0
