"index"	"sample"	"cluster"	"step"	"(annotation) subject"	"(annotation) pident"	"(annotation) qlen"	"(annotation) slen"	"(annotation) length"	"(annotation) mismatch"	"(annotation) gapopen"	"(annotation) qstart"	"(annotation) qend"	"(annotation) sstart"	"(annotation) send"	"(annotation) evalue"	"(annotation) bitscore"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"(annotation) % contig aligned"	"(blast) subject"	"(blast) subject title"	"(blast) pident"	"(blast) qlen"	"(blast) slen"	"(blast) length"	"(blast) mismatch"	"(blast) gapopen"	"(blast) qstart"	"(blast) qend"	"(blast) sstart"	"(blast) send"	"(blast) evalue"	"(blast) bitscore"	"(checkv) contig_length"	"(checkv) provirus"	"(checkv) proviral_length"	"(checkv) gene_count"	"(checkv) viral_genes"	"(checkv) host_genes"	"(checkv) checkv_quality"	"(checkv) miuvig_quality"	"(checkv) completeness"	"(checkv) completeness_method"	"(checkv) contamination"	"(checkv) kmer_freq"	"(checkv) warnings"	"(cluster) taxon-id"	"(cluster) centroid"	"(cluster) number of members"	"(cluster) cumulative read depth - spades [%]"	"(cluster) cumulative read depth - megahit [%]"	"(cluster) cumulative read depth - trinity [%]"	"(cluster) members"	"(quast) # N's"	"(quast) % N's"	"(quast) # N's per 100 kbp"	"(samtools Raw) total length"	"(samtools Raw) average length"	"(samtools Raw) average quality"	"(samtools Raw) error rate"	"(samtools Raw) mismatches"	"(samtools Raw) reads MQ0"	"(samtools Raw) reads mapped (R1+R2)"	"(samtools Raw) reads mapped %"	"(samtools Raw) reads unmapped (R1+R2)"	"(samtools Raw) reads unmapped %"	"(samtools Raw) reads QC failed"	"(samtools Raw) reads QC failed %"	"(samtools Raw) reads paired"	"(samtools Raw) reads paired %"	"(samtools Raw) reads properly paired"	"(samtools Raw) reads properly paired %"	"(samtools Raw) reads duplicated"	"(samtools Raw) reads duplicated %"	"(samtools Raw) non primary alignments"	"(samtools Raw) supplementary alignments"	"(samtools Raw) outward oriented pairs"	"(samtools Raw) inward oriented pairs"	"(samtools Raw) insert size average"	"(samtools Raw) insert size standard deviation"	"(samtools Raw) bases mapped"	"(samtools Raw) bases mapped cigar"	"(samtools Raw) bases trimmed"	"(samtools Raw) bases duplicated"	"(picard) unpaired reads examined"	"(picard) read pair optical duplicates"	"(picard) unmapped reads (R1+R2)"	"(picard) estimated library size"	"(picard) unpaired read duplicates"	"(picard) secondary or supplementary rds"	"(picard) read pairs examined"	"(picard) read pair duplicates"	"(picard) % duplication"	"(picard) library"	"(samtools Post-dedup) total length"	"(samtools Post-dedup) average length"	"(samtools Post-dedup) average quality"	"(samtools Post-dedup) error rate"	"(samtools Post-dedup) mismatches"	"(samtools Post-dedup) reads MQ0"	"(samtools Post-dedup) reads mapped (R1+R2)"	"(samtools Post-dedup) reads mapped %"	"(samtools Post-dedup) reads unmapped (R1+R2)"	"(samtools Post-dedup) reads unmapped %"	"(samtools Post-dedup) reads QC failed"	"(samtools Post-dedup) reads QC failed %"	"(samtools Post-dedup) reads paired"	"(samtools Post-dedup) reads paired %"	"(samtools Post-dedup) reads properly paired"	"(samtools Post-dedup) reads properly paired %"	"(samtools Post-dedup) reads duplicated"	"(samtools Post-dedup) reads duplicated %"	"(samtools Post-dedup) non primary alignments"	"(samtools Post-dedup) supplementary alignments"	"(samtools Post-dedup) outward oriented pairs"	"(samtools Post-dedup) inward oriented pairs"	"(samtools Post-dedup) insert size average"	"(samtools Post-dedup) insert size standard deviation"	"(samtools Post-dedup) bases mapped"	"(samtools Post-dedup) bases mapped cigar"	"(samtools Post-dedup) bases trimmed"	"(samtools Post-dedup) bases duplicated"	"(ivar_variants) raw inserts"	"(ivar_variants) raw SNPs"	"(ivar_variants) raw deletions"	"(bcftools) number of indels"	"(bcftools) number of samples"	"(bcftools) number of SNPs"	"(bcftools) number of MNPs"	"(bcftools) number of no-ALTs"	"(bcftools) number of records"	"(bcftools) number of others"	"(bcftools) number of multiallelic sites"	"(bcftools) number of multiallelic SNP sites"	"(bcftools) number of transversions"	"(bcftools) transversion in 1st alternative"	"(bcftools) number of transitions"	"(bcftools) transistion in 1st alternative"	"(bcftools) transistions/transversions ratio"	"(bcftools) transition/transversion in 1st alternative"	"(bcftools) substitution T->C"	"(bcftools) substitution A->C"	"(bcftools) substitution C->A"	"(bcftools) substitution G->T"	"(bcftools) substitution A->T"	"(bcftools) substitution C->T"	"(bcftools) substitution T->G"	"(bcftools) substitution T->A"	"(bcftools) substitution G->C"	"(bcftools) substitution C->G"	"(bcftools) substitution G->A"	"(bcftools) substitution A->G"	"(general_stats) mosdepth Mean read depth"	"(general_stats) mosdepth Min read depth"	"(general_stats) mosdepth Max read depth"	"(general_stats) mosdepth Median read depth"	"(general_stats) mosdepth 1X coverage"	"(general_stats) mosdepth 5X coverage"	"(general_stats) mosdepth 10X coverage"	"(general_stats) mosdepth 50X coverage"	"(general_stats) mosdepth 100X coverage"	"(general_stats) mosdepth 200X coverage"	"(general_stats) mosdepth 500X coverage"	"(general_stats) mosdepth 750X coverage"	"(general_stats) mosdepth 1000X coverage"
"DRX474368_cl319_consensus"	"DRX474368"	"cl319"	"consensus"	"AB261175:AB261175;"	"0.993"	"2443"	"6304"	"2439"	"17"	"0"	"3"	"2441"	"930"	"3368"	"0.0"	"1644"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"99.84"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.632"	"2443"	"6303"	"2443"	"9"	"0"	"1"	"2443"	"928"	"3370"	"0.0"	"4470"	2443.0	"No"	""	1.0	1.0	0.0	"Low-quality"	"Genome-fragment"	38.31	"AAI-based (high-confidence)"	0.0	1.0	""	12234	"k141_11730"	11	0.01	12.5	0.0	"k141_11733,NODE_33344_length_145_cov_19.750000,NODE_33346_length_145_cov_18.027778,NODE_33351_length_145_cov_16.416667,NODE_33421_length_144_cov_51.830986,NODE_33325_length_145_cov_35.875000,NODE_33343_length_145_cov_19.763889,NODE_33391_length_145_cov_5.458333,NODE_33438_length_144_cov_22.422535,NODE_33338_length_145_cov_24.194444,NODE_33360_length_145_cov_9.875000"	3.0	0.16	"163.73"	6666314875.0	138.0	40.2	0.006728983	4053715.0	5103.0	4740385.0	9.834487401758546	43461263.0	90.16551259824146	0.0	0.0	48201648.0	100.0	4621836.0	9.5885435286362	0.0	0.0	0.0	2958.0	1148293.0	1173978.0	151.6	55.5	659835768.0	602426092.0	0.0	0.0	95833.0	0.0	43461263.0	249470.0	95833.0	2958.0	2322276.0	2072828.0	0.894756	"Unknown Library"	6075964388.0	138.0	40.2	0.002665107	172035.0	113.0	498896.0	1.1348821554535324	43461263.0	98.86511784454648	0.0	0.0	43960159.0	100.0	481732.0	1.0958377106870791	0.0	0.0	0.0	2958.0	92070.0	157375.0	182.0	82.3	69485281.0	64550886.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18140.09	12173.0	22973.0	18499.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0
"DRX474368_cl319_it1"	"DRX474368"	"cl319"	"it1"	"AB261175:AB261175;"	"0.998"	"2443"	"6304"	"2439"	"5"	"0"	"3"	"2441"	"930"	"3368"	"0.0"	"1654"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"99.84"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.795"	"2443"	"6303"	"2443"	"5"	"0"	"1"	"2443"	"928"	"3370"	"0.0"	"4484"	2443.0	"No"	""	1.0	1.0	0.0	"Low-quality"	"Genome-fragment"	38.31	"AAI-based (high-confidence)"	0.0	1.0	""	12234	"k141_11730"	11	0.01	12.5	0.0	"k141_11733,NODE_33344_length_145_cov_19.750000,NODE_33346_length_145_cov_18.027778,NODE_33351_length_145_cov_16.416667,NODE_33421_length_144_cov_51.830986,NODE_33325_length_145_cov_35.875000,NODE_33343_length_145_cov_19.763889,NODE_33391_length_145_cov_5.458333,NODE_33438_length_144_cov_22.422535,NODE_33338_length_145_cov_24.194444,NODE_33360_length_145_cov_9.875000"	0.0	0.0	"0.00"	6666314875.0	138.0	40.2	0.0006133068	369478.0	0.0	4740492.0	9.83470938586996	43461156.0	90.16529061413004	0.0	0.0	48201648.0	100.0	4621944.0	9.588767587365478	0.0	0.0	0.0	2987.0	1162764.0	1159575.0	151.5	55.5	659850730.0	602435869.0	0.0	0.0	95804.0	0.0	43461156.0	250043.0	95804.0	2987.0	2322344.0	2072324.0	0.894517	"Unknown Library"	6076106346.0	138.0	40.2	0.0007021533	45427.0	0.0	500040.0	1.1374576797228173	43461156.0	98.86254232027719	0.0	0.0	43961196.0	100.0	482820.0	1.0982867709058688	0.0	0.0	0.0	2987.0	92317.0	157700.0	182.0	82.3	69642201.0	64696695.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18182.04	12171.0	23041.0	18518.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0
"DRX474368_cl319_it2"	"DRX474368"	"cl319"	"it2"	"AB261175:AB261175;"	"0.998"	"2443"	"6304"	"2439"	"5"	"0"	"3"	"2441"	"930"	"3368"	"0.0"	"1654"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"99.84"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.795"	"2443"	"6303"	"2443"	"5"	"0"	"1"	"2443"	"928"	"3370"	"0.0"	"4484"	2443.0	"No"	""	1.0	1.0	0.0	"Low-quality"	"Genome-fragment"	38.31	"AAI-based (high-confidence)"	0.0	1.0	""	12234	"k141_11730"	11	0.01	12.5	0.0	"k141_11733,NODE_33344_length_145_cov_19.750000,NODE_33346_length_145_cov_18.027778,NODE_33351_length_145_cov_16.416667,NODE_33421_length_144_cov_51.830986,NODE_33325_length_145_cov_35.875000,NODE_33343_length_145_cov_19.763889,NODE_33391_length_145_cov_5.458333,NODE_33438_length_144_cov_22.422535,NODE_33338_length_145_cov_24.194444,NODE_33360_length_145_cov_9.875000"	0.0	0.0	"0.00"	6666314875.0	138.0	40.2	0.0006133068	369478.0	0.0	4740492.0	9.83470938586996	43461156.0	90.16529061413004	0.0	0.0	48201648.0	100.0	4621944.0	9.588767587365478	0.0	0.0	0.0	2987.0	1162764.0	1159575.0	151.5	55.5	659850730.0	602435869.0	0.0	0.0	95804.0	0.0	43461156.0	250043.0	95804.0	2987.0	2322344.0	2072324.0	0.894517	"Unknown Library"	6076106346.0	138.0	40.2	0.0007021533	45427.0	0.0	500040.0	1.1374576797228173	43461156.0	98.86254232027719	0.0	0.0	43961196.0	100.0	482820.0	1.0982867709058688	0.0	0.0	0.0	2987.0	92317.0	157700.0	182.0	82.3	69642201.0	64696695.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18182.04	12171.0	23041.0	18518.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0
"DRX474368_cl319_itvariant-calling"	"DRX474368"	"cl319"	"itvariant-calling"	"AB261175:AB261175;"	"0.998"	"2443"	"6304"	"2439"	"5"	"0"	"3"	"2441"	"930"	"3368"	"0.0"	"1654"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"99.84"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.795"	"2443"	"6303"	"2443"	"5"	"0"	"1"	"2443"	"928"	"3370"	"0.0"	"4484"	2443.0	"No"	""	1.0	1.0	0.0	"Low-quality"	"Genome-fragment"	38.31	"AAI-based (high-confidence)"	0.0	1.0	""	12234	"k141_11730"	11	0.01	12.5	0.0	"k141_11733,NODE_33344_length_145_cov_19.750000,NODE_33346_length_145_cov_18.027778,NODE_33351_length_145_cov_16.416667,NODE_33421_length_144_cov_51.830986,NODE_33325_length_145_cov_35.875000,NODE_33343_length_145_cov_19.763889,NODE_33391_length_145_cov_5.458333,NODE_33438_length_144_cov_22.422535,NODE_33338_length_145_cov_24.194444,NODE_33360_length_145_cov_9.875000"	0.0	0.0	"0.00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"DRX474368_cl345_consensus"	"DRX474368"	"cl345"	"consensus"	"AB261175:AB261175;"	"1.0"	"145"	"6304"	"135"	"0"	"0"	"138"	"4"	"6176"	"6042"	"4.4550000000000006e-26"	"100"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"93.1"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"100.0"	"145"	"6303"	"145"	"0"	"0"	"1"	"145"	"6039"	"6183"	"2.3399999999999998e-68"	"268"	""	""	""	""	""	""	""	""	""	""	""	""	""	12234	"NODE_33307_length_145_cov_64.527778"	9	0.0	9.75	0.0	"k141_817,k141_19688,k141_20201,k141_7993,k141_16635,k141_2505,k141_2082,k141_17453,k141_5644"	""	""	""	6666314875.0	138.0	40.2	0.001349332	222139.0	15.0	1896932.0	3.9354090134013675	46304716.0	96.06459098659863	0.0	0.0	48201648.0	100.0	1792432.0	3.7186114466459737	0.0	0.0	0.0	79.0	619012.0	277229.0	97.0	43.5	260073289.0	164628870.0	0.0	0.0	104450.0	0.0	46304716.0	25695.0	104450.0	79.0	896241.0	870546.0	0.972909	"Unknown Library"	6413226938.0	138.0	40.2	0.002091164	8735.0	0.0	51390.0	0.11085918217548299	46304716.0	99.88914081782451	0.0	0.0	46356106.0	100.0	51342.0	0.11075563594578026	0.0	0.0	0.0	79.0	15877.0	9818.0	98.8	41.0	6985352.0	4177099.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17455.17	14239.0	18321.0	17768.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0
"DRX474368_cl393_consensus"	"DRX474368"	"cl393"	"consensus"	"AB261175:AB261175;"	"1.0"	"282"	"6304"	"144"	"0"	"0"	"3"	"146"	"5969"	"5826"	"4.742e-30"	"111"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"51.06"	"acc|NEIGHBOR|AB261175.1|Youcai"	"acc|NEIGHBOR|AB261175.1|Youcai mosaic virus genomic RNA, complete genome, isolate: 722|Youcai mosaic virus|VRL|31-JAN-2009"	"99.645"	"282"	"6304"	"282"	"0"	"1"	"1"	"282"	"5971"	"5691"	"5.9999999999999995e-142"	"514"	282.0	"No"	""	1.0	1.0	0.0	"Low-quality"	"Genome-fragment"	2.64	"HMM-based (lower-bound)"	0.0	1.0	""	12234	"k141_15388"	4	69.43	0.75	0.0	"NODE_22_length_6333_cov_210616.203035,k141_4590,k141_10758,k141_634"	""	""	""	6666314875.0	138.0	40.2	0.003873948	1468509.0	11.0	3642886.0	7.557596370978851	44558762.0	92.44240362902116	0.0	0.0	48201648.0	100.0	3519612.0	7.301849928450579	0.0	0.0	0.0	340.0	5141.0	1754832.0	120.5	51.9	508678630.0	379072979.0	0.0	0.0	122940.0	0.0	44558762.0	48963.0	122940.0	340.0	1759973.0	1711010.0	0.973119	"Unknown Library"	6171200744.0	138.0	40.2	0.005599692	55336.0	0.0	97926.0	0.21928630264743323	44558762.0	99.78071369735257	0.0	0.0	44656688.0	100.0	97650.0	0.21866825412578736	0.0	0.0	0.0	340.0	1337.0	47626.0	142.0	69.3	13564499.0	9881971.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23632.65	1906.0	26863.0	23870.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0
"DRX474368_cl461_consensus"	"DRX474368"	"cl461"	"consensus"	"AB261175:AB261175;"	"0.99"	"3645"	"6304"	"624"	"6"	"0"	"1210"	"587"	"27"	"650"	"5.065e-134"	"421"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"17.12"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.521"	"3645"	"6303"	"626"	"3"	"0"	"587"	"1212"	"650"	"25"	"0.0"	"1144"	3645.0	"Yes"	1168.0	4.0	1.0	1.0	"Low-quality"	"Genome-fragment"	0.9	"HMM-based (lower-bound)"	67.96	1.0	""	12234	"k141_9440"	10	0.01	10.12	0.0	"NODE_33316_length_145_cov_48.166667,k141_2634,NODE_33326_length_145_cov_33.638889,NODE_33330_length_145_cov_30.041667,NODE_33324_length_145_cov_35.902778,NODE_33336_length_145_cov_24.972222,NODE_33350_length_145_cov_16.541667,NODE_33310_length_145_cov_60.791667,NODE_33334_length_145_cov_27.972222,k141_3284"	2.0	0.08	"82.30"	6666314875.0	138.0	40.2	0.01232758	8524114.0	42.0	5779694.0	11.990656419050238	42421954.0	88.00934358094976	0.0	0.0	48201648.0	100.0	5565838.0	11.54698694119338	0.0	0.0	0.0	46270.0	121256.0	2698099.0	142.9	83.1	803339471.0	691466824.0	0.0	0.0	140700.0	0.0	42421954.0	236433.0	140692.0	46270.0	2819497.0	2583065.0	0.918184	"Unknown Library"	5928369191.0	138.0	40.2	0.01257531	737652.0	20.0	472872.0	1.1023986902289802	42421954.0	98.89760130977102	0.0	0.0	42894826.0	100.0	447628.0	1.043547769607458	0.0	0.0	0.0	46270.0	19949.0	216351.0	213.2	338.2	65393787.0	58658743.0	0.0	0.0	7.0	200.0	2.0	9.0	1.0	200.0	0.0	0.0	209.0	0.0	0.0	0.0	109.0	109.0	88.0	88.0	0.81	0.81	15.0	15.0	10.0	12.0	20.0	20.0	15.0	25.0	9.0	3.0	30.0	23.0	11197.94	2.0	45952.0	7673.0	100.0	99.0	97.0	90.0	87.0	84.0	67.0	0.0	0.0
"DRX474368_cl461_it1"	"DRX474368"	"cl461"	"it1"	"AB261175:AB261175;"	"0.995"	"3665"	"6304"	"624"	"3"	"0"	"1210"	"587"	"27"	"650"	"7.637e-135"	"423"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"17.03"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.84"	"3665"	"6303"	"626"	"1"	"0"	"587"	"1212"	"650"	"25"	"0.0"	"1151"	3665.0	"Yes"	1168.0	4.0	1.0	1.0	"Low-quality"	"Genome-fragment"	0.9	"HMM-based (lower-bound)"	68.13	1.0	""	12234	"k141_9440"	10	0.01	10.12	0.0	"NODE_33316_length_145_cov_48.166667,k141_2634,NODE_33326_length_145_cov_33.638889,NODE_33330_length_145_cov_30.041667,NODE_33324_length_145_cov_35.902778,NODE_33336_length_145_cov_24.972222,NODE_33350_length_145_cov_16.541667,NODE_33310_length_145_cov_60.791667,NODE_33334_length_145_cov_27.972222,k141_3284"	15.0	0.41	"409.28"	6666314875.0	138.0	40.2	0.002053755	1446364.0	23.0	5935849.0	12.314618371554435	42265799.0	87.68538162844557	0.0	0.0	48201648.0	100.0	5697156.0	11.819421609817159	0.0	0.0	0.0	46444.0	149976.0	2735642.0	142.9	86.8	825357023.0	704253573.0	0.0	0.0	163961.0	0.0	42265799.0	242538.0	163953.0	46444.0	2885944.0	2643407.0	0.918279	"Unknown Library"	5907952046.0	138.0	40.2	0.002612285	156282.0	12.0	485082.0	1.13467135332252	42265799.0	98.86532864667747	0.0	0.0	42750881.0	100.0	459452.0	1.0747193724498918	0.0	0.0	0.0	46444.0	22685.0	219543.0	213.6	340.3	66994194.0	59825781.0	0.0	0.0	7.0	94.0	3.0	10.0	1.0	94.0	0.0	0.0	104.0	0.0	0.0	0.0	41.0	41.0	53.0	53.0	1.29	1.29	8.0	6.0	3.0	6.0	3.0	10.0	2.0	11.0	9.0	1.0	17.0	18.0	11384.82	0.0	47847.0	8728.0	100.0	99.0	97.0	90.0	88.0	84.0	67.0	0.0	0.0
"DRX474368_cl461_it2"	"DRX474368"	"cl461"	"it2"	"AB261175:AB261175;"	"0.995"	"3665"	"6304"	"624"	"3"	"0"	"1210"	"587"	"27"	"650"	"7.637e-135"	"423"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"17.03"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.84"	"3665"	"6303"	"626"	"1"	"0"	"587"	"1212"	"650"	"25"	"0.0"	"1151"	3665.0	"Yes"	1168.0	4.0	1.0	1.0	"Low-quality"	"Genome-fragment"	0.9	"HMM-based (lower-bound)"	68.13	1.0	""	12234	"k141_9440"	10	0.01	10.12	0.0	"NODE_33316_length_145_cov_48.166667,k141_2634,NODE_33326_length_145_cov_33.638889,NODE_33330_length_145_cov_30.041667,NODE_33324_length_145_cov_35.902778,NODE_33336_length_145_cov_24.972222,NODE_33350_length_145_cov_16.541667,NODE_33310_length_145_cov_60.791667,NODE_33334_length_145_cov_27.972222,k141_3284"	15.0	0.41	"409.28"	6666314875.0	138.0	40.2	0.002047432	1442835.0	21.0	5936964.0	12.316931570472445	42264684.0	87.68306842952755	0.0	0.0	48201648.0	100.0	5698254.0	11.821699540231489	0.0	0.0	0.0	46445.0	148593.0	2737575.0	142.9	86.8	825494213.0	704704754.0	0.0	0.0	163976.0	0.0	42264684.0	242636.0	163968.0	46445.0	2886494.0	2643859.0	0.918262	"Unknown Library"	5907840254.0	138.0	40.2	0.002607671	156092.0	11.0	485278.0	1.1351542254002471	42264684.0	98.86484577459976	0.0	0.0	42749962.0	100.0	459640.0	1.0751822422672563	0.0	0.0	0.0	46445.0	22647.0	219679.0	213.6	340.3	67019592.0	59858777.0	0.0	0.0	7.0	95.0	3.0	10.0	1.0	95.0	0.0	0.0	105.0	0.0	0.0	0.0	41.0	41.0	54.0	54.0	1.32	1.32	8.0	6.0	3.0	6.0	3.0	10.0	2.0	11.0	9.0	1.0	18.0	18.0	11390.99	0.0	47847.0	8732.0	100.0	99.0	97.0	90.0	88.0	84.0	67.0	0.0	0.0
"DRX474368_cl461_itvariant-calling"	"DRX474368"	"cl461"	"itvariant-calling"	"AB261175:AB261175;"	"0.99"	"3662"	"6304"	"627"	"6"	"0"	"1210"	"584"	"27"	"653"	"4.065e-135"	"424"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"17.12"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.841"	"3662"	"6303"	"628"	"1"	"0"	"585"	"1212"	"652"	"25"	"0.0"	"1155"	3662.0	"Yes"	1168.0	4.0	1.0	1.0	"Low-quality"	"Genome-fragment"	0.9	"HMM-based (lower-bound)"	68.1	1.0	""	12234	"k141_9440"	10	0.01	10.12	0.0	"NODE_33316_length_145_cov_48.166667,k141_2634,NODE_33326_length_145_cov_33.638889,NODE_33330_length_145_cov_30.041667,NODE_33324_length_145_cov_35.902778,NODE_33336_length_145_cov_24.972222,NODE_33350_length_145_cov_16.541667,NODE_33310_length_145_cov_60.791667,NODE_33334_length_145_cov_27.972222,k141_3284"	33.0	0.93	"928.45"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
