seq1_id	seq2_id	alignment_length	comparable_sites	matches	mismatches	mismatch_rate	seq1_length	seq2_length	seq1_gaps	seq2_gaps	seq1_Ns	seq2_Ns
LVE00050-6466_LVE00050_cl1_it2.consensus_bcftools	_R_LVE00050-RVDB_LVE00050_cl1_it2.consensus_bcftools	3417	1842	1814	71	0.038545	1918	3412	1499	5	1	166
LVE00279-7274_LVE00279_cl0_it2.consensus_bcftools	LVE00279-RVDB_LVE00279_cl1_it2.consensus_bcftools	3569	3569	3529	0	0.000000	3569	3569	0	0	40	40
LVE00223-9294_LVE00223_cl1_it2.consensus_bcftools	LVE00223-RVDB_LVE00223_cl1_it2.consensus_bcftools	3413	3403	3390	0	0.000000	3403	3413	9	0	13	22
LVE00223-7476_LVE00223_cl0_it2.consensus_bcftools	LVE00223-RVDB_LVE00223_cl0_it2.consensus_bcftools	7262	7153	6084	0	0.000000	7153	7262	109	0	1069	775
LVE00045-9496_LVE00045_cl2_it2.consensus_bcftools	_R_LVE00045-RVDB_LVE00045_cl0_it2.consensus_bcftools	7242	1308	1308	5	0.003823	1313	7242	5929	0	0	844
LVE00140-9496_LVE00140_cl0_it2.consensus_bcftools	_R_LVE00140-RVDB_LVE00140_cl0_it2.consensus_bcftools	7387	7160	7160	45	0.006285	7210	7382	177	5	0	0
LVE00140-9092_LVE00140_cl1_it2.consensus_bcftools	LVE00140-RVDB_LVE00140_cl1_it2.consensus_bcftools	3413	3413	3397	0	0.000000	3413	3413	0	0	16	16
LVE00063-6870_LVE00063_cl1_it2.consensus_bcftools	_R_LVE00063-RVDB_LVE00063_cl0_it2.consensus_bcftools	7258	1363	1299	0	0.000000	1363	7258	5895	0	64	1761
LVE00127-8486_LVE00127_cl2_it2.consensus_bcftools	LVE00127-RVDB_LVE00127_cl1_it2.consensus_bcftools	3497	3242	3242	17	0.005244	3347	3409	150	88	0	6
LVE00050-7274_LVE00050_cl1_it2.consensus_bcftools	_R_LVE00050-RVDB_LVE00050_cl0_it2.consensus_bcftools	7271	1775	1766	0	0.000000	1775	7271	5496	0	9	1350
LVE00140-7072_LVE00140_cl0_it2.consensus_bcftools	LVE00140-RVDB_LVE00140_cl0_it2.consensus_bcftools	7382	7382	7382	0	0.000000	7382	7382	0	0	0	0
LVE00063-6668_LVE00063_cl1_it2.consensus_bcftools	_R_LVE00063-RVDB_LVE00063_cl0_it2.consensus_bcftools	7258	1363	1299	0	0.000000	1363	7258	5895	0	64	1761
LVE00045-8082_LVE00045_cl0_it2.consensus_bcftools	LVE00045-RVDB_LVE00045_cl0_it2.consensus_bcftools	7247	7209	6365	0	0.000000	7214	7242	33	5	839	844
LVE00050-7476_LVE00050_cl2_it2.consensus_bcftools	_R_LVE00050-RVDB_LVE00050_cl0_it2.consensus_bcftools	7271	1775	1766	0	0.000000	1775	7271	5496	0	9	1350
LVE00063-6870_LVE00063_cl0_it2.consensus_bcftools	_R_LVE00063-RVDB_LVE00063_cl1_it2.consensus_bcftools	3442	3235	3228	18	0.005564	3286	3409	156	33	0	8
LVE00223-7072_LVE00223_cl0_it2.consensus_bcftools	LVE00223-RVDB_LVE00223_cl0_it2.consensus_bcftools	7262	7110	5634	0	0.000000	7110	7262	152	0	1476	775
LVE00223-7880_LVE00223_cl2_it2.consensus_bcftools	_R_LVE00223-RVDB_LVE00223_cl1_it2.consensus_bcftools	3413	1574	1572	0	0.000000	1574	3413	1839	0	2	22
LVE00050-7072_LVE00050_cl0_it2.consensus_bcftools	LVE00050-RVDB_LVE00050_cl0_it2.consensus_bcftools	7272	7055	4652	0	0.000000	7056	7271	216	1	2404	1350
LVE00223-6668_LVE00223_cl0_it2.consensus_bcftools	_R_LVE00223-RVDB_LVE00223_cl0_it2.consensus_bcftools	7351	4873	4789	0	0.000000	4962	7262	2388	89	173	775
LVE00063-7072_LVE00063_cl2_it2.consensus_bcftools	_R_LVE00063-RVDB_LVE00063_cl0_it2.consensus_bcftools	7258	1363	1299	0	0.000000	1363	7258	5895	0	64	1761
