,,gaps,identities,mismatches,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Arya-MN090240_cl0_it2.consensus_ivar,MN090240.1,0,9013,2,9015,0,1,9015,Arya,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090240_cl0_it2.consensus_ivar,MN090277.1,223,8731,281,9235,220,1,9235,Arya,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,210,9015,0,9225,0,1,9225,Arya,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,13,8940,282,9235,10,1,9235,Arya,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090240.1,210,9015,0,9225,0,1,9225,Arya,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090277.1,13,8940,282,9235,10,1,9235,Arya,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090240.1,3565,7254,1675,12494,86,59,12494,Arya,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090277.1,3526,7224,1833,12583,175,59,12583,Arya,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090240.1,449,9014,1,9464,0,400,9464,Arya,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090277.1,252,8781,441,9474,10,400,9474,Arya,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090240.1,684,8941,47,9672,27,370,9672,Arya,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090277.1,561,8694,464,9719,74,370,9719,Arya,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl1_it2.consensus_ivar,MN090240.1,272,9014,1,9287,0,221,9287,Arya,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.virosaurus_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl1_it2.consensus_ivar,MN090277.1,75,8783,439,9297,10,221,9297,Arya,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9056,0,9232,176,0,9232,Bran,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090240_cl0_it2.consensus_ivar,MN090277.1,210,9004,18,9232,210,18,9232,Bran,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9219,13,9232,0,11,9232,Bran,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9219,13,9232,0,11,9232,Bran,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9219,13,9232,0,11,9232,Bran,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9219,13,9232,0,11,9232,Bran,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MZ766668_cl0_it2.consensus_ivar,MN090277.1,30,9202,0,9232,30,0,9232,Bran,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-reference_cl0_it2.consensus_ivar,MN090277.1,29,9068,152,9249,12,169,9249,Bran,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-virosaurus_cl0_it2.consensus_ivar,MN090277.1,62,9073,159,9294,0,221,9294,Bran,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
