,,mismatches,identities,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Arya-MN090240_cl0_it2.consensus_ivar,MN090240.1,1,9013,9015,0,1,9015,Arya,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090240_cl0_it2.consensus_ivar,MN090277.1,280,8731,9235,220,1,9235,Arya,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,0,9015,9225,0,1,9225,Arya,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,281,8940,9235,10,1,9235,Arya,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090240.1,0,9015,9225,0,1,9225,Arya,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090277.1,281,8940,9235,10,1,9235,Arya,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090240.1,1678,7242,12500,91,22,12500,Arya,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090277.1,1783,7264,12590,181,22,12590,Arya,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090240.1,1,9014,9464,0,339,9464,Arya,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090277.1,280,8778,9474,10,339,9474,Arya,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090240.1,17,8955,9672,43,239,9672,Arya,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090277.1,332,8747,9719,90,239,9719,Arya,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl1_it2.consensus_ivar,MN090240.1,1,9014,9288,0,227,9288,Arya,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.virosaurus_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl1_it2.consensus_ivar,MN090277.1,280,8778,9298,10,227,9298,Arya,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9056,9232,176,0,9232,Bran,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9002,9232,210,20,9232,Bran,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Bran,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Bran,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Bran,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Bran,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9202,9232,30,0,9232,Bran,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-reference_cl0_it2.consensus_ivar,MN090277.1,0,9068,9249,12,169,9249,Bran,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-virosaurus_cl0_it2.consensus_ivar,MN090277.1,0,9068,9295,0,227,9295,Bran,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
