id,sample,sequence,segment
LVE00045-6466,LVE00045,data-preparation/selected-references/6466_MT199231.1.fasta,L
LVE00045-6668,LVE00045,data-preparation/selected-references/6668_MT199235.1.fasta,L
LVE00045-6870,LVE00045,data-preparation/selected-references/6870_OR041677.1.fasta,S
LVE00045-7274,LVE00045,data-preparation/selected-references/7274_OR041684.1.fasta,S
LVE00045-7476,LVE00045,data-preparation/selected-references/7476_MK117836.1.fasta,L
LVE00045-7678,LVE00045,data-preparation/selected-references/7678_ON569374.1.fasta,L
LVE00045-7880,LVE00045,data-preparation/selected-references/7880_MH887901.1.fasta,L
LVE00045-8082,LVE00045,data-preparation/selected-references/8082_MH887953.1.fasta,L
LVE00045-8284,LVE00045,data-preparation/selected-references/8284_KM822108.1.fasta,L
LVE00045-8486,LVE00045,data-preparation/selected-references/8486_KM822075.1.fasta,L
LVE00045-8688,LVE00045,data-preparation/selected-references/8688_MK117940.1.fasta,L
LVE00045-9092,LVE00045,data-preparation/selected-references/9092_MH053514.1.fasta,S
LVE00045-9294,LVE00045,data-preparation/selected-references/9294_KM822033.1.fasta,S
LVE00045-9496,LVE00045,data-preparation/selected-references/9496_KM822037.1.fasta,S
LVE00045-9698,LVE00045,data-preparation/selected-references/9698_KM822076.1.fasta,S
LVE00045-98100,LVE00045,data-preparation/selected-references/98100_LVE00045.fasta,L
LVE00045-RVDB,LVE00045,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00050-6466,LVE00050,data-preparation/selected-references/6466_MK107895.1.fasta,L
LVE00050-6668,LVE00050,data-preparation/selected-references/6668_KM822075.1.fasta,L
LVE00050-6870,LVE00050,data-preparation/selected-references/6870_MK117940.1.fasta,L
LVE00050-7072,LVE00050,data-preparation/selected-references/7072_MK117872.1.fasta,L
LVE00050-7274,LVE00050,data-preparation/selected-references/7274_AY628208.1.fasta,S
LVE00050-7476,LVE00050,data-preparation/selected-references/7476_MP226842.1.fasta,S
LVE00050-7678,LVE00050,data-preparation/selected-references/7678_AY628206.1.fasta,S
LVE00050-7880,LVE00050,data-preparation/selected-references/7880_MK107897.1.fasta,S
LVE00050-8082,LVE00050,data-preparation/selected-references/8082_KM822072.1.fasta,S
LVE00050-8284,LVE00050,data-preparation/selected-references/8284_MK107860.1.fasta,L
LVE00050-8486,LVE00050,data-preparation/selected-references/8486_MH887913.1.fasta,L
LVE00050-9092,LVE00050,data-preparation/selected-references/9092_MK117963.1.fasta,S
LVE00050-9294,LVE00050,data-preparation/selected-references/9294_KM821971.1.fasta,S
LVE00050-RVDB,LVE00050,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00063-6466,LVE00063,data-preparation/selected-references/6466_MK117931.1.fasta,L
LVE00063-6668,LVE00063,data-preparation/selected-references/6668_KT992430.1.fasta,L
LVE00063-6870,LVE00063,data-preparation/selected-references/6870_OR041677.1.fasta,S
LVE00063-7072,LVE00063,data-preparation/selected-references/7072_OR493500.1.fasta,S
LVE00063-7274,LVE00063,data-preparation/selected-references/7274_OR041684.1.fasta,S
LVE00063-7476,LVE00063,data-preparation/selected-references/7476_OQ919510.1.fasta,S
LVE00063-7678,LVE00063,data-preparation/selected-references/7678_OR041676.1.fasta,S
LVE00063-7880,LVE00063,data-preparation/selected-references/7880_OR041681.1.fasta,S
LVE00063-8284,LVE00063,data-preparation/selected-references/8284_KU978811.1.fasta,S
LVE00063-8486,LVE00063,data-preparation/selected-references/8486_MH053493.1.fasta,S
LVE00063-8688,LVE00063,data-preparation/selected-references/8688_MK107957.1.fasta,S
LVE00063-8890,LVE00063,data-preparation/selected-references/8890_MK117974.1.fasta,S
LVE00063-9092,LVE00063,data-preparation/selected-references/9092_MK107926.1.fasta,S
LVE00063-9294,LVE00063,data-preparation/selected-references/9294_OQ791501.1.fasta,S
LVE00063-9496,LVE00063,data-preparation/selected-references/9496_MK117995.1.fasta,S
LVE00063-9698,LVE00063,data-preparation/selected-references/9698_MK117996.1.fasta,S
LVE00063-98100,LVE00063,data-preparation/selected-references/98100_MK117994.1.fasta,S
LVE00063-RVDB,LVE00063,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00127-6668,LVE00127,data-preparation/selected-references/6668_MT199234.1.fasta,L
LVE00127-6870,LVE00127,data-preparation/selected-references/6870_OR041677.1.fasta,S
LVE00127-7072,LVE00127,data-preparation/selected-references/7072_OR493500.1.fasta,S
LVE00127-7274,LVE00127,data-preparation/selected-references/7274_MT199228.1.fasta,L
LVE00127-7476,LVE00127,data-preparation/selected-references/7476_OQ919510.1.fasta,S
LVE00127-7678,LVE00127,data-preparation/selected-references/7678_OR041676.1.fasta,S
LVE00127-7880,LVE00127,data-preparation/selected-references/7880_MH053532.1.fasta,L
LVE00127-8082,LVE00127,data-preparation/selected-references/8082_MK117901.1.fasta,L
LVE00127-8284,LVE00127,data-preparation/selected-references/8284_KM822046.1.fasta,L
LVE00127-8486,LVE00127,data-preparation/selected-references/8486_MH887832.1.fasta,S
LVE00127-8688,LVE00127,data-preparation/selected-references/8688_MK107950.1.fasta,S
LVE00127-8890,LVE00127,data-preparation/selected-references/8890_MK117878.1.fasta,L
LVE00127-9092,LVE00127,data-preparation/selected-references/9092_MH053548.1.fasta,L
LVE00127-9294,LVE00127,data-preparation/selected-references/9294_MK117932.1.fasta,L
LVE00127-9496,LVE00127,data-preparation/selected-references/9496_MK117912.1.fasta,L
LVE00127-9698,LVE00127,data-preparation/selected-references/9698_MK107847.1.fasta,L
LVE00127-98100,LVE00127,data-preparation/selected-references/98100_MK117911.1.fasta,L
LVE00127-RVDB,LVE00127,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00140-6668,LVE00140,data-preparation/selected-references/6668_FV537336.1.fasta,L
LVE00140-6870,LVE00140,data-preparation/selected-references/6870_OR041677.1.fasta,S
LVE00140-7072,LVE00140,data-preparation/selected-references/7072_KT992426.1.fasta,L
LVE00140-7274,LVE00140,data-preparation/selected-references/7274_KT992432.1.fasta,L
LVE00140-7476,LVE00140,data-preparation/selected-references/7476_OQ919510.1.fasta,S
LVE00140-7678,LVE00140,data-preparation/selected-references/7678_AY628207.1.fasta,S
LVE00140-7880,LVE00140,data-preparation/selected-references/7880_KY425642.1.fasta,S
LVE00140-8082,LVE00140,data-preparation/selected-references/8082_OR493500.1.fasta,S
LVE00140-8284,LVE00140,data-preparation/selected-references/8284_KU978811.1.fasta,S
LVE00140-8890,LVE00140,data-preparation/selected-references/8890_MH053566.1.fasta,L
LVE00140-9092,LVE00140,data-preparation/selected-references/9092_MH053530.1.fasta,L
LVE00140-9294,LVE00140,data-preparation/selected-references/9294_MH053587.1.fasta,L
LVE00140-9496,LVE00140,data-preparation/selected-references/9496_MH887953.1.fasta,L
LVE00140-9698,LVE00140,data-preparation/selected-references/9698_MH887901.1.fasta,L
LVE00140-98100,LVE00140,data-preparation/selected-references/98100_MH887997.1.fasta,L
LVE00140-RVDB,LVE00140,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00167-6466,LVE00167,data-preparation/selected-references/6466_MT199231.1.fasta,L
LVE00167-6668,LVE00167,data-preparation/selected-references/6668_KF478761.1.fasta,L
LVE00167-6870,LVE00167,data-preparation/selected-references/6870_OR041677.1.fasta,S
LVE00167-7072,LVE00167,data-preparation/selected-references/7072_KT992434.1.fasta,L
LVE00167-7476,LVE00167,data-preparation/selected-references/7476_OR041684.1.fasta,S
LVE00167-7678,LVE00167,data-preparation/selected-references/7678_AY628206.1.fasta,S
LVE00167-7880,LVE00167,data-preparation/selected-references/7880_MH053534.1.fasta,L
LVE00167-8082,LVE00167,data-preparation/selected-references/8082_MH053570.1.fasta,L
LVE00167-8284,LVE00167,data-preparation/selected-references/8284_MH887953.1.fasta,L
LVE00167-8486,LVE00167,data-preparation/selected-references/8486_KM821919.1.fasta,L
LVE00167-8688,LVE00167,data-preparation/selected-references/8688_KM821926.1.fasta,L
LVE00167-9092,LVE00167,data-preparation/selected-references/9092_KM822022.1.fasta,S
LVE00167-9294,LVE00167,data-preparation/selected-references/9294_MK117859.1.fasta,S
LVE00167-9496,LVE00167,data-preparation/selected-references/9496_MK117982.1.fasta,S
LVE00167-9698,LVE00167,data-preparation/selected-references/9698_MH887842.1.fasta,S
LVE00167-98100,LVE00167,data-preparation/selected-references/98100_LVE00167.fasta,L
LVE00167-RVDB,LVE00167,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00223-6668,LVE00223,data-preparation/selected-references/6668_MT199227.1.fasta,L
LVE00223-6870,LVE00223,data-preparation/selected-references/6870_MT199229.1.fasta,L
LVE00223-7072,LVE00223,data-preparation/selected-references/7072_MK117919.1.fasta,L
LVE00223-7274,LVE00223,data-preparation/selected-references/7274_OR041684.1.fasta,S
LVE00223-7476,LVE00223,data-preparation/selected-references/7476_MH053534.1.fasta,L
LVE00223-7678,LVE00223,data-preparation/selected-references/7678_MK117888.1.fasta,L
LVE00223-7880,LVE00223,data-preparation/selected-references/7880_KM821956.1.fasta,L
LVE00223-8082,LVE00223,data-preparation/selected-references/8082_KM822040.1.fasta,L
LVE00223-8284,LVE00223,data-preparation/selected-references/8284_KM821950.1.fasta,L
LVE00223-8486,LVE00223,data-preparation/selected-references/8486_MH887976.1.fasta,L
LVE00223-9092,LVE00223,data-preparation/selected-references/9092_MK117985.1.fasta,S
