,,gaps,identities,mismatches,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Arya-MN090240_cl0_it2.consensus_ivar,MN090240.1,0,9013,2,9015,0,1,9015,Arya,MN090240,./data/influence-reference/alignment-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090240_cl0_it2.consensus_ivar,MN090277.1,223,8731,281,9235,220,1,9235,Arya,MN090240,./data/influence-reference/alignment-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,210,9015,0,9225,0,1,9225,Arya,MN090277-MN090240,./data/influence-reference/alignment-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,13,8940,282,9235,10,1,9235,Arya,MN090277-MN090240,./data/influence-reference/alignment-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090240.1,210,9015,0,9225,0,1,9225,Arya,MN090277,./data/influence-reference/alignment-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090277.1,13,8940,282,9235,10,1,9235,Arya,MN090277,./data/influence-reference/alignment-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090240.1,3569,7278,1646,12493,91,22,12493,Arya,reference,./data/influence-reference/alignment-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090277.1,3538,7221,1827,12586,184,22,12586,Arya,reference,./data/influence-reference/alignment-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090240.1,165,8891,1,9057,123,1,9057,Arya,reference,./data/influence-reference/alignment-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090277.1,304,8650,281,9235,301,1,9235,Arya,reference,./data/influence-reference/alignment-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090240.1,76,8998,5,9079,12,29,9079,Arya,virosaurus,./data/influence-reference/alignment-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090277.1,215,8755,287,9257,190,29,9257,Arya,virosaurus,./data/influence-reference/alignment-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9056,0,9232,176,0,9232,Bran,MN090188,./data/influence-reference/alignment-vs-ref//Bran.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090240_cl0_it2.consensus_ivar,MN090277.1,210,9002,20,9232,210,20,9232,Bran,MN090240,./data/influence-reference/alignment-vs-ref//Bran.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Bran,MN090277-MN090188,./data/influence-reference/alignment-vs-ref//Bran.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Bran,MN090277-MN090240,./data/influence-reference/alignment-vs-ref//Bran.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Bran,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Bran.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Bran,MN090277,./data/influence-reference/alignment-vs-ref//Bran.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MZ766668_cl0_it2.consensus_ivar,MN090277.1,360,9221,10,9591,1,0,9591,Bran,MZ766668,./data/influence-reference/alignment-vs-ref//Bran.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-reference_cl0_it2.consensus_ivar,MN090277.1,168,9064,0,9232,168,0,9232,Bran,reference,./data/influence-reference/alignment-vs-ref//Bran.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-virosaurus_cl0_it2.consensus_ivar,MN090277.1,202,9045,7,9254,180,29,9254,Bran,virosaurus,./data/influence-reference/alignment-vs-ref//Bran.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090188.1,6,9042,11,9059,3,0,9059,Catelyn,MN090188,./data/influence-reference/alignment-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9018,38,9232,176,0,9232,Catelyn,MN090188,./data/influence-reference/alignment-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,179,9048,8,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/influence-reference/alignment-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,3,9190,42,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/influence-reference/alignment-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090188.1,179,9048,8,9235,0,1,9235,Catelyn,MN090277,./data/influence-reference/alignment-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090277.1,3,9190,42,9235,0,1,9235,Catelyn,MN090277,./data/influence-reference/alignment-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090188.1,3630,7135,1787,12552,134,229,12552,Catelyn,reference,./data/influence-reference/alignment-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090277.1,3522,7211,1853,12586,168,229,12586,Catelyn,reference,./data/influence-reference/alignment-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090188.1,242,9045,11,9298,0,227,9298,Catelyn,reference,./data/influence-reference/alignment-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090277.1,66,9030,202,9298,0,227,9298,Catelyn,reference,./data/influence-reference/alignment-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl0_it2.consensus_ivar,MN090188.1,718,9040,13,9771,3,697,9771,Catelyn,virosaurus,./data/influence-reference/alignment-vs-ref//Catelyn.virosaurus_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl0_it2.consensus_ivar,MN090277.1,536,9033,199,9768,0,697,9768,Catelyn,virosaurus,./data/influence-reference/alignment-vs-ref//Catelyn.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090188.1,637,9046,10,9693,0,616,9693,Catelyn,virosaurus,./data/influence-reference/alignment-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090277.1,461,9031,201,9693,0,616,9693,Catelyn,virosaurus,./data/influence-reference/alignment-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090188.1,48,9034,7,9089,15,29,9089,Catelyn,virosaurus,./data/influence-reference/alignment-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090277.1,208,9000,49,9257,183,29,9257,Catelyn,virosaurus,./data/influence-reference/alignment-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,365,7568,1371,9304,72,1,9304,Daenerys,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Daenerys,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
