cluster_id	centroid	members	reference_distance	member_count	source_file
cl0	MK107897.1	k141_3;k141_2;k141_7;NODE_5_length_601_cov_4.740506;NODE_6_length_570_cov_14.550790;NODE_9_length_398_cov_12.103321	LVE00050-7880	6	LVE00050/LVE00050-7880/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl1	k141_6	NODE_2_length_985_cov_16.273893;NODE_3_length_952_cov_15.890909	LVE00050-7880	2	LVE00050/LVE00050-7880/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl2	k141_1	NODE_1_length_1102_cov_15.092308	LVE00050-7880	1	LVE00050/LVE00050-7880/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl3	NODE_4_length_844_cov_20.463040	k141_5	LVE00050-7880	1	LVE00050/LVE00050-7880/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl4	NODE_7_length_548_cov_10.040380		LVE00050-7880	0	LVE00050/LVE00050-7880/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl5	k141_0	NODE_8_length_525_cov_35.208543	LVE00050-7880	1	LVE00050/LVE00050-7880/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl6	k141_4		LVE00050-7880	0	LVE00050/LVE00050-7880/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl7	NODE_10_length_205_cov_54.820513		LVE00050-7880	0	LVE00050/LVE00050-7880/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl0	k141_7	NODE_6_length_570_cov_14.550790	LVE00050-9496	1	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl1	k141_6	NODE_2_length_985_cov_16.273893;NODE_3_length_952_cov_15.890909	LVE00050-9496	2	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl2	k141_1	NODE_1_length_1102_cov_15.092308	LVE00050-9496	1	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl3	k141_2	NODE_7_length_548_cov_10.040380;NODE_9_length_398_cov_12.103321	LVE00050-9496	2	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl4	NODE_4_length_844_cov_20.463040	k141_5	LVE00050-9496	1	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl5	k141_3	NODE_5_length_601_cov_4.740506	LVE00050-9496	1	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl6	k141_0	NODE_8_length_525_cov_35.208543	LVE00050-9496	1	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl7	k141_4		LVE00050-9496	0	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl8	NODE_10_length_205_cov_54.820513		LVE00050-9496	0	LVE00050/LVE00050-9496/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl0	KM822072.1	k141_3;k141_2;k141_7;NODE_5_length_601_cov_4.740506;NODE_6_length_570_cov_14.550790;NODE_7_length_548_cov_10.040380;NODE_9_length_398_cov_12.103321	LVE00050-8082	7	LVE00050/LVE00050-8082/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl1	k141_6	NODE_2_length_985_cov_16.273893;NODE_3_length_952_cov_15.890909	LVE00050-8082	2	LVE00050/LVE00050-8082/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl2	k141_1	NODE_1_length_1102_cov_15.092308	LVE00050-8082	1	LVE00050/LVE00050-8082/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl3	NODE_4_length_844_cov_20.463040	k141_5	LVE00050-8082	1	LVE00050/LVE00050-8082/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl4	k141_0	NODE_8_length_525_cov_35.208543	LVE00050-8082	1	LVE00050/LVE00050-8082/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl5	k141_4		LVE00050-8082	0	LVE00050/LVE00050-8082/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
cl6	NODE_10_length_205_cov_54.820513		LVE00050-8082	0	LVE00050/LVE00050-8082/assembly/polishing/cdhitest/LVE00050/clusters/LVE00050_cdhit.fa.clstr
