Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OU509404,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR6457652,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-08-12,AY.9,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-07-30,SAMEA9632519,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OY122679,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2023-06-27,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29682,partial,,,,Germany:Europe/Germany/Saxony-Anhalt,Germany,,Homo sapiens,,2022-04-19,SAMEA113748481,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OV323839,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7635738,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-01-06,AY.4.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-11-29,SAMEA11558924,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OL931358,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR20980404,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-12-20,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CA-CDC-QDX31235957,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,complete,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,2021-11-15,SAMN23772599,PRJNA716985,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-QDX31235957/2021, complete genome"
OV076023,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7407100,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-11-26,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-11-08,SAMEA11274124,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
MZ881028,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR15518667,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-08-23,AY.100,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CO-CDC-MMB09515142,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,partial,,,,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2021-07-29,SAMN20852751,PRJNA738870,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDC-MMB09515142/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OP932567,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR22471004,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-12-01,BA.5.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CO-CDPHE-2103711085,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29450,partial,,,,USA,USA,,Homo sapiens,,2022-10-22,SAMN31936017,PRJNA686984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-2103711085/2022 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OY028604,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2023-06-22,BA.5.2.20,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29626,partial,,,,Germany:Europe/Germany/Baden-Wurttemberg,Germany,,Homo sapiens,,2022-09-26,SAMEA113638438,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OD975747,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR5307722,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-05-04,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29884,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-01-25,SAMEA8076830,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OY313586,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-17,BA.1.17.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29876,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-01-23,SAMEA113186738,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
