seq1_id	seq2_id	alignment_length	comparable_sites	matches	mismatches	mismatch_rate	seq1_length	seq2_length	seq1_gaps	seq2_gaps	seq1_Ns	seq2_Ns
MK117951.1	_R_LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3413	3238	3105	69	0.021309	3307	3413	106	0	133	15
GU481077.1	LVE00050-RVDB_LVE00050_cl0_it2.consensus_ivar	7272	6971	5524	254	0.036437	7225	7272	47	0	0	1491
MK117931.1	LVE00063-RVDB_LVE00063_cl0_it2.consensus_ivar	7258	7229	5021	5	0.000692	7234	7258	24	0	64	2198
MH157039.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3410	3223	2932	77	0.023891	3301	3409	109	1	292	6
OR041676.1	_R_LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3417	2598	2586	721	0.277521	3327	3409	90	8	11	8
OQ919512.1	LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3424	2616	2571	732	0.279817	3359	3413	65	11	32	15
OQ919510.1	_R_LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3410	2605	2473	687	0.263724	3295	3407	115	3	116	58
MK107957.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3411	2940	2937	456	0.155102	3398	3409	13	2	0	6
LC387468.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3409	3222	3222	69	0.021415	3291	3409	118	0	0	6
MT199227.1	_R_LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7388	5348	4394	1812	0.338818	7286	7262	102	126	77	948
KU978811.1	LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3622	2776	2759	595	0.214337	3424	3568	198	53	0	54
MP226842.1	_R_LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3429	2615	2595	786	0.300574	3417	3413	12	16	0	22
OR041684.1	_R_LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3416	2621	2422	679	0.259061	3303	3413	113	3	186	22
OR041677.1	_R_LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3426	2711	2305	678	0.250092	3402	3413	24	13	385	22
PQ541162.1	_R_LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7303	5033	5033	2124	0.422015	7202	7258	101	45	0	10
KT992430.1	_R_LVE00063-RVDB_LVE00063_cl0_it2.consensus_ivar	7349	5668	3502	1498	0.264291	7257	7258	92	91	1	2198
MK117945.1	LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7284	6965	6469	267	0.038335	7234	7282	50	2	107	424
MK118024.1	LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3408	3213	3165	173	0.053844	3387	3407	21	1	12	58
GU481077.1	LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7242	6944	6116	281	0.040467	7225	7242	17	0	0	845
KM821971.1	LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3413	3253	3083	154	0.047341	3408	3412	5	1	0	175
MK107842.1	LVE00050-RVDB_LVE00050_cl0_it2.consensus_ivar	7293	6800	5336	406	0.059706	7227	7272	66	21	0	1491
MH053585.1	LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7259	6694	5760	384	0.057365	7078	7259	181	0	310	629
MZ169794.1	LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7696	4868	4451	1944	0.399343	7226	7282	470	414	118	424
MH053566.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7258	5943	5701	1221	0.205452	7164	7258	94	0	239	10
OR041684.1	_R_LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3415	2627	2410	668	0.254282	3303	3407	112	8	186	58
GU481075.1	LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7262	7008	6091	217	0.030965	7225	7262	36	0	0	948
KU978807.1	_R_LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3440	2634	2486	733	0.278284	3395	3412	45	28	0	175
MZ169794.1	LVE00063-RVDB_LVE00063_cl0_it2.consensus_ivar	7731	5316	3254	1437	0.270316	7226	7258	505	473	118	2198
AY628205.1	LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3577	2654	2635	733	0.276187	3396	3568	181	8	0	54
OR041684.1	_R_LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3417	2608	2425	687	0.263420	3303	3409	114	8	186	6
OQ919516.1	_R_LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3413	2629	2577	693	0.263598	3327	3408	86	5	44	32
PQ541162.1	_R_LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7292	5206	4412	1946	0.373799	7202	7242	90	50	0	845
MK118026.1	LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3414	3190	3130	183	0.057367	3374	3413	40	1	51	22
MT199231.1	_R_LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7399	5178	4768	1991	0.384511	7286	7282	113	117	77	424
MK117945.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7261	5987	5880	1244	0.207784	7234	7258	27	3	107	10
KT992432.1	LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7412	5033	5032	2133	0.423803	7198	7380	214	32	1	0
KM821953.1	LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3413	3305	3283	107	0.032375	3412	3413	1	0	0	22
OR113004.1	_R_LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3438	2639	2617	738	0.279651	3402	3413	36	25	0	22
OR041677.1	_R_LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3433	2719	2250	662	0.243472	3402	3412	31	21	385	175
ON569370.1	_R_LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7381	6800	6427	239	0.035147	7040	7380	341	1	374	0
OQ919510.1	_R_LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3412	2597	2481	695	0.267616	3295	3409	117	3	116	8
KM822050.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7265	5999	5989	1253	0.208868	7259	7258	6	7	0	10
MK118028.1	_R_LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3570	3376	3359	25	0.007405	3403	3568	167	1	4	54
AY628206.1	_R_LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3433	2647	2589	747	0.282206	3420	3407	13	26	0	58
MH887976.1	LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7262	7163	6237	76	0.010610	7239	7262	23	0	0	948
MK107842.1	LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7265	6741	6113	480	0.071206	7227	7259	38	6	0	629
MH887798.1	LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3413	3261	3251	4	0.001227	3265	3413	148	0	0	22
MH157039.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3410	3223	2932	77	0.023891	3301	3409	109	1	292	8
MH053514.1	LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3408	3143	3100	249	0.079224	3393	3407	15	1	0	58
OR041677.1	_R_LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3426	2727	2334	658	0.241291	3402	3409	24	17	385	8
MK117936.1	LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7264	6880	6171	374	0.054360	7259	7259	5	5	82	629
KT992427.1	_R_LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7336	5039	5038	2139	0.424489	7256	7258	79	78	0	10
MH053534.1	LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7282	6703	6006	450	0.067134	7153	7282	129	0	313	424
MK117981.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3409	3075	2512	86	0.027967	3161	3409	248	0	563	6
OR041684.1	_R_LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3416	2644	2435	651	0.246218	3303	3408	113	8	186	32
MT199235.1	_R_LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7368	5314	4489	1849	0.347949	7289	7242	79	126	31	845
MT199227.1	LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7472	5096	5077	2098	0.411695	7286	7380	186	92	77	0
OR493500.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3778	1827	1801	783	0.428571	2979	3409	799	369	272	6
OR041684.1	_R_LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3424	2641	2332	650	0.246119	3303	3412	121	12	186	175
MH887935.1	LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7242	7187	6394	0	0.000000	7187	7242	55	0	1	845
MT199234.1	_R_LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7408	4952	4920	2102	0.424475	7204	7258	204	150	142	10
MK117996.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3410	3308	3299	88	0.026602	3397	3409	13	1	10	8
MH053552.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3409	3096	3096	245	0.079134	3341	3409	68	0	0	6
MK117897.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7258	7025	6942	212	0.030178	7237	7258	21	0	83	10
MH887910.1	_R_LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7387	6930	6591	243	0.035065	7180	7380	207	7	339	0
OR041676.1	_R_LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3417	2597	2586	722	0.278013	3327	3409	90	8	11	6
KM822075.1	LVE00050-RVDB_LVE00050_cl0_it2.consensus_ivar	7272	7045	5608	139	0.019730	7184	7272	88	0	29	1491
MH053570.1	LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7284	6762	6194	471	0.069654	7235	7282	49	2	186	424
MK117931.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7258	7230	7166	4	0.000553	7234	7258	24	0	64	10
MH887861.1	LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3407	3389	3349	0	0.000000	3389	3407	18	0	0	58
MK107926.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3410	3119	3111	290	0.092979	3410	3409	0	1	0	8
MK117940.1	LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7261	7201	6549	55	0.007638	7258	7259	3	2	28	629
KM822059.1	_R_LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3570	3228	3226	153	0.047398	3383	3568	187	1	0	54
MT199235.1	_R_LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7374	5001	4986	2172	0.434313	7289	7258	85	116	31	10
OR041677.1	_R_LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3428	2709	2284	672	0.248062	3402	3407	26	21	385	58
KF478760.1	LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7436	5019	5019	2231	0.444511	7306	7380	130	56	0	0
KM822084.1	LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3408	3230	3201	148	0.045820	3379	3407	29	1	0	58
KU978811.1	_R_LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3460	2775	2735	596	0.214775	3424	3407	36	53	0	58
MK117836.1	LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7506	6546	5560	454	0.069355	7264	7242	242	264	522	845
KU978811.1	LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3469	2777	2763	591	0.212820	3424	3413	45	56	0	15
MK107860.1	LVE00050-RVDB_LVE00050_cl0_it2.consensus_ivar	7294	6755	5291	432	0.063953	7209	7272	85	22	0	1491
AY628206.1	_R_LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3434	2675	2501	723	0.270280	3420	3412	14	22	0	175
OQ919510.1	LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3572	2598	2482	693	0.266744	3295	3568	277	3	116	54
MK117919.1	LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7262	6748	5155	362	0.053646	7110	7262	152	0	676	948
KU978811.1	_R_LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3466	2776	2771	595	0.214337	3424	3413	42	53	0	22
LVE00167_S	LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3408	3408	3371	0	0.000000	3408	3408	0	0	37	32
LVE00045_L	LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7242	7241	5887	0	0.000000	7241	7242	1	0	1352	845
KY425642.1	LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3449	2621	2612	732	0.279283	3389	3413	60	36	0	15
KU978811.1	_R_LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3465	2791	2653	580	0.207811	3424	3412	41	53	0	175
MK117981.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3409	3075	2512	86	0.027967	3161	3409	248	0	563	8
OR493500.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3778	1828	1802	782	0.427790	2979	3409	799	369	272	8
MH887842.1	LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3408	3302	3282	94	0.028468	3396	3408	12	0	0	32
MH887801.1	_R_LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3413	3315	3306	77	0.023228	3392	3413	21	0	0	15
KT992426.1	LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7437	5028	5027	2172	0.431981	7256	7380	180	57	1	0
MT199235.1	_R_LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7363	5267	4636	1918	0.364154	7289	7259	74	104	31	629
MH887935.1	LVE00050-RVDB_LVE00050_cl0_it2.consensus_ivar	7272	7183	5763	4	0.000557	7187	7272	85	0	1	1491
OR147788.1	LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7284	6995	6611	233	0.033310	7230	7282	54	2	0	424
MK117995.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3410	3281	3224	116	0.035355	3398	3409	12	1	57	8
OQ919510.1	LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3416	2602	2486	690	0.265181	3295	3413	121	3	116	15
KM822076.1	_R_LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3570	3267	3267	94	0.028773	3363	3568	207	1	0	54
OQ791481.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7258	6535	6209	444	0.067942	6979	7258	279	0	326	10
MH887948.1	_R_LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7391	7027	7027	186	0.026469	7224	7380	167	11	0	0
KU978811.1	_R_LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3458	2804	2799	571	0.203638	3424	3409	34	49	0	6
OR041677.1	_R_LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3428	2750	2333	632	0.229818	3402	3408	26	20	385	32
MH053504.1	_R_LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7380	6619	6394	510	0.077051	7129	7380	251	0	225	0
KT992427.1	_R_LVE00063-RVDB_LVE00063_cl0_it2.consensus_ivar	7437	5585	3504	1492	0.267144	7256	7258	180	179	0	2198
FV537336.1	LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7425	4552	4552	2682	0.589192	7279	7380	146	45	0	0
MK117963.1	LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3413	3190	3008	215	0.067398	3406	3412	7	1	25	175
MK118002.1	LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3413	3248	3219	135	0.041564	3383	3413	30	0	17	22
MK117910.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7258	6870	6561	175	0.025473	7045	7258	213	0	309	10
MK117900.1	_R_LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7385	7152	7056	40	0.005593	7197	7380	188	5	96	0
MH887861.1	LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3412	3389	3237	0	0.000000	3389	3412	23	0	0	175
KM822075.1	LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7242	7027	6209	157	0.022342	7184	7242	58	0	29	845
KM822076.1	LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3413	3280	3152	82	0.025000	3363	3412	50	1	0	175
OR041684.1	LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3424	2620	2424	672	0.256489	3303	3413	121	11	186	15
MH053498.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3411	2914	2913	475	0.163006	3391	3409	20	2	0	6
OR041677.1	LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3581	2718	2314	671	0.246873	3402	3568	179	12	385	54
MH053569.1	LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7259	6726	5829	346	0.051442	7072	7259	187	0	273	629
MK118019.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3410	3369	3359	0	0.000000	3370	3409	40	1	11	6
MH053552.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3409	3096	3096	245	0.079134	3341	3409	68	0	0	8
MT199229.1	_R_LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7368	5024	4996	2152	0.428344	7286	7258	82	110	77	10
LVE00140_S	_R_LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3413	3413	3370	0	0.000000	3413	3413	0	0	43	15
KF478761.1	_R_LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7358	5125	4713	2081	0.406049	7282	7282	76	76	1	424
OR041687.1	_R_LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3411	2591	2583	688	0.265535	3282	3408	129	3	0	32
KM822067.1	LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3414	3209	3071	161	0.050171	3372	3412	42	2	5	175
