"index"	"sample"	"cluster"	"step"	"(annotation) subject"	"(annotation) pident"	"(annotation) qlen"	"(annotation) slen"	"(annotation) length"	"(annotation) mismatch"	"(annotation) gapopen"	"(annotation) qstart"	"(annotation) qend"	"(annotation) sstart"	"(annotation) send"	"(annotation) evalue"	"(annotation) bitscore"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"(annotation) % contig aligned"	"(blast) subject"	"(blast) subject title"	"(blast) pident"	"(blast) qlen"	"(blast) slen"	"(blast) length"	"(blast) mismatch"	"(blast) gapopen"	"(blast) qstart"	"(blast) qend"	"(blast) sstart"	"(blast) send"	"(blast) evalue"	"(blast) bitscore"	"(cluster) taxon-id"	"(cluster) centroid"	"(cluster) number of members"	"(cluster) cumulative read depth - spades [%]"	"(cluster) cumulative read depth - megahit [%]"	"(cluster) cumulative read depth - trinity [%]"	"(cluster) members"	"(quast) # N's"	"(quast) % N's"	"(quast) # N's per 100 kbp"	"(samtools Raw) total length"	"(samtools Raw) average length"	"(samtools Raw) average quality"	"(samtools Raw) error rate"	"(samtools Raw) mismatches"	"(samtools Raw) reads MQ0"	"(samtools Raw) reads mapped (R1+R2)"	"(samtools Raw) reads mapped %"	"(samtools Raw) reads unmapped (R1+R2)"	"(samtools Raw) reads unmapped %"	"(samtools Raw) reads QC failed"	"(samtools Raw) reads QC failed %"	"(samtools Raw) reads paired"	"(samtools Raw) reads paired %"	"(samtools Raw) reads properly paired"	"(samtools Raw) reads properly paired %"	"(samtools Raw) reads duplicated"	"(samtools Raw) reads duplicated %"	"(samtools Raw) non primary alignments"	"(samtools Raw) supplementary alignments"	"(samtools Raw) outward oriented pairs"	"(samtools Raw) inward oriented pairs"	"(samtools Raw) insert size average"	"(samtools Raw) insert size standard deviation"	"(samtools Raw) bases mapped"	"(samtools Raw) bases mapped cigar"	"(samtools Raw) bases trimmed"	"(samtools Raw) bases duplicated"	"(picard) unpaired reads examined"	"(picard) read pair optical duplicates"	"(picard) unmapped reads (R1+R2)"	"(picard) estimated library size"	"(picard) unpaired read duplicates"	"(picard) secondary or supplementary rds"	"(picard) read pairs examined"	"(picard) read pair duplicates"	"(picard) % duplication"	"(picard) library"	"(samtools Post-dedup) total length"	"(samtools Post-dedup) average length"	"(samtools Post-dedup) average quality"	"(samtools Post-dedup) error rate"	"(samtools Post-dedup) mismatches"	"(samtools Post-dedup) reads MQ0"	"(samtools Post-dedup) reads mapped (R1+R2)"	"(samtools Post-dedup) reads mapped %"	"(samtools Post-dedup) reads unmapped (R1+R2)"	"(samtools Post-dedup) reads unmapped %"	"(samtools Post-dedup) reads QC failed"	"(samtools Post-dedup) reads QC failed %"	"(samtools Post-dedup) reads paired"	"(samtools Post-dedup) reads paired %"	"(samtools Post-dedup) reads properly paired"	"(samtools Post-dedup) reads properly paired %"	"(samtools Post-dedup) reads duplicated"	"(samtools Post-dedup) reads duplicated %"	"(samtools Post-dedup) non primary alignments"	"(samtools Post-dedup) supplementary alignments"	"(samtools Post-dedup) outward oriented pairs"	"(samtools Post-dedup) inward oriented pairs"	"(samtools Post-dedup) insert size average"	"(samtools Post-dedup) insert size standard deviation"	"(samtools Post-dedup) bases mapped"	"(samtools Post-dedup) bases mapped cigar"	"(samtools Post-dedup) bases trimmed"	"(samtools Post-dedup) bases duplicated"	"(ivar_variants) raw inserts"	"(ivar_variants) raw SNPs"	"(ivar_variants) raw deletions"	"(bcftools) number of indels"	"(bcftools) number of samples"	"(bcftools) number of SNPs"	"(bcftools) number of MNPs"	"(bcftools) number of no-ALTs"	"(bcftools) number of records"	"(bcftools) number of others"	"(bcftools) number of multiallelic sites"	"(bcftools) number of multiallelic SNP sites"	"(bcftools) number of transversions"	"(bcftools) transversion in 1st alternative"	"(bcftools) number of transitions"	"(bcftools) transistion in 1st alternative"	"(bcftools) transistions/transversions ratio"	"(bcftools) transition/transversion in 1st alternative"	"(bcftools) substitution T->C"	"(bcftools) substitution A->C"	"(bcftools) substitution C->A"	"(bcftools) substitution G->T"	"(bcftools) substitution A->T"	"(bcftools) substitution C->T"	"(bcftools) substitution T->G"	"(bcftools) substitution T->A"	"(bcftools) substitution G->C"	"(bcftools) substitution C->G"	"(bcftools) substitution G->A"	"(bcftools) substitution A->G"	"(general_stats) mosdepth Mean read depth"	"(general_stats) mosdepth Min read depth"	"(general_stats) mosdepth Max read depth"	"(general_stats) mosdepth Median read depth"	"(general_stats) mosdepth 1X coverage"	"(general_stats) mosdepth 5X coverage"	"(general_stats) mosdepth 10X coverage"	"(general_stats) mosdepth 50X coverage"	"(general_stats) mosdepth 100X coverage"	"(general_stats) mosdepth 200X coverage"	"(general_stats) mosdepth 500X coverage"	"(general_stats) mosdepth 750X coverage"	"(general_stats) mosdepth 1000X coverage"
"AF443074.1.8384_cl1_it2"	"AF443074.1.8384"	"cl1"	"it2"	"AF443074:AF443074;"	"1.0"	"9951"	"9037"	"3015"	"0"	"0"	"2092"	"5106"	"1465"	"4479"	"0.0"	"2081"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"30.3"	"acc|NEIGHBOR|AF443074.1|HIV-1"	"acc|NEIGHBOR|AF443074.1|HIV-1 isolate 96BWMO1.5 from Botswana, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"99.911"	"9951"	"9037"	"8986"	"7"	"1"	"651"	"9636"	"25"	"9009"	"0.0"	"16548.0"	11676	"acc-NEIGHBOR-AF321523.1-HIV-1"	2	49.34	49.28	0.0	"NODE_2_length_9028_cov_17.087518,k141_3"	965.0	9.7	"9697.52"	913836.0	301.0	32.5	0.05439981	42506.0	6.0	3020.0	99.4729907773386	16.0	0.5270092226613966	0.0	0.0	3036.0	100.0	2996.0	98.68247694334651	0.0	0.0	0.0	116.0	0.0	1505.0	724.0	104.8	909020.0	781363.0	0.0	0.0	10.0	0.0	16.0	""	4.0	116.0	1505.0	0.0	0.001325	"Unknown Library"	912632.0	301.0	32.5	0.05435525	42434.0	6.0	3016.0	99.47229551451187	16.0	0.5277044854881267	0.0	0.0	3032.0	100.0	2996.0	98.81266490765171	0.0	0.0	0.0	116.0	0.0	1505.0	724.0	104.8	907816.0	780679.0	0.0	0.0	9.0	866.0	9.0	18.0	1.0	866.0	0.0	0.0	884.0	0.0	0.0	0.0	277.0	277.0	589.0	589.0	2.13	2.13	124.0	47.0	54.0	20.0	44.0	102.0	24.0	45.0	22.0	21.0	180.0	183.0	78.35	0.0	130.0	96.0	90.0	90.0	90.0	78.0	42.0	0.0	0.0	0.0	0.0
"AF443074.1.8384_cl4_it2"	"AF443074.1.8384"	"cl4"	"it2"	"MN090192:MN090192;"	"1.0"	"9232"	"9089"	"3036"	"0"	"0"	"1598"	"4633"	"1418"	"4453"	"0.0"	"2091"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"32.89"	"acc|NEIGHBOR|MN090277.1|HIV-1"	"acc|NEIGHBOR|MN090277.1|HIV-1 isolate 9242_wk-2_11_B24 from USA, complete genome|Human immunodeficiency virus 1|VRL|28-OCT-2022"	"99.978"	"9232"	"9232"	"8988"	"2"	"0"	"180"	"9167"	"180"	"9167"	"0.0"	"16587.0"	11676	"acc-NEIGHBOR-MN090277.1-HIV-1"	2	50.66	50.66	0.0	"NODE_1_length_9050_cov_17.470806,k141_2"	243.0	2.63	"2632.15"	913836.0	301.0	32.5	0.05348093	41641.0	4.0	3022.0	99.53886693017128	14.0	0.461133069828722	0.0	0.0	3036.0	100.0	2998.0	98.74835309617919	0.0	0.0	0.0	103.0	0.0	1503.0	727.1	102.7	909622.0	778614.0	0.0	0.0	14.0	0.0	14.0	""	3.0	103.0	1504.0	0.0	0.000993	"Unknown Library"	912933.0	301.0	32.5	0.05345716	41604.0	4.0	3019.0	99.53841081437521	14.0	0.46158918562479395	0.0	0.0	3033.0	100.0	2998.0	98.84602703593801	0.0	0.0	0.0	103.0	0.0	1503.0	727.1	102.7	908719.0	778268.0	0.0	0.0	7.0	866.0	9.0	16.0	1.0	866.0	0.0	0.0	882.0	0.0	0.0	0.0	278.0	278.0	588.0	588.0	2.12	2.12	102.0	53.0	46.0	26.0	47.0	125.0	21.0	41.0	22.0	22.0	185.0	176.0	84.25	0.0	129.0	97.0	97.0	97.0	97.0	87.0	44.0	0.0	0.0	0.0	0.0
"AY835773.1.9090_cl2_it2"	"AY835773.1.9090"	"cl2"	"it2"	"AY835773:AY835773;"	"1.0"	"9755"	"9754"	"2595"	"0"	"0"	"6222"	"8816"	"6221"	"8815"	"0.0"	"1770"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"26.6"	"acc|NEIGHBOR|AY835773.1|HIV-1"	"acc|NEIGHBOR|AY835773.1|HIV-1 isolate 5082-94 clone pbf28 from USA, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"99.99"	"9755"	"9754"	"9634"	"0"	"1"	"16"	"9649"	"16"	"9648"	"0.0"	"17784.0"	11676	"acc-NEIGHBOR-AY835773.1-HIV-1"	14	51.23	51.36	0.0	"NODE_1_length_9712_cov_17.417214,k141_1,k141_12,k141_13,k141_14,k141_17,k141_2,k141_3,k141_4,k141_5,k141_6,k141_7,k141_8,k141_9"	121.0	1.24	"1240.39"	949354.0	301.0	32.6	0.04581497	41601.0	1.0	3154.0	100.0	0.0	0.0	0.0	0.0	3154.0	100.0	3122.0	98.9854153455929	0.0	0.0	0.0	43.0	8.0	1568.0	753.5	83.2	949354.0	908022.0	0.0	0.0	0.0	0.0	0.0	""	0.0	43.0	1577.0	0.0	0.0	"Unknown Library"	949354.0	301.0	32.6	0.04581497	41601.0	1.0	3154.0	100.0	0.0	0.0	0.0	0.0	3154.0	100.0	3122.0	98.9854153455929	0.0	0.0	0.0	43.0	8.0	1568.0	753.5	83.2	949354.0	908022.0	0.0	0.0	11.0	875.0	12.0	23.0	1.0	875.0	0.0	0.0	898.0	0.0	0.0	0.0	330.0	330.0	545.0	545.0	1.65	1.65	99.0	55.0	62.0	33.0	44.0	101.0	34.0	49.0	19.0	34.0	190.0	155.0	92.89	0.0	129.0	102.0	99.0	99.0	98.0	88.0	56.00000000000001	0.0	0.0	0.0	0.0
"AY835773.1.9090_cl3_it2"	"AY835773.1.9090"	"cl3"	"it2"	"MN090192:MN090192;"	"1.0"	"9232"	"9089"	"3036"	"0"	"0"	"1598"	"4633"	"1418"	"4453"	"0.0"	"2091"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"32.89"	"acc|NEIGHBOR|MN090277.1|HIV-1"	"acc|NEIGHBOR|MN090277.1|HIV-1 isolate 9242_wk-2_11_B24 from USA, complete genome|Human immunodeficiency virus 1|VRL|28-OCT-2022"	"99.847"	"9232"	"9232"	"9164"	"14"	"0"	"66"	"9229"	"66"	"9229"	"0.0"	"16846.0"	11676	"acc-NEIGHBOR-MN090277.1-HIV-1"	5	48.77	48.6	0.0	"NODE_2_length_9050_cov_17.470806,k141_10,k141_11,k141_15,k141_16"	68.0	0.74	"736.57"	949354.0	301.0	32.6	0.04785491	43361.0	0.0	3154.0	100.0	0.0	0.0	0.0	0.0	3154.0	100.0	3054.0	96.8294229549778	0.0	0.0	0.0	50.0	48.0	1529.0	977.2	1247.3	949354.0	906093.0	0.0	0.0	0.0	0.0	0.0	""	0.0	50.0	1577.0	0.0	0.0	"Unknown Library"	949354.0	301.0	32.6	0.04785491	43361.0	0.0	3154.0	100.0	0.0	0.0	0.0	0.0	3154.0	100.0	3054.0	96.8294229549778	0.0	0.0	0.0	50.0	48.0	1529.0	977.2	1247.3	949354.0	906093.0	0.0	0.0	10.0	711.0	13.0	23.0	1.0	711.0	0.0	0.0	734.0	0.0	0.0	0.0	220.0	220.0	491.0	491.0	2.23	2.23	84.0	53.0	41.0	20.0	28.0	91.0	18.0	30.0	19.0	11.0	144.0	172.0	97.95	0.0	129.0	103.0	99.0	99.0	98.0	97.0	61.0	0.0	0.0	0.0	0.0
"AY835777.1.9394_cl3_it2"	"AY835777.1.9394"	"cl3"	"it2"	"AY835777:AY835777;"	"1.0"	"9703"	"9703"	"3009"	"0"	"0"	"2085"	"5093"	"2085"	"5093"	"0.0"	"2081"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"31.01"	"acc|NEIGHBOR|AY835777.1|HIV-1"	"acc|NEIGHBOR|AY835777.1|HIV-1 isolate 5018-83 clone pbf4 from USA, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"100.0"	"9703"	"9703"	"9631"	"0"	"0"	"16"	"9646"	"16"	"9646"	"0.0"	"17786.0"	11676	"acc-NEIGHBOR-AY835781.1-HIV-1"	3	51.11	50.82	0.0	"NODE_1_length_9677_cov_17.415812,k141_13,k141_14"	72.0	0.74	"742.04"	946946.0	301.0	32.6	0.04370664	40239.0	0.0	3146.0	100.0	0.0	0.0	0.0	0.0	3146.0	100.0	3140.0	99.80928162746345	0.0	0.0	0.0	29.0	0.0	1572.0	755.7	75.0	946946.0	920661.0	0.0	0.0	0.0	0.0	0.0	1236640.0	0.0	29.0	1573.0	1.0	0.000636	"Unknown Library"	946344.0	301.0	32.6	0.04372328	40228.0	0.0	3144.0	100.0	0.0	0.0	0.0	0.0	3144.0	100.0	3138.0	99.80916030534351	0.0	0.0	0.0	29.0	0.0	1571.0	755.7	75.0	946344.0	920059.0	0.0	0.0	6.0	659.0	5.0	11.0	1.0	659.0	0.0	0.0	670.0	0.0	0.0	0.0	214.0	214.0	445.0	445.0	2.08	2.08	77.0	32.0	50.0	17.0	26.0	70.0	21.0	32.0	22.0	14.0	160.0	138.0	94.64	0.0	127.0	103.0	99.0	99.0	99.0	90.0	60.0	0.0	0.0	0.0	0.0
"AY835777.1.9394_cl6_it2"	"AY835777.1.9394"	"cl6"	"it2"	"MN090192:MN090192;"	"1.0"	"9232"	"9089"	"3036"	"0"	"0"	"1598"	"4633"	"1418"	"4453"	"0.0"	"2091"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"32.89"	"acc|NEIGHBOR|MN090277.1|HIV-1"	"acc|NEIGHBOR|MN090277.1|HIV-1 isolate 9242_wk-2_11_B24 from USA, complete genome|Human immunodeficiency virus 1|VRL|28-OCT-2022"	"99.79"	"9232"	"9232"	"9050"	"19"	"0"	"180"	"9229"	"180"	"9229"	"0.0"	"16608.0"	11676	"acc-NEIGHBOR-MN090277.1-HIV-1"	2	48.89	48.8	0.0	"NODE_2_length_9050_cov_17.470806,k141_15"	180.0	1.96	"1960.57"	946946.0	301.0	32.6	0.04499708	41375.0	1.0	3146.0	100.0	0.0	0.0	0.0	0.0	3146.0	100.0	3050.0	96.94850603941512	0.0	0.0	0.0	55.0	45.0	1527.0	969.2	1209.4	946946.0	919504.0	0.0	0.0	0.0	0.0	0.0	1236640.0	0.0	55.0	1573.0	1.0	0.000636	"Unknown Library"	946344.0	301.0	32.6	0.04494523	41303.0	1.0	3144.0	100.0	0.0	0.0	0.0	0.0	3144.0	100.0	3048.0	96.94656488549617	0.0	0.0	0.0	55.0	45.0	1526.0	969.4	1209.7	946344.0	918963.0	0.0	0.0	5.0	673.0	6.0	11.0	1.0	673.0	0.0	0.0	684.0	0.0	0.0	0.0	219.0	219.0	454.0	454.0	2.07	2.07	73.0	50.0	33.0	21.0	30.0	80.0	17.0	31.0	14.0	23.0	139.0	162.0	99.47	0.0	129.0	104.0	98.0	98.0	98.0	97.0	63.0	0.0	0.0	0.0	0.0
"FJ670529.1.8687_cl0_it2"	"FJ670529.1.8687"	"cl0"	"it2"	"FJ670529:FJ670529;"	"1.0"	"9759"	"8997"	"3021"	"0"	"0"	"2090"	"5110"	"1538"	"4558"	"0.0"	"2091"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"30.96"	"acc|NEIGHBOR|FJ670529.1|HIV-1"	"acc|NEIGHBOR|FJ670529.1|HIV-1 isolate X2457-2 from Spain, complete genome|Human immunodeficiency virus 1|VRL|24-JUL-2016"	"99.978"	"9759"	"8997"	"8916"	"1"	"1"	"608"	"9522"	"56"	"8971"	"0.0"	"16452.0"	11676	"acc-NEIGHBOR-M17449.1-Human"	2	49.21	49.18	0.0	"NODE_2_length_8945_cov_17.573486,k141_2"	842.0	8.64	"8638.18"	911428.0	301.0	32.6	0.05296929	44058.0	0.0	3028.0	100.0	0.0	0.0	0.0	0.0	3028.0	100.0	3022.0	99.80184940554821	0.0	0.0	0.0	95.0	0.0	1513.0	744.8	90.0	911428.0	831765.0	0.0	0.0	0.0	0.0	0.0	""	0.0	95.0	1514.0	0.0	0.0	"Unknown Library"	911428.0	301.0	32.6	0.05296929	44058.0	0.0	3028.0	100.0	0.0	0.0	0.0	0.0	3028.0	100.0	3022.0	99.80184940554821	0.0	0.0	0.0	95.0	0.0	1513.0	744.8	90.0	911428.0	831765.0	0.0	0.0	11.0	835.0	11.0	22.0	1.0	835.0	0.0	0.0	857.0	0.0	0.0	0.0	262.0	262.0	573.0	573.0	2.19	2.19	96.0	47.0	46.0	20.0	29.0	118.0	30.0	45.0	24.0	21.0	172.0	187.0	85.15	0.0	131.0	99.0	91.0	91.0	91.0	85.0	49.0	0.0	0.0	0.0	0.0
"FJ670529.1.8687_cl1_it2"	"FJ670529.1.8687"	"cl1"	"it2"	"MN090192:MN090192;"	"1.0"	"9232"	"9089"	"3036"	"0"	"0"	"1598"	"4633"	"1418"	"4453"	"0.0"	"2091"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"32.89"	"acc|NEIGHBOR|MN090277.1|HIV-1"	"acc|NEIGHBOR|MN090277.1|HIV-1 isolate 9242_wk-2_11_B24 from USA, complete genome|Human immunodeficiency virus 1|VRL|28-OCT-2022"	"100.0"	"9232"	"9232"	"8939"	"0"	"0"	"180"	"9118"	"180"	"9118"	"0.0"	"16508.0"	11676	"acc-NEIGHBOR-MN090277.1-HIV-1"	4	50.79	50.82	0.0	"NODE_1_length_9050_cov_17.470806,k141_0,k141_1,k141_3"	291.0	3.16	"3162.91"	911428.0	301.0	32.6	0.05210299	43215.0	0.0	3025.0	99.9009247027741	3.0	0.09907529722589167	0.0	0.0	3028.0	100.0	3016.0	99.60369881109644	0.0	0.0	0.0	102.0	0.0	1510.0	745.6	91.0	910525.0	829415.0	0.0	0.0	3.0	0.0	3.0	""	0.0	102.0	1511.0	0.0	0.0	"Unknown Library"	911428.0	301.0	32.6	0.05210299	43215.0	0.0	3025.0	99.9009247027741	3.0	0.09907529722589167	0.0	0.0	3028.0	100.0	3016.0	99.60369881109644	0.0	0.0	0.0	102.0	0.0	1510.0	745.6	91.0	910525.0	829415.0	0.0	0.0	12.0	836.0	10.0	22.0	1.0	836.0	0.0	0.0	858.0	0.0	0.0	0.0	263.0	263.0	573.0	573.0	2.18	2.18	115.0	47.0	49.0	29.0	46.0	97.0	20.0	28.0	21.0	23.0	190.0	171.0	89.73	0.0	131.0	101.0	97.0	97.0	96.0	90.0	53.0	0.0	0.0	0.0	0.0
"HM215250.1.7474_cl0_consensus"	"HM215250.1.7474"	"cl0"	"consensus"	"AY773341:AY773341;"	"0.784"	"9798"	"8640"	"687"	"148"	"0"	"8800"	"9483"	"7919"	"8605"	"4.716e-109"	"399"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"7.01"	"acc|NEIGHBOR|HM215250.1|HIV-1"	"acc|NEIGHBOR|HM215250.1|HIV-1 isolate TV725 from Canada, complete genome|Human immunodeficiency virus 1|VRL|25-JUL-2016"	"99.223"	"9798"	"9616"	"1287"	"2"	"1"	"8413"	"9699"	"8338"	"9616"	"0.0"	"2318.0"	11676	"acc-NEIGHBOR-MW006063.1-HIV-1"	2	7.81	0.03	0.0	"NODE_3_length_1304_cov_14.495327,k141_0"	8185.0	83.55	"83547.66"	942732.0	301.0	32.6	0.04200218	4658.0	1.0	567.0	18.103448275862068	2565.0	81.89655172413794	0.0	0.0	3132.0	100.0	314.0	10.025542784163473	0.0	0.0	0.0	1.0	0.0	157.0	592.7	167.9	170667.0	110899.0	0.0	0.0	253.0	0.0	2565.0	""	30.0	1.0	157.0	0.0	0.05291	"Unknown Library"	933702.0	301.0	32.6	0.04187166	4383.0	1.0	537.0	17.311411992263057	2565.0	82.68858800773694	0.0	0.0	3102.0	100.0	314.0	10.122501611863315	0.0	0.0	0.0	1.0	0.0	157.0	592.7	167.9	161637.0	104677.0	0.0	0.0	3.0	124.0	5.0	8.0	1.0	124.0	0.0	0.0	132.0	0.0	0.0	0.0	57.0	57.0	64.0	64.0	1.12	1.12	11.0	7.0	8.0	10.0	8.0	12.0	4.0	10.0	7.0	3.0	17.0	24.0	10.67	0.0	103.0	0.0	17.0	16.0	16.0	12.0	1.0	0.0	0.0	0.0	0.0
"HM215250.1.7474_cl1_it2"	"HM215250.1.7474"	"cl1"	"it2"	"EU110086:EU110086;"	"0.942"	"9706"	"8920"	"1974"	"114"	"0"	"3200"	"5173"	"2441"	"4414"	"0.0"	"1312"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"20.34"	"acc|NEIGHBOR|HM215250.1|HIV-1"	"acc|NEIGHBOR|HM215250.1|HIV-1 isolate TV725 from Canada, complete genome|Human immunodeficiency virus 1|VRL|25-JUL-2016"	"99.71"	"9706"	"9616"	"5519"	"3"	"1"	"1511"	"7016"	"1413"	"6931"	"0.0"	"10094.0"	11676	"acc-NEIGHBOR-KY658694.1-HIV-1"	4	36.32	46.9	0.0	"NODE_2_length_5435_cov_18.939148,k141_2,k141_4,k141_6"	2535.0	26.12	"26117.87"	942732.0	301.0	32.6	0.05631585	37455.0	1.0	2622.0	83.71647509578544	510.0	16.28352490421456	0.0	0.0	3132.0	100.0	2376.0	75.86206896551724	0.0	0.0	0.0	57.0	0.0	1189.0	711.7	110.0	789222.0	665088.0	0.0	0.0	244.0	0.0	510.0	""	25.0	57.0	1189.0	0.0	0.009535	"Unknown Library"	935207.0	301.0	32.6	0.05624453	37112.0	1.0	2597.0	83.58545220469907	510.0	16.414547795300933	0.0	0.0	3107.0	100.0	2376.0	76.472481493402	0.0	0.0	0.0	57.0	0.0	1189.0	711.7	110.0	781697.0	659833.0	0.0	0.0	11.0	746.0	8.0	19.0	1.0	746.0	0.0	0.0	765.0	0.0	0.0	0.0	240.0	240.0	499.0	499.0	2.08	2.08	95.0	42.0	42.0	29.0	29.0	106.0	21.0	44.0	19.0	14.0	141.0	157.0	67.81	0.0	131.0	90.0	74.0	74.0	74.0	66.0	37.0	0.0	0.0	0.0	0.0
