seq1_id	seq2_id	alignment_length	comparable_sites	matches	mismatches	mismatch_rate	seq1_length	seq2_length	seq1_gaps	seq2_gaps	seq1_Ns	seq2_Ns
Robb_cl11_it2.consensus_bcftools	MN090277.1	9263	9181	9012	48	0.005228	9260	9232	3	31	197	0
Jaime_cl38_it2.consensus_bcftools	MZ766668.1	9374	7745	7725	1185	0.153002	9293	9011	78	363	221	0
Daenerys_cl23_it2.consensus_bcftools	MN090277.1	9766	7763	7693	1249	0.160891	9546	9232	219	534	521	0
Sansa_cl87_it2.consensus_bcftools	MN090240.1	12549	7505	7491	1363	0.181612	12402	9015	147	3534	23	0
Tyrion_cl19_it2.consensus_bcftools	MN090277.1	9234	9231	9228	0	0.000000	9233	9232	0	2	3	0
Tyrion_cl18_it2.consensus_bcftools	MZ766668.1	9537	9005	9005	6	0.000666	9537	9011	0	526	521	0
Jaime_cl38_it2.consensus_bcftools	MN090277.1	9299	9079	8920	147	0.016191	9293	9232	3	67	221	0
Sansa_cl88_it2.consensus_bcftools	MN090240.1	9288	8905	8905	106	0.011903	9284	9015	0	273	221	0
Jon_cl92_it2.consensus_bcftools	MN090240.1	9649	1906	1906	46	0.024134	2584	9015	7063	634	0	0
Daenerys_cl24_it2.consensus_bcftools	MN090277.1	9250	9220	9066	0	0.000000	9238	9232	12	18	171	0
Arya_cl56_it2.consensus_bcftools	MN090240.1	9469	8937	8937	66	0.007385	9457	9015	0	454	400	0
Tyrion_cl18_it2.consensus_bcftools	MN090277.1	9765	7667	7597	1337	0.174384	9537	9232	228	533	521	0
Daenerys_cl24_it2.consensus_bcftools	MZ766668.1	9316	7599	7572	1334	0.175549	9238	9011	78	305	171	0
Catelyn_cl24_it2.consensus_bcftools	MN090188.1	9297	9018	9018	38	0.004214	9297	9056	0	241	221	0
Tyrion_cl19_it2.consensus_bcftools	MZ766668.1	9312	7593	7593	1339	0.176347	9233	9011	78	301	3	0
Eddard_cl22_it2.consensus_bcftools	MN090277.1	9303	9231	9072	0	0.000000	9302	9232	0	71	221	0
Rickon_cl0_it2.consensus_bcftools	MN090188.1	9085	9053	9052	0	0.000000	9082	9056	3	29	30	0
Jon_cl62_it2.consensus_bcftools	MN090277.1	9297	9167	9008	42	0.004582	9274	9232	0	65	221	0
Arya_cl55_it2.consensus_bcftools	MN090277.1	12469	7598	7573	1567	0.206238	12402	9232	67	3237	57	0
Robb_cl11_it2.consensus_bcftools	MN090188.1	9260	9055	9052	1	0.000110	9260	9056	0	204	197	0
Sansa_cl88_it2.consensus_bcftools	MN090277.1	9297	9048	8889	171	0.018899	9284	9232	9	65	221	0
Daenerys_cl23_it2.consensus_bcftools	MZ766668.1	9552	8935	8935	70	0.007834	9546	9011	5	541	521	0
Jaime_cl37_it2.consensus_bcftools	MN090277.1	9764	7488	7418	1324	0.176816	9344	9232	420	532	521	0
Jon_cl92_it2.consensus_bcftools	MN090277.1	9700	2080	2080	38	0.018269	2584	9232	7114	468	0	0
Jon_cl60_it2.consensus_bcftools	MN090240.1	12508	7485	7413	1436	0.191850	12414	9015	94	3493	141	0
Bran_cl0_it2.consensus_bcftools	MN090277.1	9232	9229	9217	3	0.000325	9232	9232	0	0	12	0
Jon_cl60_it2.consensus_bcftools	MN090277.1	12532	7723	7612	1391	0.180111	12414	9232	118	3300	141	0
Sansa_cl87_it2.consensus_bcftools	MN090277.1	12511	7702	7697	1421	0.184498	12402	9232	109	3279	23	0
Eddard_cl22_it2.consensus_bcftools	MN090188.1	9303	9008	9008	47	0.005218	9302	9056	0	247	221	0
Arya_cl55_it2.consensus_bcftools	MN090240.1	12490	7617	7614	1310	0.171984	12402	9015	88	3475	57	0
Jaime_cl37_it2.consensus_bcftools	MZ766668.1	9535	8820	8820	0	0.000000	9344	9011	191	524	521	0
Arya_cl56_it2.consensus_bcftools	MN090277.1	9478	9012	8851	199	0.022082	9457	9232	9	246	400	0
Catelyn_cl24_it2.consensus_bcftools	MN090277.1	9297	9221	9062	11	0.001193	9297	9232	0	65	221	0
Jon_cl62_it2.consensus_bcftools	MN090240.1	9297	8776	8776	216	0.024613	9274	9015	0	282	221	0
Jorah_cl0_it2.consensus_bcftools	MZ766668.1	9532	9011	9010	0	0.000000	9532	9011	0	521	522	0
Theon_cl0_it2.consensus_bcftools	MN090240.1	9061	9015	8997	0	0.000000	9061	9015	0	46	64	0
