seq1_id	seq2_id	alignment_length	comparable_sites	matches	mismatches	mismatch_rate	seq1_length	seq2_length	seq1_gaps	seq2_gaps	seq1_Ns	seq2_Ns
MN090204.1.9596_cl1_it2.consensus_bcftools	MN090204.1	9247	8756	8701	117	0.013362	9046	9074	2	173	221	0
MN090406.1.8586_cl1_it2.consensus_bcftools	MN090406.1	9031	9005	8944	8	0.000888	9031	9013	0	18	78	0
MW063100.1.8788_cl1_it2.consensus_bcftools	MN090277.1	9328	7963	7942	993	0.124702	9052	9232	276	96	56	0
MK457885.1.8080_cl1_it2.consensus_bcftools	MK457885.1	9015	8764	8677	0	0.000000	9015	8764	0	251	338	0
MK457885.1.8080_cl1_it2.consensus_bcftools	MN090277.1	9307	7225	6887	1715	0.237370	9015	9232	292	75	338	0
U69584.1.9091_cl2_it2.consensus_bcftools	U69584.1	10076	7715	7715	700	0.090732	9238	9217	802	859	0	0
MK457977.1.8282_cl1_it2.consensus_bcftools	MK457977.1	9337	7344	7290	1589	0.216367	9232	9038	105	299	244	0
AY835773.1.9090_cl3_it2.consensus_bcftools	MN090277.1	9232	9218	9150	14	0.001519	9232	9232	0	0	68	0
AF443074.1.8384_cl1_it2.consensus_bcftools	AF443074.1	9951	9030	8978	7	0.000775	9951	9037	0	914	965	0
MN090236.1.9494_cl1_it2.consensus_bcftools	MN090277.1	9236	8962	8747	53	0.005914	9019	9232	1	4	215	0
MW063100.1.8788_cl0_it2.consensus_bcftools	MN090277.1	9232	9229	9032	3	0.000325	9232	9232	0	0	197	0
MK457885.1.8080_cl0_it2.consensus_bcftools	MN090277.1	9232	9227	8987	5	0.000542	9232	9232	0	0	240	0
MN090187.1.9898_cl0_it2.consensus_bcftools	MN090277.1	9232	9143	8962	67	0.007328	9210	9232	1	0	181	0
KU168259.1.8888_cl3_it2.consensus_bcftools	KU168259.1	9789	8227	8046	903	0.109761	9233	9686	556	103	181	0
MN090406.1.8586_cl1_it2.consensus_bcftools	MN090277.1	9320	7787	7729	1156	0.148453	9031	9232	289	88	78	0
PV207457.1.8080_cl0_it2.consensus_bcftools	MN090277.1	9794	7481	7184	1596	0.213340	9639	9232	155	562	800	0
MT929422.1.8888_cl1_it2.consensus_bcftools	MT929422.1	11963	6949	6949	0	0.000000	9128	9783	2835	2179	0	0
MT194498.1.8283_cl0_it2.consensus_bcftools	MN090277.1	9232	9231	8962	1	0.000108	9232	9232	0	0	269	0
MW881692.1.9292_cl1_it2.consensus_bcftools	MN090277.1	9279	8115	8008	796	0.098090	8958	9232	321	47	107	0
U69588.1.9090_cl5_it2.consensus_bcftools	_R_U69588.1	9171	6689	6689	0	0.000000	6689	9171	2482	0	0	0
MN043582.1.9192_cl2_it2.consensus_bcftools	MN090277.1	9283	7945	7931	772	0.097168	8768	9232	515	51	14	0
MT191024.1.8889_cl1_it2.consensus_bcftools	MT191024.1	9118	9042	9007	7	0.000774	9110	9057	8	61	95	0
KC156117.1.8484_cl4_it2.consensus_bcftools	_R_MN090277.1	11277	6101	6101	1077	0.176528	9223	9232	2054	2045	0	0
MN090741.1.8686_cl0_it2.consensus_bcftools	MN090741.1	9295	7852	7816	1116	0.142129	9232	9031	63	264	214	0
U69588.1.9090_cl2_it2.consensus_bcftools	U69588.1	10061	7685	7685	699	0.090956	9262	9171	787	890	0	0
U69584.1.9091_cl1_it2.consensus_bcftools	MN090277.1	9860	8337	8270	758	0.090920	9723	9232	106	628	617	0
MT194498.1.8283_cl1_it2.consensus_bcftools	MT194498.1	9056	9056	8985	0	0.000000	9056	9056	0	0	71	0
MW006075.1.8485_cl3_it2.consensus_bcftools	MW006075.1	9843	7875	7810	1257	0.159619	9232	9743	611	100	65	0
MN090437.1.8484_cl1_it2.consensus_bcftools	MN090437.1	9030	9024	8956	5	0.000554	9030	9029	0	1	68	0
MN187301.1.8686_cl2_it2.consensus_bcftools	MN187301.1	9531	9530	9289	0	0.000000	9530	9531	0	0	241	0
MN090187.1.9898_cl0_it2.consensus_bcftools	MN090187.1	9259	8961	8948	79	0.008816	9210	9089	28	170	181	0
AY835773.1.9090_cl3_it2.consensus_bcftools	AY835773.1	9847	8333	8265	806	0.096724	9232	9754	615	93	68	0
MZ766594.1.8282_cl1_it2.consensus_bcftools	MN090277.1	9370	7540	7474	1408	0.186737	9086	9232	284	138	66	0
MW063100.1.8788_cl1_it2.consensus_bcftools	MW063100.1	9052	9051	8995	1	0.000110	9052	9052	0	0	56	0
K02083.1.9292_cl2_it2.consensus_bcftools	MN090277.1	9888	8503	8503	228	0.026814	9385	9232	40	656	491	0
MZ766594.1.8282_cl1_it2.consensus_bcftools	MZ766594.1	9086	9080	9014	5	0.000551	9086	9085	0	1	66	0
AY835777.1.9394_cl3_it2.consensus_bcftools	MN090277.1	9790	8395	8388	750	0.089339	9703	9232	87	558	72	0
MN043582.1.9192_cl0_it2.consensus_bcftools	MN090277.1	9720	8120	7939	734	0.090394	9342	9232	340	488	619	0
MK458244.1.8182_cl0_it2.consensus_bcftools	MN090277.1	9232	9230	8965	2	0.000217	9232	9232	0	0	265	0
MK457977.1.8282_cl1_it2.consensus_bcftools	MN090277.1	9232	9228	8984	4	0.000433	9232	9232	0	0	244	0
MK458218.1.8081_cl2_it2.consensus_bcftools	MK458218.1	9081	9074	9032	7	0.000771	9081	9081	0	0	42	0
KU168259.1.8888_cl2_it2.consensus_bcftools	MN090277.1	10349	7343	7340	861	0.117255	9321	9232	1027	1117	25	0
MN090303.1.9697_cl1_it2.consensus_bcftools	MN090303.1	9245	8943	8900	71	0.007939	9182	9077	17	168	209	0
PV207457.1.8080_cl1_it2.consensus_bcftools	MN090277.1	9232	9231	8939	1	0.000108	9232	9232	0	0	292	0
MK458218.1.8081_cl0_it2.consensus_bcftools	MK458218.1	9372	7299	7252	1642	0.224962	9232	9081	140	291	237	0
MZ766594.1.8282_cl0_it2.consensus_bcftools	MZ766594.1	9370	7528	7477	1419	0.188496	9232	9085	138	285	241	0
AF443074.1.8384_cl4_it2.consensus_bcftools	AF443074.1	9338	7613	7548	1318	0.173125	9232	9037	106	301	243	0
MN090211.1.9696_cl1_it2.consensus_bcftools	MN090277.1	9236	9002	8798	145	0.016108	9151	9232	0	4	204	0
MN090437.1.8484_cl0_it2.consensus_bcftools	MN090277.1	9232	9229	9011	3	0.000325	9232	9232	0	0	218	0
MN043582.1.9192_cl0_it2.consensus_bcftools	MN043582.1	9380	8735	8716	6	0.000687	9342	8779	0	600	619	0
MT929422.1.8888_cl0_it2.consensus_bcftools	MT929422.1	9855	8814	8650	767	0.087021	9653	9783	63	71	164	0
PV207457.1.8080_cl1_it2.consensus_bcftools	PV207457.1	9295	7262	7208	1613	0.222115	9232	8938	63	357	292	0
MW881692.1.9292_cl1_it2.consensus_bcftools	MW881692.1	8964	8889	8846	5	0.000562	8958	8900	6	64	107	0
U69588.1.9090_cl5_it2.consensus_bcftools	_R_MN090277.1	9265	6055	6055	601	0.099257	6689	9232	2576	33	0	0
KC156117.1.8484_cl2_it2.consensus_bcftools	KC156117.1	11718	7251	7251	0	0.000000	9237	9732	2481	1986	0	0
MT194498.1.8283_cl0_it2.consensus_bcftools	MT194498.1	9347	7586	7480	1355	0.178619	9232	9056	115	291	269	0
HM215250.1.7474_cl1_it2.consensus_bcftools	MN090277.1	9851	8063	6114	1024	0.127000	9706	9232	145	619	2535	0
MK458218.1.8081_cl2_it2.consensus_bcftools	MN090277.1	9372	7305	7263	1636	0.223956	9081	9232	291	140	42	0
FJ670529.1.8687_cl0_it2.consensus_bcftools	MN090277.1	9865	8048	7777	1078	0.133946	9759	9232	106	633	843	0
MW006075.1.8485_cl0_it2.consensus_bcftools	MN090277.1	9843	7892	7435	1239	0.156994	9742	9232	100	611	525	0
U69588.1.9090_cl1_it2.consensus_bcftools	MN090277.1	9374	8324	8226	764	0.091783	9230	9232	123	142	146	0
MN043582.1.9192_cl2_it2.consensus_bcftools	MN043582.1	8780	8762	8749	5	0.000571	8768	8779	12	0	14	0
MW881692.1.9292_cl0_it2.consensus_bcftools	MN090277.1	9236	9218	8926	1	0.000108	9223	9232	0	4	292	0
PV738262.1.8990_cl2_it2.consensus_bcftools	_R_MN090277.1	9325	8171	8149	805	0.098519	9069	9232	256	93	29	0
MK458244.1.8182_cl0_it2.consensus_bcftools	MK458244.1	9285	7338	7263	1613	0.219815	9232	9004	53	281	265	0
MZ766594.1.8282_cl0_it2.consensus_bcftools	MN090277.1	9232	9230	8989	2	0.000217	9232	9232	0	0	241	0
K02083.1.9292_cl2_it2.consensus_bcftools	K02083.1	9860	9201	8710	95	0.010325	9385	9770	12	90	491	0
PV207457.1.8080_cl0_it2.consensus_bcftools	PV207457.1	9640	8932	8833	5	0.000560	9639	8938	1	702	800	0
MN090437.1.8484_cl0_it2.consensus_bcftools	MN090437.1	9299	7666	7622	1296	0.169058	9232	9029	67	270	218	0
MK457977.1.8282_cl2_it2.consensus_bcftools	MK457977.1	9039	9029	8967	4	0.000443	9034	9038	5	1	62	0
KU168259.1.8888_cl2_it2.consensus_bcftools	KU168259.1	10719	8288	8285	0	0.000000	9321	9686	1397	1033	25	0
MW006075.1.8485_cl4_it2.consensus_bcftools	_R_MW006075.1	13450	5523	5523	2	0.000362	9232	9743	4218	3707	0	0
MN090406.1.8586_cl0_it2.consensus_bcftools	MN090277.1	9233	9225	9007	7	0.000759	9233	9232	0	1	218	0
KC156117.1.8484_cl4_it2.consensus_bcftools	_R_KC156117.1	11246	7709	7709	0	0.000000	9223	9732	2023	1514	0	0
MN090236.1.9494_cl1_it2.consensus_bcftools	MN090236.1	9235	8553	8519	260	0.030399	9019	9029	0	206	215	0
HM215250.1.7474_cl1_it2.consensus_bcftools	HM215250.1	9740	9577	7167	1	0.000104	9706	9611	34	124	2535	1852
MK458244.1.8182_cl1_it2.consensus_bcftools	MN090277.1	9281	7344	7276	1607	0.218818	9000	9232	281	49	68	0
MT194498.1.8283_cl1_it2.consensus_bcftools	MN090277.1	9347	7578	7507	1363	0.179863	9056	9232	291	115	71	0
MN090294.1.9696_cl2_it2.consensus_bcftools	MN090277.1	9235	9072	8882	73	0.008047	9148	9232	3	3	190	0
MK458218.1.8081_cl0_it2.consensus_bcftools	MN090277.1	9232	9229	8992	3	0.000325	9232	9232	0	0	237	0
MK458244.1.8182_cl1_it2.consensus_bcftools	MK458244.1	9004	8994	8926	6	0.000667	9000	9004	4	0	68	0
AY835777.1.9394_cl6_it2.consensus_bcftools	MN090277.1	9232	9212	9031	20	0.002171	9232	9232	0	0	181	0
AF443074.1.8384_cl4_it2.consensus_bcftools	MN090277.1	9232	9229	8986	3	0.000325	9232	9232	0	0	243	0
MN090271.1.99100_cl0_it2.consensus_bcftools	MN090271.1	9252	9055	9026	12	0.001325	9231	9088	14	164	193	0
MN090211.1.9696_cl1_it2.consensus_bcftools	MN090211.1	9236	8886	8853	90	0.010128	9151	9061	0	175	204	0
MT191024.1.8889_cl0_it2.consensus_bcftools	MT191024.1	9310	8098	8060	881	0.108792	9232	9057	78	253	209	0
MN187301.1.8686_cl5_it2.consensus_bcftools	MN187301.1	12005	6606	6606	24	0.003633	9104	9531	2901	2474	0	0
MN090204.1.9596_cl1_it2.consensus_bcftools	MN090277.1	9245	8948	8727	85	0.009499	9046	9232	0	13	221	0
MN187301.1.8686_cl4_it2.consensus_bcftools	MN187301.1	9677	7950	7841	1135	0.142767	9231	9531	446	146	120	0
AY835773.1.9090_cl2_it2.consensus_bcftools	MN090277.1	9848	8298	8242	841	0.101350	9755	9232	93	616	121	0
