# id: 'checkv'
# section_name: 'CLUSTER: Checkv'
# format: 'tsv'
# description: 'Checkv assesses the quality of metagenome-assembled viral genomes. '
# plot_type: 'table'
"(checkv) contig_id"	"(checkv) contig_length"	"(checkv) provirus"	"(checkv) proviral_length"	"(checkv) gene_count"	"(checkv) viral_genes"	"(checkv) host_genes"	"(checkv) checkv_quality"	"(checkv) miuvig_quality"	"(checkv) completeness"	"(checkv) completeness_method"	"(checkv) contamination"	"(checkv) kmer_freq"	"(checkv) warnings"	"sample"	"cluster"	"step"
"Jaime-MN090277_cl1_consensus_consensus"	9020	"No"	""	5	4	0	"High-quality"	"High-quality"	99.28	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-MN090277"	"cl1"	"consensus"
"Jaime-MN090277_cl1_it1.consensus_ivar"	9009	"No"	""	6	5	0	"High-quality"	"High-quality"	99.3	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-MN090277"	"cl1"	"it1"
"Jaime-MN090277_cl1_it2.consensus_ivar"	9006	"No"	""	6	5	0	"High-quality"	"High-quality"	99.26	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-MN090277"	"cl1"	"it2"
"Jaime-MN090277_cl1_itvariant-calling.consensus_ivar"	9006	"No"	""	6	5	0	"High-quality"	"High-quality"	99.26	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-MN090277"	"cl1"	"itvariant-calling"
"Daenerys-MZ766668_cl0_consensus_consensus"	9619	"No"	""	9	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.05	""	"Daenerys-MZ766668"	"cl0"	"consensus"
"Daenerys-MZ766668_cl0_it1.consensus_ivar"	9590	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.04	""	"Daenerys-MZ766668"	"cl0"	"it1"
"Daenerys-MZ766668_cl0_it2.consensus_ivar"	9590	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Daenerys-MZ766668"	"cl0"	"it2"
"Daenerys-MZ766668_cl0_itvariant-calling.consensus_ivar"	9581	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Daenerys-MZ766668"	"cl0"	"itvariant-calling"
"Jon-reference_cl3_consensus_consensus"	9066	"No"	""	11	9	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jon-reference"	"cl3"	"consensus"
"Jon-reference_cl3_it1.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jon-reference"	"cl3"	"it1"
"Jon-reference_cl3_it2.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jon-reference"	"cl3"	"it2"
