Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
KR821646,Orthonairovirus haemorrhagiae,GenBank,set:657466719ee8930ef77bedd20b97e976c5b44e3f,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,60-ROS/HU-2014,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),437,partial,,L,,Russia,Russia,,Homo sapiens,blood,2014,,,"Orthonairovirus haemorrhagiae isolate 60-ROS/HU-2014 RNA-dependent RNA polymerase gene, partial cds"
KU161584,Orthonairovirus haemorrhagiae,GenBank,set:14c95796f8f2d6e886459d04d65edd2f3abfa75e,,"Popova,A., Kulichenko,A., Volynkina,A., Kotenev,E., Pisarenko,S., Lisitskaya,Y., Shaposhnikova,L.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-10-10,1-CR/HU-2015,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),5364,complete,,M,,Russia,Russia,,Homo sapiens,blood,2015,,,"Orthonairovirus haemorrhagiae isolate 1-CR/HU-2015 segment M, complete sequence"
MN624270,Orthonairovirus haemorrhagiae,GenBank,,,"Volynkina,A., Kotenev,E., Kolosov,A.","Stavropol State Research Anti-Plague Institute, Laboratory on Natural Focal Infections",,2020-07-27,52-ROS/HU-2015,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),538,partial,,S,,Russia,Russia,,Homo sapiens,blood,2015-05-21,,,"Orthonairovirus haemorrhagiae isolate 52-ROS/HU-2015 nucleocapsid protein gene, partial cds"
MF511204,Orthonairovirus haemorrhagiae,GenBank,set:e95d849425bf75ef8ebedf45f551462cafd681d2,,"Zivcec,M., Guerrero,L., Albarino,C., Spiropoulou,C., Rollin,P.E., Ksiazek,T.G., Swanepoel,R., Nichol,S.T.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2017-09-06,SPU94_85_813055_L,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),12128,partial,,L,,South Africa,South Africa,,Homo sapiens,blood,1985,,,"Orthonairovirus haemorrhagiae isolate SPU94_85_813055_L RNA-dependent RNA polymerase (L) gene, complete cds"
FJ562093,Orthonairovirus haemorrhagiae,GenBank,set:cca7d6c1680d14442f1c208c6bd576d1ae4fdba1,,"Wei,P.F., Luo,Y.J., Li,T.X., Wang,H.L., Hu,Z.H., Zhang,F.C., Zhang,Y.J., Deng,F., Sun,S.R., Xia,Y., Zhou,Z., Meng,W., Hu,Z., Wang,H., Zhang,Y., Sun,S., Li,T.","Wuhan Institution of Virology, CAS, Molecular Virology Lab",China,2009-02-14,,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1673,partial,,S,1,China,China,,Ixodoidea,brain,2004,,,"Crimean-Congo hemorrhagic fever virus strain YL04057 segment S, complete sequence"
AY297688,Orthonairovirus haemorrhagiae,GenBank,set:5df1361b50823f1ef5c27013c7a1d39098c98ad8,,"Seregin,S.V., Tumanova,I.Y., Vyshemirski,O.I., Petrova,I.D., Lvov,D.K., Gromashevski,V.L., Samokhvalov,E.I., Tiunnikov,G.I., Gutorov,V.V., Tishkova,F.H., Daniyarov,O.A., Netesov,S.V., Petrov,V.S., Tyunnikov,G.I.","State Research Center of Virology and Biotechnology 'Vector', Biochemistry of Viruses",Russia,2003-08-18,TAJ/HU9112,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),497,partial,,S,1,Tajikistan,Tajikistan,,,,,,,"Crimean-Congo hemorrhagic fever virus isolate TAJ/HU9112 nucleocapsid protein (N) gene, partial cds"
DQ211649,Orthonairovirus haemorrhagiae,GenBank,set:fcf8409dcd6e6d2592b24813fe88a0b2d1f70f92,,"Deyde,V.M., Khristova,M.L., Rollin,P.E., Ksiazek,T.G., Nichol,S.T.","Centers for Disease Control and Prevention, Special Pathogens Branch, Biotechnology Core Facility Branch",USA,2006-08-16,,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1673,partial,,S,1,Turkey,Turkey,,Homo sapiens,,2003,,,"Crimean-Congo hemorrhagic fever virus strain Turkey200310849 segment S, complete sequence"
PQ878905,Orthonairovirus haemorrhagiae,GenBank,,,"Zhirova,A., Lisitskaya,Y., Volynkina,A.","Stavropol State Research Anti-Plague Institute, Laboratory for diagnostics of viral infections",,2025-03-02,374-ARM-TI-2022,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),538,partial,,S,,Armenia,Armenia,,Ixodoidea,,2022,,,"Orthonairovirus haemorrhagiae isolate 374-ARM-TI-2022 nucleocapsid protein gene, partial cds"
OQ454813,Orthonairovirus haemorrhagiae,GenBank,,,"D'Addiego,J., Wand,N., Afrough,B., Fletcher,T., Kurosaki,Y., Leblebicioglu,H., Hewson,R.","UK Health Security Agency, Research & Evaluation",United Kingdom,2023-08-29,21_OS,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),5099,partial,Europe,L,,Turkey,Turkey,,Homo sapiens,blood,2015-07-08,,,"Orthonairovirus haemorrhagiae isolate 21_OS RNA-dependent RNA polymerase gene, partial cds"
KP075683,Orthonairovirus haemorrhagiae,GenBank,set:1d148e5e4b20ed022777fffd86611f6b9e58efea,,"Shahhosseini,N., Chinikar,S., Jalali,T., Khakifirouz,S.",Bernhard Nocht Institute for Tropical Medicine,Germany,2015-10-31,Iran-Zanjan41,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),475,partial,,S,,Iran,Iran,,Homo sapiens,,2006,,,"Crimean-Congo hemorrhagic fever virus isolate Iran-Zanjan41 nucleocapsid gene, partial cds"
