id	target	ref
AF443074.1_8384	AF443074.1	MN090277.1
AY835773.1_9090	AY835773.1	MN090277.1
AY835777.1_9394	AY835777.1	MN090277.1
FJ670529.1_8687	FJ670529.1	MN090277.1
HM215250.1_7474	HM215250.1	MN090277.1
K02013.1_9293	K02013.1	MN090277.1
K02083.1_9292	K02083.1	MN090277.1
KC156117.1_8484	KC156117.1	MN090277.1
KU168259.1_8888	KU168259.1	MN090277.1
MK457885.1_8080	MK457885.1	MN090277.1
MK457977.1_8282	MK457977.1	MN090277.1
MK458218.1_8081	MK458218.1	MN090277.1
MK458244.1_8182	MK458244.1	MN090277.1
MN043582.1_9192	MN043582.1	MN090277.1
MN090187.1_9898	MN090187.1	MN090277.1
MN090204.1_9596	MN090204.1	MN090277.1
MN090211.1_9696	MN090211.1	MN090277.1
MN090236.1_9494	MN090236.1	MN090277.1
MN090271.1_99100	MN090271.1	MN090277.1
MN090277.1_100100	MN090277.1	MN090277.1
MN090294.1_9696	MN090294.1	MN090277.1
MN090303.1_9697	MN090303.1	MN090277.1
MN090316.1_9899	MN090316.1	MN090277.1
MN090406.1_8586	MN090406.1	MN090277.1
MN090437.1_8484	MN090437.1	MN090277.1
MN090741.1_8686	MN090741.1	MN090277.1
MN187301.1_8686	MN187301.1	MN090277.1
MT191024.1_8889	MT191024.1	MN090277.1
MT194498.1_8283	MT194498.1	MN090277.1
MT929422.1_8888	MT929422.1	MN090277.1
MW006075.1_8485	MW006075.1	MN090277.1
MW063100.1_8788	MW063100.1	MN090277.1
MW881692.1_9292	MW881692.1	MN090277.1
MZ766594.1_8282	MZ766594.1	MN090277.1
PV207457.1_8080	PV207457.1	MN090277.1
PV738262.1_8990	PV738262.1	MN090277.1
U69584.1_9091	U69584.1	MN090277.1
U69588.1_9090	U69588.1	MN090277.1
