"index"	"sample"	"cluster"	"step"	"(annotation) subject"	"(annotation) pident"	"(annotation) qlen"	"(annotation) slen"	"(annotation) length"	"(annotation) mismatch"	"(annotation) gapopen"	"(annotation) qstart"	"(annotation) qend"	"(annotation) sstart"	"(annotation) send"	"(annotation) evalue"	"(annotation) bitscore"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"(annotation) % contig aligned"	"(blast) subject"	"(blast) subject title"	"(blast) pident"	"(blast) qlen"	"(blast) slen"	"(blast) length"	"(blast) mismatch"	"(blast) gapopen"	"(blast) qstart"	"(blast) qend"	"(blast) sstart"	"(blast) send"	"(blast) evalue"	"(blast) bitscore"	"(cluster) taxon-id"	"(cluster) centroid"	"(cluster) number of members"	"(cluster) cumulative read depth - spades [%]"	"(cluster) cumulative read depth - megahit [%]"	"(cluster) cumulative read depth - trinity [%]"	"(cluster) members"	"(quast) # N's"	"(quast) % N's"	"(quast) # N's per 100 kbp"	"(samtools Raw) total length"	"(samtools Raw) average length"	"(samtools Raw) average quality"	"(samtools Raw) error rate"	"(samtools Raw) mismatches"	"(samtools Raw) reads MQ0"	"(samtools Raw) reads mapped (R1+R2)"	"(samtools Raw) reads mapped %"	"(samtools Raw) reads unmapped (R1+R2)"	"(samtools Raw) reads unmapped %"	"(samtools Raw) reads QC failed"	"(samtools Raw) reads QC failed %"	"(samtools Raw) reads paired"	"(samtools Raw) reads paired %"	"(samtools Raw) reads properly paired"	"(samtools Raw) reads properly paired %"	"(samtools Raw) reads duplicated"	"(samtools Raw) reads duplicated %"	"(samtools Raw) non primary alignments"	"(samtools Raw) supplementary alignments"	"(samtools Raw) outward oriented pairs"	"(samtools Raw) inward oriented pairs"	"(samtools Raw) insert size average"	"(samtools Raw) insert size standard deviation"	"(samtools Raw) bases mapped"	"(samtools Raw) bases mapped cigar"	"(samtools Raw) bases trimmed"	"(samtools Raw) bases duplicated"	"(picard) unpaired reads examined"	"(picard) read pair optical duplicates"	"(picard) unmapped reads (R1+R2)"	"(picard) estimated library size"	"(picard) unpaired read duplicates"	"(picard) secondary or supplementary rds"	"(picard) read pairs examined"	"(picard) read pair duplicates"	"(picard) % duplication"	"(picard) library"	"(samtools Post-dedup) total length"	"(samtools Post-dedup) average length"	"(samtools Post-dedup) average quality"	"(samtools Post-dedup) error rate"	"(samtools Post-dedup) mismatches"	"(samtools Post-dedup) reads MQ0"	"(samtools Post-dedup) reads mapped (R1+R2)"	"(samtools Post-dedup) reads mapped %"	"(samtools Post-dedup) reads unmapped (R1+R2)"	"(samtools Post-dedup) reads unmapped %"	"(samtools Post-dedup) reads QC failed"	"(samtools Post-dedup) reads QC failed %"	"(samtools Post-dedup) reads paired"	"(samtools Post-dedup) reads paired %"	"(samtools Post-dedup) reads properly paired"	"(samtools Post-dedup) reads properly paired %"	"(samtools Post-dedup) reads duplicated"	"(samtools Post-dedup) reads duplicated %"	"(samtools Post-dedup) non primary alignments"	"(samtools Post-dedup) supplementary alignments"	"(samtools Post-dedup) outward oriented pairs"	"(samtools Post-dedup) inward oriented pairs"	"(samtools Post-dedup) insert size average"	"(samtools Post-dedup) insert size standard deviation"	"(samtools Post-dedup) bases mapped"	"(samtools Post-dedup) bases mapped cigar"	"(samtools Post-dedup) bases trimmed"	"(samtools Post-dedup) bases duplicated"	"(ivar_variants) raw inserts"	"(ivar_variants) raw SNPs"	"(ivar_variants) raw deletions"	"(bcftools) number of indels"	"(bcftools) number of samples"	"(bcftools) number of SNPs"	"(bcftools) number of MNPs"	"(bcftools) number of no-ALTs"	"(bcftools) number of records"	"(bcftools) number of others"	"(bcftools) number of multiallelic sites"	"(bcftools) number of multiallelic SNP sites"	"(bcftools) number of transversions"	"(bcftools) transversion in 1st alternative"	"(bcftools) number of transitions"	"(bcftools) transistion in 1st alternative"	"(bcftools) transistions/transversions ratio"	"(bcftools) transition/transversion in 1st alternative"	"(bcftools) substitution T->C"	"(bcftools) substitution A->C"	"(bcftools) substitution C->A"	"(bcftools) substitution G->T"	"(bcftools) substitution A->T"	"(bcftools) substitution C->T"	"(bcftools) substitution T->G"	"(bcftools) substitution T->A"	"(bcftools) substitution G->C"	"(bcftools) substitution C->G"	"(bcftools) substitution G->A"	"(bcftools) substitution A->G"	"(general_stats) mosdepth Mean read depth"	"(general_stats) mosdepth Min read depth"	"(general_stats) mosdepth Max read depth"	"(general_stats) mosdepth Median read depth"	"(general_stats) mosdepth 1X coverage"	"(general_stats) mosdepth 5X coverage"	"(general_stats) mosdepth 10X coverage"	"(general_stats) mosdepth 50X coverage"	"(general_stats) mosdepth 100X coverage"	"(general_stats) mosdepth 200X coverage"	"(general_stats) mosdepth 500X coverage"	"(general_stats) mosdepth 750X coverage"	"(general_stats) mosdepth 1000X coverage"
"AF443074.1.8384_cl1_consensus"	"AF443074.1.8384"	"cl1"	"consensus"	"AF443074:AF443074;"	"1.0"	"9950"	"9037"	"3015"	"0"	"0"	"2091"	"5105"	"1465"	"4479"	"0.0"	"2081"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"30.3"	"acc|NEIGHBOR|AF443074.1|HIV-1"	"acc|NEIGHBOR|AF443074.1|HIV-1 isolate 96BWMO1.5 from Botswana, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"100.0"	"9950"	"9037"	"9016"	"0"	"0"	"648"	"9663"	"22"	"9037"	"0.0"	"16650.0"	11676	"acc-NEIGHBOR-AF321523.1-HIV-1"	2	49.34	49.28	0.0	"NODE_2_length_9028_cov_17.087518,k141_3"	921.0	9.27	"9266.33"	913836.0	301.0	32.5	0.05462971	42690.0	6.0	3020.0	99.4729907773386	16.0	0.5270092226613966	0.0	0.0	3036.0	100.0	2996.0	98.68247694334651	0.0	0.0	0.0	116.0	0.0	1505.0	724.0	104.7	909020.0	781443.0	0.0	0.0	10.0	0.0	16.0	""	4.0	116.0	1505.0	0.0	0.001325	"Unknown Library"	912632.0	301.0	32.5	0.05458535	42618.0	6.0	3016.0	99.47229551451187	16.0	0.5277044854881267	0.0	0.0	3032.0	100.0	2996.0	98.81266490765171	0.0	0.0	0.0	116.0	0.0	1505.0	724.0	104.7	907816.0	780759.0	0.0	0.0	12.0	867.0	8.0	20.0	1.0	867.0	0.0	0.0	887.0	0.0	0.0	0.0	278.0	278.0	589.0	589.0	2.12	2.12	125.0	48.0	54.0	20.0	43.0	101.0	24.0	46.0	22.0	21.0	179.0	184.0	78.36	0.0	130.0	96.0	91.0	90.0	90.0	78.0	42.0	0.0	0.0	0.0	0.0
"AF443074.1.8384_cl1_it1"	"AF443074.1.8384"	"cl1"	"it1"	"AF443074:AF443074;"	"1.0"	"9951"	"9037"	"3015"	"0"	"0"	"2092"	"5106"	"1465"	"4479"	"0.0"	"2081"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"30.3"	"acc|NEIGHBOR|AF443074.1|HIV-1"	"acc|NEIGHBOR|AF443074.1|HIV-1 isolate 96BWMO1.5 from Botswana, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"99.911"	"9951"	"9037"	"8986"	"7"	"1"	"651"	"9636"	"25"	"9009"	"0.0"	"16548.0"	11676	"acc-NEIGHBOR-AF321523.1-HIV-1"	2	49.34	49.28	0.0	"NODE_2_length_9028_cov_17.087518,k141_3"	965.0	9.7	"9697.52"	913836.0	301.0	32.5	0.05439981	42506.0	6.0	3020.0	99.4729907773386	16.0	0.5270092226613966	0.0	0.0	3036.0	100.0	2996.0	98.68247694334651	0.0	0.0	0.0	116.0	0.0	1505.0	724.0	104.8	909020.0	781363.0	0.0	0.0	10.0	0.0	16.0	""	4.0	116.0	1505.0	0.0	0.001325	"Unknown Library"	912632.0	301.0	32.5	0.05435525	42434.0	6.0	3016.0	99.47229551451187	16.0	0.5277044854881267	0.0	0.0	3032.0	100.0	2996.0	98.81266490765171	0.0	0.0	0.0	116.0	0.0	1505.0	724.0	104.8	907816.0	780679.0	0.0	0.0	9.0	866.0	9.0	18.0	1.0	866.0	0.0	0.0	884.0	0.0	0.0	0.0	277.0	277.0	589.0	589.0	2.13	2.13	124.0	47.0	54.0	20.0	44.0	102.0	24.0	45.0	22.0	21.0	180.0	183.0	78.35	0.0	130.0	96.0	90.0	90.0	90.0	78.0	42.0	0.0	0.0	0.0	0.0
"AF443074.1.8384_cl1_it2"	"AF443074.1.8384"	"cl1"	"it2"	"AF443074:AF443074;"	"1.0"	"9951"	"9037"	"3015"	"0"	"0"	"2092"	"5106"	"1465"	"4479"	"0.0"	"2081"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"30.3"	"acc|NEIGHBOR|AF443074.1|HIV-1"	"acc|NEIGHBOR|AF443074.1|HIV-1 isolate 96BWMO1.5 from Botswana, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"99.911"	"9951"	"9037"	"8986"	"7"	"1"	"651"	"9636"	"25"	"9009"	"0.0"	"16548.0"	11676	"acc-NEIGHBOR-AF321523.1-HIV-1"	2	49.34	49.28	0.0	"NODE_2_length_9028_cov_17.087518,k141_3"	965.0	9.7	"9697.52"	913836.0	301.0	32.5	0.05439981	42506.0	6.0	3020.0	99.4729907773386	16.0	0.5270092226613966	0.0	0.0	3036.0	100.0	2996.0	98.68247694334651	0.0	0.0	0.0	116.0	0.0	1505.0	724.0	104.8	909020.0	781363.0	0.0	0.0	10.0	0.0	16.0	""	4.0	116.0	1505.0	0.0	0.001325	"Unknown Library"	912632.0	301.0	32.5	0.05435525	42434.0	6.0	3016.0	99.47229551451187	16.0	0.5277044854881267	0.0	0.0	3032.0	100.0	2996.0	98.81266490765171	0.0	0.0	0.0	116.0	0.0	1505.0	724.0	104.8	907816.0	780679.0	0.0	0.0	9.0	866.0	9.0	18.0	1.0	866.0	0.0	0.0	884.0	0.0	0.0	0.0	277.0	277.0	589.0	589.0	2.13	2.13	124.0	47.0	54.0	20.0	44.0	102.0	24.0	45.0	22.0	21.0	180.0	183.0	78.35	0.0	130.0	96.0	90.0	90.0	90.0	78.0	42.0	0.0	0.0	0.0	0.0
"AF443074.1.8384_cl1_itvariant-calling"	"AF443074.1.8384"	"cl1"	"itvariant-calling"	"AF443074:AF443074;"	"0.977"	"9948"	"9037"	"3003"	"69"	"0"	"2089"	"5091"	"1465"	"4467"	"0.0"	"2037"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"30.19"	"acc|NEIGHBOR|AF443074.1|HIV-1"	"acc|NEIGHBOR|AF443074.1|HIV-1 isolate 96BWMO1.5 from Botswana, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"97.096"	"9948"	"9037"	"8988"	"253"	"6"	"651"	"9633"	"25"	"9009"	"0.0"	"15199.0"	11676	"acc-NEIGHBOR-AF321523.1-HIV-1"	2	49.34	49.28	0.0	"NODE_2_length_9028_cov_17.087518,k141_3"	994.0	9.99	"9991.96"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"AF443074.1.8384_cl4_consensus"	"AF443074.1.8384"	"cl4"	"consensus"	"MN090192:MN090192;"	"1.0"	"9232"	"9089"	"3036"	"0"	"0"	"1598"	"4633"	"1418"	"4453"	"0.0"	"2091"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"32.89"	"acc|NEIGHBOR|MN090277.1|HIV-1"	"acc|NEIGHBOR|MN090277.1|HIV-1 isolate 9242_wk-2_11_B24 from USA, complete genome|Human immunodeficiency virus 1|VRL|28-OCT-2022"	"100.0"	"9232"	"9232"	"9050"	"0"	"0"	"180"	"9229"	"180"	"9229"	"0.0"	"16713.0"	11676	"acc-NEIGHBOR-MN090277.1-HIV-1"	2	50.66	50.66	0.0	"NODE_1_length_9050_cov_17.470806,k141_2"	181.0	1.97	"1971.40"	913836.0	301.0	32.5	0.05348541	41650.0	4.0	3022.0	99.53886693017128	14.0	0.461133069828722	0.0	0.0	3036.0	100.0	2998.0	98.74835309617919	0.0	0.0	0.0	103.0	0.0	1503.0	727.2	102.7	909622.0	778717.0	0.0	0.0	14.0	0.0	14.0	""	3.0	103.0	1504.0	0.0	0.000993	"Unknown Library"	912933.0	301.0	32.5	0.05346165	41613.0	4.0	3019.0	99.53841081437521	14.0	0.46158918562479395	0.0	0.0	3033.0	100.0	2998.0	98.84602703593801	0.0	0.0	0.0	103.0	0.0	1503.0	727.2	102.7	908719.0	778371.0	0.0	0.0	7.0	867.0	9.0	16.0	1.0	867.0	0.0	0.0	883.0	0.0	0.0	0.0	278.0	278.0	588.0	588.0	2.12	2.12	102.0	53.0	46.0	26.0	48.0	125.0	21.0	40.0	22.0	22.0	184.0	177.0	84.26	0.0	129.0	97.0	98.0	97.0	97.0	87.0	44.0	0.0	0.0	0.0	0.0
"AF443074.1.8384_cl4_it1"	"AF443074.1.8384"	"cl4"	"it1"	"MN090192:MN090192;"	"1.0"	"9232"	"9089"	"3036"	"0"	"0"	"1598"	"4633"	"1418"	"4453"	"0.0"	"2091"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"32.89"	"acc|NEIGHBOR|MN090277.1|HIV-1"	"acc|NEIGHBOR|MN090277.1|HIV-1 isolate 9242_wk-2_11_B24 from USA, complete genome|Human immunodeficiency virus 1|VRL|28-OCT-2022"	"99.978"	"9232"	"9232"	"8988"	"2"	"0"	"180"	"9167"	"180"	"9167"	"0.0"	"16587.0"	11676	"acc-NEIGHBOR-MN090277.1-HIV-1"	2	50.66	50.66	0.0	"NODE_1_length_9050_cov_17.470806,k141_2"	243.0	2.63	"2632.15"	913836.0	301.0	32.5	0.05348093	41641.0	4.0	3022.0	99.53886693017128	14.0	0.461133069828722	0.0	0.0	3036.0	100.0	2998.0	98.74835309617919	0.0	0.0	0.0	103.0	0.0	1503.0	727.1	102.7	909622.0	778614.0	0.0	0.0	14.0	0.0	14.0	""	3.0	103.0	1504.0	0.0	0.000993	"Unknown Library"	912933.0	301.0	32.5	0.05345716	41604.0	4.0	3019.0	99.53841081437521	14.0	0.46158918562479395	0.0	0.0	3033.0	100.0	2998.0	98.84602703593801	0.0	0.0	0.0	103.0	0.0	1503.0	727.1	102.7	908719.0	778268.0	0.0	0.0	7.0	866.0	9.0	16.0	1.0	866.0	0.0	0.0	882.0	0.0	0.0	0.0	278.0	278.0	588.0	588.0	2.12	2.12	102.0	53.0	46.0	26.0	47.0	125.0	21.0	41.0	22.0	22.0	185.0	176.0	84.25	0.0	129.0	97.0	97.0	97.0	97.0	87.0	44.0	0.0	0.0	0.0	0.0
"AF443074.1.8384_cl4_it2"	"AF443074.1.8384"	"cl4"	"it2"	"MN090192:MN090192;"	"1.0"	"9232"	"9089"	"3036"	"0"	"0"	"1598"	"4633"	"1418"	"4453"	"0.0"	"2091"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"32.89"	"acc|NEIGHBOR|MN090277.1|HIV-1"	"acc|NEIGHBOR|MN090277.1|HIV-1 isolate 9242_wk-2_11_B24 from USA, complete genome|Human immunodeficiency virus 1|VRL|28-OCT-2022"	"99.978"	"9232"	"9232"	"8988"	"2"	"0"	"180"	"9167"	"180"	"9167"	"0.0"	"16587.0"	11676	"acc-NEIGHBOR-MN090277.1-HIV-1"	2	50.66	50.66	0.0	"NODE_1_length_9050_cov_17.470806,k141_2"	243.0	2.63	"2632.15"	913836.0	301.0	32.5	0.05348093	41641.0	4.0	3022.0	99.53886693017128	14.0	0.461133069828722	0.0	0.0	3036.0	100.0	2998.0	98.74835309617919	0.0	0.0	0.0	103.0	0.0	1503.0	727.1	102.7	909622.0	778614.0	0.0	0.0	14.0	0.0	14.0	""	3.0	103.0	1504.0	0.0	0.000993	"Unknown Library"	912933.0	301.0	32.5	0.05345716	41604.0	4.0	3019.0	99.53841081437521	14.0	0.46158918562479395	0.0	0.0	3033.0	100.0	2998.0	98.84602703593801	0.0	0.0	0.0	103.0	0.0	1503.0	727.1	102.7	908719.0	778268.0	0.0	0.0	7.0	866.0	9.0	16.0	1.0	866.0	0.0	0.0	882.0	0.0	0.0	0.0	278.0	278.0	588.0	588.0	2.12	2.12	102.0	53.0	46.0	26.0	47.0	125.0	21.0	41.0	22.0	22.0	185.0	176.0	84.25	0.0	129.0	97.0	97.0	97.0	97.0	87.0	44.0	0.0	0.0	0.0	0.0
"AF443074.1.8384_cl4_itvariant-calling"	"AF443074.1.8384"	"cl4"	"itvariant-calling"	"MN090192:MN090192;"	"0.964"	"9232"	"9089"	"3036"	"109"	"0"	"1598"	"4633"	"1418"	"4453"	"0.0"	"2030"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"32.89"	"acc|NEIGHBOR|MN090277.1|HIV-1"	"acc|NEIGHBOR|MN090277.1|HIV-1 isolate 9242_wk-2_11_B24 from USA, complete genome|Human immunodeficiency virus 1|VRL|28-OCT-2022"	"97.908"	"9232"	"9232"	"8988"	"188"	"0"	"180"	"9167"	"180"	"9167"	"0.0"	"15605.0"	11676	"acc-NEIGHBOR-MN090277.1-HIV-1"	2	50.66	50.66	0.0	"NODE_1_length_9050_cov_17.470806,k141_2"	269.0	2.91	"2913.78"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"AY835773.1.9090_cl2_consensus"	"AY835773.1.9090"	"cl2"	"consensus"	"AY835773:AY835773;"	"1.0"	"9755"	"9754"	"2595"	"0"	"0"	"6222"	"8816"	"6221"	"8815"	"0.0"	"1770"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"26.6"	"acc|NEIGHBOR|AY835773.1|HIV-1"	"acc|NEIGHBOR|AY835773.1|HIV-1 isolate 5082-94 clone pbf28 from USA, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"99.99"	"9755"	"9754"	"9713"	"0"	"1"	"3"	"9715"	"3"	"9714"	"0.0"	"17930.0"	11676	"acc-NEIGHBOR-AY835773.1-HIV-1"	14	51.23	51.36	0.0	"NODE_1_length_9712_cov_17.417214,k141_1,k141_12,k141_13,k141_14,k141_17,k141_2,k141_3,k141_4,k141_5,k141_6,k141_7,k141_8,k141_9"	42.0	0.43	"430.55"	949354.0	301.0	32.6	0.04580455	41598.0	0.0	3154.0	100.0	0.0	0.0	0.0	0.0	3154.0	100.0	3124.0	99.04882688649334	0.0	0.0	0.0	43.0	7.0	1569.0	753.3	82.5	949354.0	908163.0	0.0	0.0	0.0	0.0	0.0	""	0.0	43.0	1577.0	0.0	0.0	"Unknown Library"	949354.0	301.0	32.6	0.04580455	41598.0	0.0	3154.0	100.0	0.0	0.0	0.0	0.0	3154.0	100.0	3124.0	99.04882688649334	0.0	0.0	0.0	43.0	7.0	1569.0	753.3	82.5	949354.0	908163.0	0.0	0.0	11.0	890.0	12.0	23.0	1.0	890.0	0.0	0.0	913.0	0.0	0.0	0.0	338.0	338.0	552.0	552.0	1.63	1.63	101.0	60.0	69.0	34.0	37.0	100.0	37.0	45.0	24.0	32.0	193.0	158.0	92.91	0.0	129.0	102.0	100.0	99.0	98.0	88.0	56.00000000000001	0.0	0.0	0.0	0.0
"AY835773.1.9090_cl2_it1"	"AY835773.1.9090"	"cl2"	"it1"	"AY835773:AY835773;"	"1.0"	"9755"	"9754"	"2595"	"0"	"0"	"6222"	"8816"	"6221"	"8815"	"0.0"	"1770"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"26.6"	"acc|NEIGHBOR|AY835773.1|HIV-1"	"acc|NEIGHBOR|AY835773.1|HIV-1 isolate 5082-94 clone pbf28 from USA, complete genome|Human immunodeficiency virus 1|VRL|26-JUL-2016"	"99.99"	"9755"	"9754"	"9641"	"0"	"1"	"16"	"9656"	"16"	"9655"	"0.0"	"17797.0"	11676	"acc-NEIGHBOR-AY835773.1-HIV-1"	14	51.23	51.36	0.0	"NODE_1_length_9712_cov_17.417214,k141_1,k141_12,k141_13,k141_14,k141_17,k141_2,k141_3,k141_4,k141_5,k141_6,k141_7,k141_8,k141_9"	113.0	1.17	"1168.63"	949354.0	301.0	32.6	0.04557588	41385.0	0.0	3154.0	100.0	0.0	0.0	0.0	0.0	3154.0	100.0	3122.0	98.9854153455929	0.0	0.0	0.0	43.0	8.0	1568.0	753.5	83.2	949354.0	908046.0	0.0	0.0	0.0	0.0	0.0	""	0.0	43.0	1577.0	0.0	0.0	"Unknown Library"	949354.0	301.0	32.6	0.04557588	41385.0	0.0	3154.0	100.0	0.0	0.0	0.0	0.0	3154.0	100.0	3122.0	98.9854153455929	0.0	0.0	0.0	43.0	8.0	1568.0	753.5	83.2	949354.0	908046.0	0.0	0.0	11.0	715.0	12.0	23.0	1.0	715.0	0.0	0.0	738.0	0.0	0.0	0.0	224.0	224.0	491.0	491.0	2.19	2.19	89.0	40.0	50.0	17.0	29.0	90.0	22.0	35.0	12.0	19.0	173.0	139.0	92.9	0.0	129.0	102.0	99.0	99.0	98.0	88.0	56.00000000000001	0.0	0.0	0.0	0.0
