,,mismatches,identities,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Arya-MN090240_cl0_it2.consensus_ivar,MN090240.1,1,9013,9015,0,1,9015,Arya,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090240_cl0_it2.consensus_ivar,MN090277.1,280,8731,9235,220,1,9235,Arya,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,0,9015,9225,0,1,9225,Arya,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,281,8940,9235,10,1,9235,Arya,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090240.1,0,9015,9225,0,1,9225,Arya,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090277.1,281,8940,9235,10,1,9235,Arya,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090240.1,1670,7254,12494,86,59,12494,Arya,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090277.1,1813,7224,12583,175,59,12583,Arya,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090240.1,1,9014,9464,0,400,9464,Arya,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090277.1,280,8781,9474,10,400,9474,Arya,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090240.1,2,8941,9672,27,370,9672,Arya,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090277.1,326,8694,9719,74,370,9719,Arya,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl1_it2.consensus_ivar,MN090240.1,1,9014,9287,0,221,9287,Arya,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.virosaurus_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl1_it2.consensus_ivar,MN090277.1,280,8783,9297,10,221,9297,Arya,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Arya.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9056,9232,176,0,9232,Bran,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9004,9232,210,18,9232,Bran,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,2,9219,9232,0,11,9232,Bran,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,2,9219,9232,0,11,9232,Bran,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,2,9219,9232,0,11,9232,Bran,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277_cl0_it2.consensus_ivar,MN090277.1,2,9219,9232,0,11,9232,Bran,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9202,9232,30,0,9232,Bran,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-reference_cl0_it2.consensus_ivar,MN090277.1,0,9068,9249,12,169,9249,Bran,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-virosaurus_cl0_it2.consensus_ivar,MN090277.1,0,9073,9294,0,221,9294,Bran,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Bran.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090188.1,8,9045,9059,3,0,9059,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090277.1,41,9015,9232,176,0,9232,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090188_cl1_it2.consensus_ivar,MN090188.1,15,2302,9505,6739,180,9505,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090188_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl1_it2.consensus_ivar,MN090277.1,15,2467,9516,6750,180,9516,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090188_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,8,9048,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,41,9190,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090188.1,8,9048,9235,0,1,9235,Catelyn,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090277.1,41,9190,9235,0,1,9235,Catelyn,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090188.1,173,5845,12418,1,3063,12418,Catelyn,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090277.1,293,5880,12431,14,3063,12431,Catelyn,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090188.1,11,9045,9297,0,221,9297,Catelyn,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090277.1,38,9035,9297,0,221,9297,Catelyn,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090188.1,7,7319,9711,301,2081,9711,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090277.1,35,7294,9719,309,2081,9719,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090188.1,11,9045,9297,0,221,9297,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090277.1,38,9035,9297,0,221,9297,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,1371,7568,9304,72,8,9304,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9224,9232,0,8,9232,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,925,8056,9025,30,0,9025,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,424,8510,9293,298,0,9293,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MZ766668.1,1371,7568,9304,72,8,9304,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9224,9232,0,8,9232,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MZ766668.1,925,8055,9025,31,0,9025,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MN090277.1,424,8509,9293,299,0,9293,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,1358,7546,9159,107,0,9159,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9052,9232,180,0,9232,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
