"index"	"sample"	"cluster"	"step"	"(annotation) subject"	"(annotation) pident"	"(annotation) qlen"	"(annotation) slen"	"(annotation) length"	"(annotation) mismatch"	"(annotation) gapopen"	"(annotation) qstart"	"(annotation) qend"	"(annotation) sstart"	"(annotation) send"	"(annotation) evalue"	"(annotation) bitscore"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"(annotation) % contig aligned"	"(blast) subject"	"(blast) subject title"	"(blast) pident"	"(blast) qlen"	"(blast) slen"	"(blast) length"	"(blast) mismatch"	"(blast) gapopen"	"(blast) qstart"	"(blast) qend"	"(blast) sstart"	"(blast) send"	"(blast) evalue"	"(blast) bitscore"	"(cluster) taxon-id"	"(cluster) centroid"	"(cluster) number of members"	"(cluster) cumulative read depth - spades [%]"	"(cluster) cumulative read depth - megahit [%]"	"(cluster) cumulative read depth - trinity [%]"	"(cluster) members"	"(quast) # N's"	"(quast) % N's"	"(quast) # N's per 100 kbp"	"(failed_mapped) mapped reads"	"(samtools Raw) total length"	"(samtools Raw) average length"	"(samtools Raw) average quality"	"(samtools Raw) error rate"	"(samtools Raw) mismatches"	"(samtools Raw) reads MQ0"	"(samtools Raw) reads mapped (R1+R2)"	"(samtools Raw) reads mapped %"	"(samtools Raw) reads unmapped (R1+R2)"	"(samtools Raw) reads unmapped %"	"(samtools Raw) reads QC failed"	"(samtools Raw) reads QC failed %"	"(samtools Raw) reads paired"	"(samtools Raw) reads paired %"	"(samtools Raw) reads properly paired"	"(samtools Raw) reads properly paired %"	"(samtools Raw) reads duplicated"	"(samtools Raw) reads duplicated %"	"(samtools Raw) non primary alignments"	"(samtools Raw) supplementary alignments"	"(samtools Raw) outward oriented pairs"	"(samtools Raw) inward oriented pairs"	"(samtools Raw) insert size average"	"(samtools Raw) insert size standard deviation"	"(samtools Raw) bases mapped"	"(samtools Raw) bases mapped cigar"	"(samtools Raw) bases trimmed"	"(samtools Raw) bases duplicated"	"(picard) unpaired reads examined"	"(picard) read pair optical duplicates"	"(picard) unmapped reads (R1+R2)"	"(picard) estimated library size"	"(picard) unpaired read duplicates"	"(picard) secondary or supplementary rds"	"(picard) read pairs examined"	"(picard) read pair duplicates"	"(picard) % duplication"	"(picard) library"	"(samtools Post-dedup) total length"	"(samtools Post-dedup) average length"	"(samtools Post-dedup) average quality"	"(samtools Post-dedup) error rate"	"(samtools Post-dedup) mismatches"	"(samtools Post-dedup) reads MQ0"	"(samtools Post-dedup) reads mapped (R1+R2)"	"(samtools Post-dedup) reads mapped %"	"(samtools Post-dedup) reads unmapped (R1+R2)"	"(samtools Post-dedup) reads unmapped %"	"(samtools Post-dedup) reads QC failed"	"(samtools Post-dedup) reads QC failed %"	"(samtools Post-dedup) reads paired"	"(samtools Post-dedup) reads paired %"	"(samtools Post-dedup) reads properly paired"	"(samtools Post-dedup) reads properly paired %"	"(samtools Post-dedup) reads duplicated"	"(samtools Post-dedup) reads duplicated %"	"(samtools Post-dedup) non primary alignments"	"(samtools Post-dedup) supplementary alignments"	"(samtools Post-dedup) outward oriented pairs"	"(samtools Post-dedup) inward oriented pairs"	"(samtools Post-dedup) insert size average"	"(samtools Post-dedup) insert size standard deviation"	"(samtools Post-dedup) bases mapped"	"(samtools Post-dedup) bases mapped cigar"	"(samtools Post-dedup) bases trimmed"	"(samtools Post-dedup) bases duplicated"	"(ivar_variants) raw inserts"	"(ivar_variants) raw SNPs"	"(ivar_variants) raw deletions"	"(bcftools) number of indels"	"(bcftools) number of samples"	"(bcftools) number of SNPs"	"(bcftools) number of MNPs"	"(bcftools) number of no-ALTs"	"(bcftools) number of records"	"(bcftools) number of others"	"(bcftools) number of multiallelic sites"	"(bcftools) number of multiallelic SNP sites"	"(bcftools) number of transversions"	"(bcftools) transversion in 1st alternative"	"(bcftools) number of transitions"	"(bcftools) transistion in 1st alternative"	"(bcftools) transistions/transversions ratio"	"(bcftools) transition/transversion in 1st alternative"	"(bcftools) substitution T->C"	"(bcftools) substitution A->C"	"(bcftools) substitution C->A"	"(bcftools) substitution G->T"	"(bcftools) substitution A->T"	"(bcftools) substitution C->T"	"(bcftools) substitution T->G"	"(bcftools) substitution T->A"	"(bcftools) substitution G->C"	"(bcftools) substitution C->G"	"(bcftools) substitution G->A"	"(bcftools) substitution A->G"	"(general_stats) mosdepth Mean read depth"	"(general_stats) mosdepth Min read depth"	"(general_stats) mosdepth Max read depth"	"(general_stats) mosdepth Median read depth"	"(general_stats) mosdepth 1X coverage"	"(general_stats) mosdepth 5X coverage"	"(general_stats) mosdepth 10X coverage"	"(general_stats) mosdepth 50X coverage"	"(general_stats) mosdepth 100X coverage"	"(general_stats) mosdepth 200X coverage"	"(general_stats) mosdepth 500X coverage"	"(general_stats) mosdepth 750X coverage"	"(general_stats) mosdepth 1000X coverage"
"ERX13777354_cl12_it2"	"ERX13777354"	"cl12"	"it2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"acc|GENBANK|MZ218370.1|MAG:"	"acc|GENBANK|MZ218370.1|MAG: Reoviridae sp. isolate R66-k141_282067 segment 6 genomic sequence|Reoviridae sp.|ENV|02-AUG-2022 "	"83.158"	"1467"	"2500"	"190"	"27"	"5"	"1111"	"1297"	"198"	"11"	"5.11e-39"	"169.0"	2933258.0	"spades_scaffold12|size1467"	1.0	11.44	11.46	0.0	"megahit_scaffold9|size1854"	0.0	0.0	"0.00"	""	81456622.0	72.0	35.1	0.01643341	214970.0	233.0	207266.0	18.43062350721251	917308.0	81.5693764927875	0.0	0.0	1124574.0	100.0	175628.0	15.6172915255021	0.0	0.0	0.0	1339.0	1458.0	86366.0	200.8	82.6	15057833.0	13081274.0	0.0	0.0	28642.0	0.0	917308.0	43885.0	28626.0	1339.0	89312.0	51161.0	0.631787	"Unknown Library"	71928582.0	72.0	35.1	0.01007116	50678.0	81.0	76318.0	7.680757146048915	917308.0	92.3192428539511	0.0	0.0	993626.0	100.0	73988.0	7.44626247702858	0.0	0.0	0.0	1339.0	877.0	36127.0	209.8	94.8	5529793.0	5031994.0	0.0	0.0	0.0	61.0	2.0	2.0	1.0	61.0	0.0	0.0	63.0	0.0	0.0	0.0	25.0	25.0	36.0	36.0	1.44	1.44	8.0	3.0	2.0	2.0	5.0	9.0	5.0	1.0	4.0	3.0	11.0	8.0	3227.32	15.0	6881.0	3350.0	100.0	100.0	100.0	98.0	97.0	96.0	0.0	0.0	0.0
"ERX5184869_cl2_it2"	"ERX5184869"	"cl2"	"it2"	"NC_045512:NC_045512;"	"0.999"	"27364"	"29903"	"10743"	"11"	"0"	"27363"	"16621"	"2738"	"13480"	"0.0"	"7248"	"Severe acute respiratory syndrome coronavirus 2"	"SPECIES"	"Severe acute respiratory syndrome coronavirus 2"	"Severe acute respiratory syndrome-related coronavirus"	"694009"	"SARS-CoV-2"	"RNA"	"N"	"N/A"	"Human,Vertebrate"	"39.26"	"acc|REFSEQ|NC_045512.2|Severe"	"acc|REFSEQ|NC_045512.2|Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome "	"99.947"	"27364"	"29903"	"26431"	"14"	"0"	"934"	"27364"	"29167"	"2737"	"0.0"	"48732.0"	2697049.0	"spades_scaffold1|size27364"	1.0	93.3	100.0	0.0	"megahit_scaffold1|size29877"	243.0	0.89	"891.68"	""	45495317.0	143.0	38.2	0.0007958689	33953.0	0.0	298429.0	94.0514459319769	18875.0	5.948554068023094	0.0	0.0	317304.0	100.0	296714.0	93.51095479414063	0.0	0.0	0.0	1190.0	7531.0	141178.0	241.4	87.0	42804317.0	42661552.0	0.0	0.0	893.0	0.0	18875.0	142603.0	858.0	1190.0	148768.0	56406.0	0.380895	"Unknown Library"	28735913.0	141.0	38.2	0.000786312	20426.0	0.0	184759.0	90.73091919816927	18875.0	9.269080801830736	0.0	0.0	203634.0	100.0	183916.0	90.31694117878153	0.0	0.0	0.0	1190.0	6308.0	85995.0	228.7	92.8	26044913.0	25976964.0	0.0	0.0	0.0	10.0	3.0	3.0	1.0	10.0	0.0	0.0	13.0	0.0	0.0	0.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	1.0	735.49	0.0	2295.0	735.0	99.0	99.0	99.0	97.0	97.0	94.0	73.0	48.0	22.0
"ERX5184869_cl3_it2"	"ERX5184869"	"cl3"	"it2"	"NC_045512:NC_045512;"	"0.998"	"3078"	"29903"	"2652"	"5"	"0"	"317"	"2968"	"254"	"2905"	"0.0"	"1813"	"Severe acute respiratory syndrome coronavirus 2"	"SPECIES"	"Severe acute respiratory syndrome coronavirus 2"	"Severe acute respiratory syndrome-related coronavirus"	"694009"	"SARS-CoV-2"	"RNA"	"N"	"N/A"	"Human,Vertebrate"	"86.16"	"acc|GENBANK|OV040211.1|Severe"	"acc|GENBANK|OV040211.1|Severe acute respiratory syndrome coronavirus 2 isolate 216 genome assembly, chromosome: 216|Severe acute respiratory syndrome coronavirus 2|VRL|23-NOV-2021 "	"99.93"	"3078"	"30128"	"2864"	"2"	"0"	"102"	"2965"	"39"	"2902"	"0.0"	"5278.0"	2697049.0	"spades_scaffold2|size3078"	0.0	6.7	0.0	0.0	""	40.0	1.33	"1332.03"	""	45495317.0	143.0	38.2	0.001067105	3351.0	74.0	23196.0	7.310339611224567	294108.0	92.68966038877544	0.0	0.0	317304.0	100.0	21762.0	6.8584070796460175	0.0	0.0	0.0	62.0	584.0	10323.0	232.2	90.8	3314348.0	3140271.0	0.0	0.0	1382.0	0.0	294108.0	14364.0	1293.0	62.0	10907.0	3265.0	0.337256	"Unknown Library"	44344366.0	143.0	38.2	0.001070445	2266.0	66.0	15373.0	4.967348560977896	294108.0	95.0326514390221	0.0	0.0	309481.0	100.0	15232.0	4.921788413505191	0.0	0.0	0.0	62.0	504.0	7138.0	225.5	96.0	2163397.0	2116877.0	0.0	0.0	5.0	6.0	0.0	5.0	1.0	6.0	0.0	0.0	11.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	532.13	0.0	1009.0	476.0	99.0	99.0	99.0	97.0	94.0	93.0	45.0	24.0	0.0
"ERX5701202_raw"	"ERX5701202"	"raw"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ERX9551285_cl4_it2"	"ERX9551285"	"cl4"	"it2"	"NC_045512:NC_045512;"	"0.997"	"27094"	"29903"	"13227"	"40"	"0"	"26835"	"13621"	"254"	"13480"	"0.0"	"8921"	"Severe acute respiratory syndrome coronavirus 2"	"SPECIES"	"Severe acute respiratory syndrome coronavirus 2"	"Severe acute respiratory syndrome-related coronavirus"	"694009"	"SARS-CoV-2"	"RNA"	"N"	"N/A"	"Human,Vertebrate"	"48.82"	"acc|GENBANK|OW783133.1|Severe"	"acc|GENBANK|OW783133.1|Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1|Severe acute respiratory syndrome coronavirus 2|VRL|17-MAY-2022 "	"99.987"	"27094"	"29694"	"22753"	"3"	"0"	"4311"	"27063"	"22753"	"1"	"0.0"	"42001.0"	2697049.0	"megahit_scaffold1|size26962"	2.0	93.08	93.08	0.0	"spades_scaffold1|size27085,spades_scaffold5|size87"	210.0	0.78	"778.77"	""	171917030.0	59.0	36.7	0.0002987219	47754.0	377.0	2719026.0	93.09290781938711	201740.0	6.907092180612893	0.0	0.0	2920766.0	100.0	2713266.0	92.8956992788878	0.0	0.0	0.0	473.0	11335.0	1346758.0	165.4	64.9	160040075.0	159861063.0	0.0	0.0	402.0	0.0	201740.0	463761.0	386.0	473.0	1359312.0	920288.0	0.677067	"Unknown Library"	63515729.0	59.0	36.7	0.0003084653	15893.0	130.0	878064.0	81.31697974817652	201740.0	18.68302025182348	0.0	0.0	1079804.0	100.0	873844.0	80.92616808235569	0.0	0.0	0.0	473.0	6623.0	431568.0	165.8	71.9	51638774.0	51522811.0	0.0	0.0	0.0	36.0	1.0	1.0	1.0	36.0	0.0	0.0	37.0	0.0	0.0	0.0	24.0	24.0	8.0	8.0	0.33	0.33	4.0	2.0	4.0	3.0	4.0	1.0	3.0	2.0	3.0	3.0	0.0	3.0	1767.95	0.0	4854.0	1651.0	99.0	99.0	99.0	99.0	99.0	99.0	98.0	96.0	91.0
"ERX9551285_cl5_it2"	"ERX9551285"	"cl5"	"it2"	"NC_045512:NC_045512;"	"0.985"	"2764"	"29903"	"1257"	"19"	"0"	"1136"	"2383"	"28274"	"29530"	"1.161e-265"	"813"	"Severe acute respiratory syndrome coronavirus 2"	"SPECIES"	"Severe acute respiratory syndrome coronavirus 2"	"Severe acute respiratory syndrome-related coronavirus"	"694009"	"SARS-CoV-2"	"RNA"	"N"	"N/A"	"Human,Vertebrate"	"45.48"	"acc|GENBANK|OX759470.1|Severe"	"acc|GENBANK|OX759470.1|Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite|Severe acute respiratory syndrome coronavirus 2|VRL|19-JUN-2023 "	"100.0"	"2764"	"29530"	"2666"	"0"	"0"	"29"	"2694"	"26855"	"29520"	"0.0"	"4924.0"	2697049.0	"megahit_scaffold2|size2764"	0.0	0.0	6.92	0.0	""	27.0	1.01	"1013.02"	""	171917030.0	59.0	36.7	0.0003754971	4456.0	26.0	202010.0	6.916336330948799	2718756.0	93.08366366905119	0.0	0.0	2920766.0	100.0	201362.0	6.8941503701426265	0.0	0.0	0.0	53.0	918.0	99886.0	163.2	64.5	11892876.0	11866937.0	0.0	0.0	184.0	0.0	2718756.0	42148.0	184.0	53.0	100913.0	62610.0	0.620781	"Unknown Library"	164530266.0	59.0	36.7	0.0003759438	1688.0	20.0	76606.0	2.7404679608580214	2718756.0	97.25953203914199	0.0	0.0	2795362.0	100.0	76280.0	2.728805786155782	0.0	0.0	0.0	53.0	611.0	37636.0	165.1	71.6	4506112.0	4490033.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0	9.0	0.0	0.0	9.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1506.9	0.0	2887.0	1449.0	99.0	99.0	99.0	97.0	97.0	96.0	0.0	95.0	90.0
"ERX9551285_cl6_it2"	"ERX9551285"	"cl6"	"it2"	"NC_045512:NC_045512;"	"0.985"	"2954"	"29903"	"1257"	"19"	"0"	"1571"	"324"	"28274"	"29530"	"1.161e-265"	"813"	"Severe acute respiratory syndrome coronavirus 2"	"SPECIES"	"Severe acute respiratory syndrome coronavirus 2"	"Severe acute respiratory syndrome-related coronavirus"	"694009"	"SARS-CoV-2"	"RNA"	"N"	"N/A"	"Human,Vertebrate"	"42.55"	"acc|GENBANK|OX770713.1|Severe"	"acc|GENBANK|OX770713.1|Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite|Severe acute respiratory syndrome coronavirus 2|VRL|19-JUN-2023 "	"100.0"	"2954"	"29468"	"1616"	"0"	"0"	"7"	"1622"	"29468"	"27853"	"0.0"	"2985.0"	2697049.0	"spades_scaffold2|size2954"	0.0	6.9	0.0	0.0	""	133.0	4.5	"4502.37"	""	171917030.0	59.0	36.7	0.0003553953	4218.0	1017.0	202011.0	6.916370568542636	2718755.0	93.08362943145735	0.0	0.0	2920766.0	100.0	201396.0	6.895314448333075	0.0	0.0	0.0	53.0	909.0	99895.0	177.6	83.0	11892935.0	11868474.0	0.0	0.0	185.0	0.0	2718755.0	42301.0	185.0	53.0	100913.0	62505.0	0.619743	"Unknown Library"	164542622.0	59.0	36.7	0.0003457772	1557.0	351.0	76816.0	2.747774962610501	2718755.0	97.2522250373895	0.0	0.0	2795571.0	100.0	76518.0	2.7371152440771493	0.0	0.0	0.0	53.0	597.0	37754.0	179.2	89.5	4518527.0	4502900.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	0.5	0.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1416.71	0.0	2955.0	1414.0	96.0	96.0	95.0	95.0	94.0	94.0	0.0	0.0	84.0
"SRX12412076_cl0_it2"	"SRX12412076"	"cl0"	"it2"	"NC_045512:NC_045512;"	"0.996"	"11517"	"29903"	"11163"	"45"	"0"	"290"	"11452"	"254"	"11416"	"0.0"	"7538"	"Severe acute respiratory syndrome coronavirus 2"	"SPECIES"	"Severe acute respiratory syndrome coronavirus 2"	"Severe acute respiratory syndrome-related coronavirus"	"694009"	"SARS-CoV-2"	"RNA"	"N"	"N/A"	"Human,Vertebrate"	"96.93"	"acc|GENBANK|OX867761.1|Severe"	"acc|GENBANK|OX867761.1|Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite|Severe acute respiratory syndrome coronavirus 2|VRL|20-JUN-2023 "	"99.974"	"11517"	"29572"	"11370"	"2"	"1"	"65"	"11433"	"5"	"11374"	"0.0"	"20979.0"	2697049.0	"megahit_scaffold1|size11517"	1.0	69.91	34.92	0.0	"spades_scaffold1|size19460"	0.0	0.0	"0.00"	""	8189078.0	117.0	38.4	0.0008969954	2610.0	0.0	25953.0	36.932206284153004	44319.0	63.067793715846996	0.0	0.0	70272.0	100.0	25408.0	36.15664845173042	0.0	0.0	0.0	174.0	4004.0	8723.0	152.1	99.0	3026802.0	2909714.0	0.0	0.0	447.0	0.0	44319.0	43566.0	372.0	174.0	12753.0	1697.0	0.145108	"Unknown Library"	7693426.0	116.0	38.4	0.0008387426	2047.0	0.0	22187.0	33.36089976844194	44319.0	66.63910023155806	0.0	0.0	66506.0	100.0	22014.0	33.100772862598866	0.0	0.0	0.0	174.0	3640.0	7390.0	138.2	83.4	2531150.0	2440558.0	0.0	0.0	0.0	5.0	1.0	1.0	1.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	3.0	2.0	2.0	0.67	0.67	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	132.13	15.0	283.0	131.0	100.0	100.0	100.0	96.0	71.0	10.0	0.0	0.0	0.0
"SRX12412076_cl1_it2"	"SRX12412076"	"cl1"	"it2"	"NC_045512:NC_045512;"	"0.996"	"8215"	"29903"	"5847"	"23"	"0"	"5959"	"113"	"13450"	"19296"	"0.0"	"4099"	"Severe acute respiratory syndrome coronavirus 2"	"SPECIES"	"Severe acute respiratory syndrome coronavirus 2"	"Severe acute respiratory syndrome-related coronavirus"	"694009"	"SARS-CoV-2"	"RNA"	"N"	"N/A"	"Human,Vertebrate"	"71.17"	"acc|GENBANK|OX718547.1|Severe"	"acc|GENBANK|OX718547.1|Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite|Severe acute respiratory syndrome coronavirus 2|VRL|19-JUN-2023 "	"99.68"	"8215"	"29610"	"8126"	"4"	"1"	"112"	"8215"	"19149"	"11024"	"0.0"	"14842.0"	2697049.0	"megahit_scaffold2|size8215"	0.0	0.0	35.06	0.0	""	111.0	1.35	"1351.19"	""	8189078.0	117.0	38.4	0.002158617	6351.0	0.0	25589.0	36.41421903460838	44683.0	63.58578096539163	0.0	0.0	70272.0	100.0	25210.0	35.87488615664845	0.0	0.0	0.0	179.0	4024.0	8608.0	152.5	94.3	3006112.0	2942161.0	0.0	0.0	273.0	0.0	44683.0	35297.0	235.0	179.0	12658.0	2021.0	0.167142	"Unknown Library"	7629979.0	116.0	38.4	0.001780415	4260.0	0.0	21312.0	32.29335555723918	44683.0	67.7066444427608	0.0	0.0	65995.0	100.0	21168.0	32.07515720887946	0.0	0.0	0.0	179.0	3546.0	7065.0	139.4	79.9	2447013.0	2392701.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	180.35	0.0	334.0	170.0	99.0	99.0	99.0	99.0	97.0	33.0	0.0	0.0	0.0
"SRX12412076_cl2_it2"	"SRX12412076"	"cl2"	"it2"	"NC_045512:NC_045512;"	"0.988"	"2307"	"29903"	"2034"	"24"	"0"	"83"	"2116"	"19522"	"21552"	"0.0"	"1370"	"Severe acute respiratory syndrome coronavirus 2"	"SPECIES"	"Severe acute respiratory syndrome coronavirus 2"	"Severe acute respiratory syndrome-related coronavirus"	"694009"	"SARS-CoV-2"	"RNA"	"N"	"N/A"	"Human,Vertebrate"	"88.17"	"acc|GENBANK|OX854806.1|Severe"	"acc|GENBANK|OX854806.1|Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite|Severe acute respiratory syndrome coronavirus 2|VRL|20-JUN-2023 "	"100.0"	"2307"	"28471"	"2195"	"0"	"0"	"113"	"2307"	"18410"	"20604"	"0.0"	"4054.0"	2697049.0	"megahit_scaffold4|size2307"	1.0	6.48	6.41	0.0	"spades_scaffold3|size2314"	0.0	0.0	"0.00"	""	8189078.0	117.0	38.4	0.002430486	1392.0	0.0	5339.0	7.597620673952641	64933.0	92.40237932604735	0.0	0.0	70272.0	100.0	5072.0	7.217668488160292	0.0	0.0	0.0	13.0	851.0	1687.0	139.5	91.2	624172.0	572725.0	0.0	0.0	259.0	0.0	64933.0	7993.0	237.0	13.0	2540.0	364.0	0.180745	"Unknown Library"	8063312.0	116.0	38.4	0.0014397	667.0	0.0	4374.0	6.311050831806312	64933.0	93.68894916819369	0.0	0.0	69307.0	100.0	4344.0	6.2677651608062686	0.0	0.0	0.0	13.0	749.0	1425.0	129.9	78.7	498406.0	463291.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.75	39.0	264.0	103.0	100.0	100.0	100.0	100.0	50.0	8.0	0.0	0.0	0.0
