,,gaps,identities,mismatches,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Arya-MN090240_cl0_it2.consensus_ivar,MN090240.1,0,9013,2,9015,0,1,9015,Arya,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090240_cl0_it2.consensus_ivar,MN090277.1,223,8731,281,9235,220,1,9235,Arya,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,210,9015,0,9225,0,1,9225,Arya,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,13,8940,282,9235,10,1,9235,Arya,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090240.1,210,9015,0,9225,0,1,9225,Arya,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-MN090277_cl0_it2.consensus_ivar,MN090277.1,13,8940,282,9235,10,1,9235,Arya,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090240.1,3576,7242,1682,12500,91,22,12500,Arya,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl0_it2.consensus_ivar,MN090277.1,3539,7264,1787,12590,181,22,12590,Arya,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090240.1,449,9014,1,9464,0,339,9464,Arya,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-reference_cl1_it2.consensus_ivar,MN090277.1,252,8778,444,9474,10,339,9474,Arya,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090240.1,700,8955,17,9672,43,239,9672,Arya,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl0_it2.consensus_ivar,MN090277.1,577,8747,395,9719,90,239,9719,Arya,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Arya-virosaurus_cl1_it2.consensus_ivar,MN090240.1,273,9014,1,9288,0,227,9288,Arya,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.virosaurus_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Arya-virosaurus_cl1_it2.consensus_ivar,MN090277.1,76,8778,444,9298,10,227,9298,Arya,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Arya.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9056,0,9232,176,0,9232,Bran,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090240_cl0_it2.consensus_ivar,MN090277.1,210,9002,20,9232,210,20,9232,Bran,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Bran,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Bran,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Bran,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Bran,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-MZ766668_cl0_it2.consensus_ivar,MN090277.1,30,9202,0,9232,30,0,9232,Bran,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-reference_cl0_it2.consensus_ivar,MN090277.1,29,9068,152,9249,12,169,9249,Bran,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Bran-virosaurus_cl0_it2.consensus_ivar,MN090277.1,63,9068,164,9295,0,227,9295,Bran,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Bran.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090188.1,6,9045,8,9059,3,0,9059,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9015,41,9232,176,0,9232,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090188_cl1_it2.consensus_ivar,MN090188.1,7188,2302,15,9505,6739,180,9505,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090188_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl1_it2.consensus_ivar,MN090277.1,7034,2467,15,9516,6750,180,9516,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090188_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,179,9048,8,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,3,9190,42,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
