query	target	fident	alnlen	mismatch	gapopen	qstart	qend	qlen	tstart	tend	tlen	evalue	bits	segment	fident_window
LVE00045	MT199231.1	0.66	1981	670	0	2083	113	7241	5163	7143	7286	3.442e-306	1050	L	[0.64,0.66]
LVE00045	MT199235.1	0.676	1577	511	0	2083	507	7241	5174	6750	7289	5.614e-252	870	L	(0.66,0.68]
LVE00045	OR041677.1	0.684	3251	1026	0	3317	67	3407	100	3347	3402	0	2308	S	(0.68,0.7]
LVE00045	OR041684.1	0.736	3251	857	0	3317	67	3407	1	3248	3303	0	2512	S	(0.72,0.74]
LVE00045	MK117836.1	0.753	6779	1674	0	47	6824	7241	64	6842	7264	0	7994	L	(0.74,0.76]
LVE00045	ON569374.1	0.779	6780	1498	0	47	6824	7241	23	6802	7167	0	8301	L	(0.76,0.78]
LVE00045	MH887901.1	0.796	6781	1383	0	47	6824	7241	4	6784	7172	0	8515	L	(0.78,0.8]
LVE00045	MH887953.1	0.804	6782	1328	0	47	6824	7241	49	6830	7214	0	8583	L	(0.8,0.82]
LVE00045	KM822108.1	0.823	6780	1200	0	47	6824	7241	36	6815	7218	0	9169	L	(0.82,0.84]
LVE00045	KM822075.1	0.842	6778	1071	0	47	6824	7241	17	6793	7184	0	9828	L	(0.84,0.86]
LVE00045	MK117940.1	0.864	6779	922	0	47	6824	7241	59	6837	7258	0	10484	L	(0.86,0.88]
LVE00045	MH053514.1	0.92	3367	269	0	18	3383	3407	9	3375	3393	0	4878	S	(0.9,0.92]
LVE00045	KM822033.1	0.928	3375	242	0	18	3383	3407	23	3397	3421	0	5021	S	(0.92,0.94]
LVE00045	KM822037.1	0.944	3368	188	0	18	3383	3407	18	3385	3405	0	5239	S	(0.94,0.96]
LVE00045	KM822076.1	0.969	3359	104	0	26	3383	3407	1	3359	3363	0	5600	S	(0.96,0.98]
LVE00045	LVE00045	1	6778	0	0	47	6824	7241	47	6824	7241	0	10552	L	(0.98,1]
LVE00050	MK107895.1	0.648	7200	2523	0	44	7243	7273	42	7210	7225	0	7547	L	[0.64,0.66]
LVE00050	KM822075.1	0.665	7200	2401	0	44	7243	7273	14	7180	7184	0	8196	L	(0.66,0.68]
LVE00050	MK117940.1	0.681	7197	2286	0	47	7243	7273	59	7225	7258	0	8690	L	(0.68,0.7]
LVE00050	MK117872.1	0.709	7086	2053	0	68	7153	7273	1	7056	7056	0	6594	L	(0.7,0.72]
LVE00050	AY628208.1	0.724	1678	463	0	3493	1816	3592	122	1799	3427	5.881e-312	1068	S	(0.72,0.74]
LVE00050	MP226842.1	0.744	1689	431	0	3502	1817	3592	102	1790	3417	0	1212	S	(0.74,0.76]
LVE00050	AY628206.1	0.761	1688	403	0	3502	1815	3592	107	1794	3420	0	1344	S	(0.76,0.78]
LVE00050	MK107897.1	0.786	2033	431	0	1550	3565	3592	1332	3364	3396	0	2547	S	(0.78,0.8]
LVE00050	KM822072.1	0.802	2020	399	0	1550	3565	3592	1364	3383	3410	0	2674	S	(0.8,0.82]
LVE00050	MK107860.1	0.836	2207	353	0	47	2253	7273	59	2210	7209	0	2799	L	(0.82,0.84]
LVE00050	MH887913.1	0.847	2208	333	0	47	2254	7273	51	2230	7214	0	2884	L	(0.84,0.86]
LVE00050	MK117963.1	0.909	1753	159	0	1814	3565	3592	1628	3380	3406	0	2584	S	(0.9,0.92]
LVE00050	KM821971.1	0.933	1752	117	0	1815	3565	3592	1630	3381	3408	0	2747	S	(0.92,0.94]
LVE00063	MK117931.1	0.656	6772	2329	0	2	6773	7258	2	6773	7234	0	7856	L	[0.64,0.66]
LVE00063	KT992430.1	0.668	1408	466	0	2102	695	7258	5183	6587	7257	1.344e-212	740	L	(0.66,0.68]
LVE00063	OR041677.1	0.691	3250	1003	0	3299	50	3424	100	3347	3402	0	2363	S	(0.68,0.7]
LVE00063	OR493500.1	0.706	1642	482	0	3299	1658	3424	1338	2979	2979	0	1515	S	(0.7,0.72]
LVE00063	OR041684.1	0.735	3250	860	0	3299	50	3424	1	3248	3303	0	2458	S	(0.72,0.74]
LVE00063	OQ919510.1	0.755	3250	796	0	3299	50	3424	26	3273	3295	0	2569	S	(0.74,0.76]
