# id: 'quast_custom'
# section_name: 'CLUSTER: Quast'
# format: 'tsv'
# description: 'QUAST is a quality assessment tool for genome assemblies, written by the Center for Algorithmic Biotechnology.DOI: 10.1093/bioinformatics/btt086.'
"(quast) Assembly"	"(quast) # contigs (>= 0 bp)"	"(quast) # contigs (>= 1000 bp)"	"(quast) # contigs (>= 5000 bp)"	"(quast) # contigs (>= 10000 bp)"	"(quast) # contigs (>= 25000 bp)"	"(quast) # contigs (>= 50000 bp)"	"(quast) Total length (>= 0 bp)"	"(quast) Total length (>= 1000 bp)"	"(quast) Total length (>= 5000 bp)"	"(quast) Total length (>= 10000 bp)"	"(quast) Total length (>= 25000 bp)"	"(quast) Total length (>= 50000 bp)"	"(quast) # contigs"	"(quast) Largest contig"	"(quast) Total length"	"(quast) GC (%)"	"(quast) N50"	"(quast) N90"	"(quast) auN"	"(quast) L50"	"(quast) L90"	"(quast) # N's per 100 kbp"	"sample"	"cluster"	"step"
"Tyrion-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9608"	"9608"	"9608"	"0"	"0"	"0"	"1"	"9608"	"9608"	"41.81"	"9608"	"9608"	"9608.0"	"1"	"1"	"52.04"	"Tyrion-MZ766668"	"cl0"	"consensus"
"Daenerys-MN090277_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9015"	"9015"	"9015"	"0"	"0"	"0"	"1"	"9015"	"9015"	"41.59"	"9015"	"9015"	"9015.0"	"1"	"1"	"0.00"	"Daenerys-MN090277"	"cl1"	"consensus"
"Bran-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9590"	"9590"	"9590"	"0"	"0"	"0"	"1"	"9590"	"9590"	"41.79"	"9590"	"9590"	"9590.0"	"1"	"1"	"0.00"	"Bran-MZ766668"	"cl0"	"consensus"
"Jaime-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9581"	"9581"	"9581"	"0"	"0"	"0"	"1"	"9581"	"9581"	"41.85"	"9581"	"9581"	"9581.0"	"1"	"1"	"10.44"	"Jaime-MZ766668"	"cl0"	"consensus"
"Tyrion-MN090277_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9113"	"9113"	"9113"	"0"	"0"	"0"	"1"	"9113"	"9113"	"41.74"	"9113"	"9113"	"9113.0"	"1"	"1"	"0.00"	"Tyrion-MN090277"	"cl1"	"consensus"
"Jaime-MN090277_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9020"	"9020"	"9020"	"0"	"0"	"0"	"1"	"9020"	"9020"	"41.56"	"9020"	"9020"	"9020.0"	"1"	"1"	"0.00"	"Jaime-MN090277"	"cl1"	"consensus"
"Daenerys-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9619"	"9619"	"9619"	"0"	"0"	"0"	"1"	"9619"	"9619"	"41.79"	"9619"	"9619"	"9619.0"	"1"	"1"	"51.98"	"Daenerys-MZ766668"	"cl0"	"consensus"
"Robb-MN090277-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9060"	"9060"	"9060"	"0"	"0"	"0"	"1"	"9060"	"9060"	"41.48"	"9060"	"9060"	"9060.0"	"1"	"1"	"0.00"	"Robb-MN090277-MN090188"	"cl0"	"consensus"
"Robb-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9060"	"9060"	"9060"	"0"	"0"	"0"	"1"	"9060"	"9060"	"41.48"	"9060"	"9060"	"9060.0"	"1"	"1"	"0.00"	"Robb-MN090188"	"cl0"	"consensus"
"Jon-reference_cl3_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9066"	"9066"	"9066"	"0"	"0"	"0"	"1"	"9066"	"9066"	"41.22"	"9066"	"9066"	"9066.0"	"1"	"1"	"165.45"	"Jon-reference"	"cl3"	"consensus"
